Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,open-source-flash,7330,112,7330,31,2017-07-26T19:52:07Z,2021-02-24T08:44:01Z,109,Petition to open source Flash and Shockwave spec,ActionScript,https://github.com/open-source-flash/open-source-flash
2,VVVVVV,7095,559,7095,51,2015-10-16T18:17:22Z,2025-02-18T19:14:16Z,15903,The source code to VVVVVV! http://thelettervsixtim.es/,ActionScript,https://github.com/TerryCavanagh/VVVVVV
3,Starling-Framework,2916,820,2916,87,2011-07-24T20:11:22Z,2025-03-27T15:59:01Z,31510,The Cross Platform Game Engine,ActionScript,https://github.com/Gamua/Starling-Framework
4,webcamjs,2500,1113,2500,164,2014-03-03T22:59:43Z,2020-04-22T07:50:12Z,376,HTML5 Webcam Image Capture Library with Flash Fallback,ActionScript,https://github.com/jhuckaby/webcamjs
5,as3corelib,1495,448,1495,120,2010-07-28T17:05:33Z,2024-08-18T20:22:14Z,2863," An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs.",ActionScript,https://github.com/mikechambers/as3corelib
6,scratch-flash,1339,513,1339,0,2014-05-12T16:23:25Z,2019-02-05T18:30:34Z,10200,Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website.,ActionScript,https://github.com/scratchfoundation/scratch-flash
7,mapgen2,1323,210,1323,1,2010-06-22T17:08:16Z,2017-08-24T04:32:19Z,199,"Map generator for games. Generates island maps with a focus on mountains, rivers, coastlines.",ActionScript,https://github.com/amitp/mapgen2
8,flixel,1136,195,1136,75,2009-10-18T23:14:40Z,2015-11-05T01:35:36Z,10081,"flixel is a free Actionscript (Flash) library that I distilled from a variety of Flash games that I've worked on over the last couple years, including Gravity Hook, Fathom and Canabalt.  It's primary function is to provide some useful base classes that you can extend to make your own game objects.",ActionScript,https://github.com/AdamAtomic/flixel
9,as3-signals,1057,201,1057,8,2009-09-10T02:12:14Z,2023-12-19T17:01:37Z,3848,"Signals is a new approach for AS3 events, inspired by C# events and signals/slots in Qt. ",ActionScript,https://github.com/robertpenner/as3-signals
10,bfxr,997,91,997,10,2011-02-24T17:24:54Z,2021-06-17T15:56:58Z,100955,Flash + AIR sound effects generator.   Based on Sfxr.,ActionScript,https://github.com/increpare/bfxr
11,robotlegs-framework,966,260,966,19,2009-10-05T21:30:17Z,2020-06-16T09:09:56Z,12316,An ActionScript 3 application framework for Flash and Flex,ActionScript,https://github.com/robotlegs/robotlegs-framework
12,feathersui-starling,914,386,914,169,2012-03-01T23:22:07Z,2025-03-14T19:22:04Z,36536,"User interface components for Starling Framework, ActionScript 3, and Adobe AIR",ActionScript,https://github.com/feathersui/feathersui-starling
13,malware-samples,906,192,906,0,2018-02-07T08:44:41Z,2024-03-26T03:51:41Z,59302,"A collection of malware samples and relevant dissection information, most probably referenced from http://blog.inquest.net",ActionScript,https://github.com/InQuest/malware-samples
14,flashls,751,263,751,169,2014-06-24T15:51:34Z,2018-11-19T15:02:08Z,133847,"HLS Flash Plugin/Player (Chromeless,OSMF,FlowPlayer,mediaelement.js,video.js,Clappr)",ActionScript,https://github.com/mangui/flashls
15,juicy-breakout,656,124,656,0,2012-05-08T13:05:45Z,2017-03-24T07:51:44Z,1690,,ActionScript,https://github.com/grapefrukt/juicy-breakout
16,away3d-core-fp11,641,274,641,111,2011-07-05T16:35:28Z,2024-06-03T14:06:14Z,17949,Away3D engine for Flash Player 11,ActionScript,https://github.com/away3d/away3d-core-fp11
17,minimalcomps,620,177,620,17,2011-04-09T19:09:17Z,2021-06-05T02:06:39Z,122,Minimal ActionScript 3.0 UI Components for Flash,ActionScript,https://github.com/minimalcomps/minimalcomps
18,emulator,616,254,616,90,2014-09-03T14:30:28Z,2015-08-02T12:15:51Z,12408,"Emulator of NES, Super Nintendo, Sega Mega Drive, GameBoy video consoles",ActionScript,https://github.com/nesbox/emulator
19,boscaceoil,586,73,586,50,2013-08-23T22:01:55Z,2024-07-11T20:05:39Z,2518,A simple music making program,ActionScript,https://github.com/TerryCavanagh/boscaceoil
20,Fanvas,552,196,552,0,2016-01-13T09:08:06Z,2019-10-24T03:48:59Z,7706,Fanvas，一键把swf转为html5 canvas动画。 Fanvas is a tool which can turn flash into canvas animation with just one key!,ActionScript,https://github.com/Tencent/Fanvas
21,Citrus-Engine,549,227,549,65,2012-08-06T15:07:56Z,2022-10-30T18:52:29Z,11461,Modern AS3 Game Engine,ActionScript,https://github.com/DaVikingCode/Citrus-Engine
22,as3swf,526,126,526,15,2009-07-15T19:33:15Z,2018-02-21T01:19:53Z,24628,"Low level Actionscript 3 library to parse, create, modify and publish SWF files.",ActionScript,https://github.com/claus/as3swf
23,jQuery-webcam,518,271,518,34,2010-09-17T00:46:36Z,2024-04-04T12:36:16Z,38,A webcam wrapper plugin for jQuery,ActionScript,https://github.com/infusion/jQuery-webcam
24,VirtualCockroach,500,44,500,25,2019-09-12T08:11:55Z,2019-09-24T09:47:41Z,91941,"一只蟑螂桌面“宠物” Cockroach Desktop ""Pet""",ActionScript,https://github.com/FerryYoungFan/VirtualCockroach
25,Ash,450,95,450,6,2012-01-11T19:57:48Z,2017-04-16T17:52:51Z,1184,An Actionscript 3 entity system framework for game development,ActionScript,https://github.com/richardlord/Ash
26,GreenSock-AS3,411,143,411,3,2012-09-21T18:08:12Z,2019-05-29T16:49:47Z,1555,"Public repository for GreenSock's ActionScript 3 libraries like GSAP (TweenLite, TweenMax, etc.) and LoaderMax. For AS2, see the GreenSock-AS2 repository and for JavaScript, see the GreenSock-JS repository. Main site: http://www.greensock.com",ActionScript,https://github.com/greensock/GreenSock-AS3
27,FlashPunk,393,136,393,69,2010-06-02T22:50:18Z,2016-03-31T05:56:47Z,2023,"A free ActionScript 3 library designed for developing 2D Flash games. It provides you with a fast, clean framework to prototype and develop your games in. This means that most of the dirty work (timestep, animation, input, and collision to name a few) is already coded for you and ready to go, giving you more time and energy to concentrate on the design and testing of your game. ",ActionScript,https://github.com/useflashpunk/FlashPunk
28,flump,383,72,383,41,2012-01-24T21:35:00Z,2020-01-27T18:53:00Z,5065,Exports Flash .FLAs to GPU-friendly formats,ActionScript,https://github.com/tconkling/flump
29,Alternativa3D,379,128,379,19,2012-03-28T11:51:14Z,2024-05-03T15:09:55Z,18630,Alternativa3D Flash GPU accelerated 3D engine,ActionScript,https://github.com/AlternativaPlatform/Alternativa3D
30,Anodyne-1-Repo,378,36,378,1,2020-04-04T09:51:11Z,2024-06-04T22:57:49Z,70258,Anodyne 1 Source Code,ActionScript,https://github.com/analgesicproductions/Anodyne-1-Repo
31,royale-asjs,376,117,376,257,2013-05-16T07:00:17Z,2025-03-26T22:56:27Z,62036,Apache Royale ASJS,ActionScript,https://github.com/apache/royale-asjs
32,Weave,369,69,369,8,2011-04-27T17:32:46Z,2019-01-06T02:11:59Z,572212,Weave (Web-based Analysis and Visualization Environment),ActionScript,https://github.com/WeaveTeam/Weave
33,Gestouch,356,84,356,37,2011-04-29T15:37:04Z,2016-03-01T17:49:07Z,733,Gestouch: multitouch gesture recognition library for Flash (ActionScript) development.,ActionScript,https://github.com/fljot/Gestouch
34,AS3Libs,356,44,356,0,2011-04-16T17:28:07Z,2021-08-25T12:08:46Z,4209,A collection of AS3 libraries and sketches that I have built over the years.,ActionScript,https://github.com/gskinner/AS3Libs
35,wck,356,55,356,13,2009-10-07T00:35:22Z,2015-09-01T06:23:50Z,84314,Box2d Flash Alchemy Port + World Construction Kit (AS3 Physics Engine),ActionScript,https://github.com/jesses/wck
36,flex-sdk,355,144,355,3,2012-08-30T07:00:23Z,2024-03-04T21:47:43Z,269028,Mirror of Apache Flex SDK,ActionScript,https://github.com/apache/flex-sdk
37,Flare,350,78,350,4,2010-08-04T19:35:27Z,2012-08-02T16:28:23Z,1852,"Flare is an ActionScript library for creating visualizations that run in the Adobe Flash Player. From basic charts and graphs to complex interactive graphics, the toolkit supports data management, visual encoding, animation, and interaction techniques. ",ActionScript,https://github.com/prefuse/Flare
38,restfulx_framework,330,62,330,17,2008-06-07T00:49:29Z,2011-09-19T14:22:50Z,8433,The RESTful way to develop Adobe Flex and AIR applications.,ActionScript,https://github.com/dima/restfulx_framework
39,Zoe,329,100,329,7,2011-10-16T16:39:03Z,2015-09-01T06:54:47Z,799,Zoë is an open source tool for generating spritesheet images and frame data from SWF files. It enables illustrators to maintain a familiar workflow while generating animations for EaselJS and other formats.,ActionScript,https://github.com/CreateJS/Zoe
40,mBlock,324,235,324,45,2015-03-13T08:31:53Z,2017-02-27T12:06:22Z,384480,"base on scratch offline v2.0 by MIT, Learn more from Makeblock official website",ActionScript,https://github.com/Makeblock-official/mBlock
41,Starling-Extension-Particle-System,323,144,323,1,2011-09-02T19:05:16Z,2024-07-25T07:28:27Z,143,"A particle system for the Starling framework, compatible with the ""Particle Designer"" from 71squared.com",ActionScript,https://github.com/Gamua/Starling-Extension-Particle-System
42,nd2d,319,65,319,8,2011-03-15T14:41:52Z,2015-09-29T08:13:02Z,11971,A Flash Molehill (Stage3D) GPU accelerated 2D game engine,ActionScript,https://github.com/lrrrs/nd2d
43,Spike,315,210,315,42,2018-02-17T02:42:50Z,2024-11-08T23:13:50Z,87301,Get The Most Out Of Your CGM Transmitter,ActionScript,https://github.com/SpikeApp/Spike
44,Starling-Extension-Graphics,285,89,285,34,2012-10-03T12:36:52Z,2017-03-24T17:58:53Z,8884,flash.display.Graphics style extension for the Starling Flash GPU rendering framework,ActionScript,https://github.com/StarlingGraphics/Starling-Extension-Graphics
45,flash,283,183,283,103,2012-08-28T07:13:03Z,2016-01-30T06:52:46Z,43850,"Flowplayer Flash, the video player for the Web",ActionScript,https://github.com/flowplayer/flash
