Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,PowerToys,116660,6881,116660,6115,2019-05-01T17:44:02Z,2025-03-28T11:30:32Z,428887,Windows system utilities to maximize productivity,C#,https://github.com/microsoft/PowerToys
2,v2rayN,77272,12398,77272,14,2019-07-30T03:47:24Z,2025-03-27T01:50:19Z,41794,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",C#,https://github.com/2dust/v2rayN
3,shadowsocks-windows,58713,16365,58713,195,2013-01-14T07:54:16Z,2025-01-01T08:09:55Z,13489,A C# port of shadowsocks,C#,https://github.com/shadowsocks/shadowsocks-windows
4,PowerShell,46869,7556,46869,1129,2016-01-13T23:41:35Z,2025-03-27T20:32:53Z,97003,PowerShell for every system!,C#,https://github.com/PowerShell/PowerShell
5,jellyfin,38262,3407,38262,538,2018-12-09T06:36:45Z,2025-03-28T12:54:12Z,67593,The Free Software Media System - Server Backend & API,C#,https://github.com/jellyfin/jellyfin
6,Files,36615,2296,36615,490,2019-01-04T18:19:14Z,2025-03-28T03:09:35Z,245251,A modern file manager that helps users organize their files and folders.,C#,https://github.com/files-community/Files
7,aspnetcore,36344,10288,36344,3608,2014-03-11T06:09:42Z,2025-03-28T12:57:26Z,361641,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",C#,https://github.com/dotnet/aspnetcore
8,RevokeMsgPatcher,32041,3595,32041,82,2019-07-21T15:12:52Z,2024-11-07T15:54:21Z,3741,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,C#,https://github.com/huiyadanli/RevokeMsgPatcher
9,ShareX,31656,3326,31656,573,2013-10-08T23:32:10Z,2025-02-20T03:55:26Z,61604,"ShareX is a free and open source program that lets you capture or record any area of your screen and share it with a single press of a key. It also allows uploading images, text or other types of files to many supported destinations you can choose from.",C#,https://github.com/ShareX/ShareX
10,DevToys,28358,1523,28358,239,2021-09-29T01:40:41Z,2025-03-26T18:15:51Z,229011,A Swiss Army knife for developers.,C#,https://github.com/DevToys-app/DevToys
11,dnSpy,27271,5228,27271,185,2015-07-01T16:05:10Z,2020-12-20T23:55:15Z,35047,.NET debugger and assembly editor,C#,https://github.com/dnSpy/dnSpy
12,Avalonia,27216,2351,27216,1590,2013-12-05T20:13:21Z,2025-03-28T08:12:25Z,185887,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The most popular .NET UI client technology",C#,https://github.com/AvaloniaUI/Avalonia
13,ScreenToGif,24615,2230,24615,303,2016-08-02T01:28:59Z,2025-03-17T01:11:31Z,25744,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",C#,https://github.com/NickeManarin/ScreenToGif
14,eShopOnContainers,24523,10317,24523,71,2016-10-05T22:35:23Z,2023-11-15T22:27:17Z,661091,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 7, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor. Moved to https://github.com/dotnet/eShop.",C#,https://github.com/dotnet-architecture/eShopOnContainers
15,WaveFunctionCollapse,23883,1270,23883,7,2016-09-30T11:53:17Z,2024-12-14T05:27:27Z,31161,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics,C#,https://github.com/mxgmn/WaveFunctionCollapse
16,semantic-kernel,23735,3646,23735,480,2023-02-27T17:39:42Z,2025-03-28T14:00:31Z,71824,Integrate cutting-edge LLM technology quickly and easily into your apps,C#,https://github.com/microsoft/semantic-kernel
17,CodeHub,22766,617,22766,237,2013-07-23T22:19:57Z,2022-06-22T16:14:05Z,75636,CodeHub is an iOS application written using Xamarin,C#,https://github.com/CodeHubApp/CodeHub
18,ILSpy,22582,3436,22582,231,2011-02-04T11:24:20Z,2025-03-24T21:49:48Z,43459,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",C#,https://github.com/icsharpcode/ILSpy
19,maui,22547,1805,22547,4155,2020-05-08T18:11:05Z,2025-03-28T13:23:51Z,441973,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",C#,https://github.com/dotnet/maui
20,downkyi,22423,2424,22423,686,2020-12-26T03:27:42Z,2025-02-05T15:10:27Z,132632,哔哩下载姬downkyi，哔哩哔哩网站视频下载工具，支持批量下载，支持8K、HDR、杜比视界，提供工具箱（音视频提取、去水印等）。,C#,https://github.com/leiurayer/downkyi
21,SteamTools,21582,1413,21582,989,2020-12-15T13:52:11Z,2025-03-24T09:45:51Z,267919,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。,C#,https://github.com/BeyondDimension/SteamTools
22,awesome-dotnet-core,20334,2917,20334,176,2016-03-17T03:52:09Z,2024-08-26T03:59:45Z,1501,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software",C#,https://github.com/thangchung/awesome-dotnet-core
23,roslyn,19399,4103,19399,6843,2015-01-11T02:39:03Z,2025-03-28T12:51:27Z,2261721,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,C#,https://github.com/dotnet/roslyn
24,QuickLook,18402,1113,18402,217,2017-04-12T14:57:38Z,2025-03-14T18:49:23Z,318350,Bring macOS “Quick Look” feature to Windows,C#,https://github.com/QL-Win/QuickLook
