Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,FiraCode,78535,3126,78535,407,2014-11-11T19:32:38Z,2025-03-14T13:13:57Z,89010,Free monospaced font with programming ligatures,Clojure,https://github.com/tonsky/FiraCode
2,metabase,41391,5457,41391,3967,2015-02-02T19:25:47Z,2025-03-28T14:23:06Z,893848,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Clojure,https://github.com/metabase/metabase
3,penpot,37154,1899,37154,432,2015-12-29T22:09:07Z,2025-03-28T14:21:48Z,241782,Penpot: The open-source design tool for design and code collaboration,Clojure,https://github.com/penpot/penpot
4,logseq,35715,2102,35715,1462,2020-05-23T00:06:06Z,2025-03-28T13:50:18Z,130693,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: http://trello.com/b/8txSM12G/roadmap",Clojure,https://github.com/logseq/logseq
5,LightTable,11712,914,11712,181,2012-06-27T22:32:43Z,2022-06-17T00:20:21Z,19648,The Light Table IDE ⛺,Clojure,https://github.com/LightTable/LightTable
6,clojurescript,9272,791,9272,7,2011-07-20T23:29:13Z,2025-03-20T20:35:46Z,18570,Clojure to JS compiler,Clojure,https://github.com/clojure/clojurescript
7,instant,8242,240,8242,49,2024-08-19T21:53:42Z,2025-03-28T14:18:05Z,13331,Instant is a modern Firebase. We make you productive by giving your frontend a real-time database.,Clojure,https://github.com/instantdb/instant
8,leiningen,7290,1602,7290,102,2009-11-01T05:50:07Z,2025-03-22T21:18:24Z,7486,Moved to Codeberg; this is a convenience mirror,Clojure,https://github.com/technomancy/leiningen
9,jepsen,6988,726,6988,65,2013-04-14T19:20:27Z,2025-03-07T16:58:58Z,46906,"A framework for distributed systems verification, with fault injection",Clojure,https://github.com/jepsen-io/jepsen
10,om,6647,361,6647,80,2013-12-11T18:18:11Z,2020-08-17T12:30:25Z,2181,ClojureScript interface to Facebook's React,Clojure,https://github.com/omcljs/om
11,athens,6304,402,6304,317,2020-03-31T01:29:41Z,2023-02-03T12:32:15Z,78287,"Athens is no longer maintainted. Athens was an open-source, collaborative knowledge graph, backed by YC W21",Clojure,https://github.com/athensresearch/athens
12,overtone,5993,448,5993,94,2010-08-23T12:19:57Z,2025-03-04T06:47:54Z,9322,Collaborative Programmable Music ,Clojure,https://github.com/overtone/overtone
13,datascript,5582,311,5582,77,2014-04-15T12:58:22Z,2025-01-05T19:12:16Z,1862,"Immutable database and Datalog query engine for Clojure, ClojureScript and JS",Clojure,https://github.com/tonsky/datascript
14,re-frame,5463,719,5463,22,2014-12-05T11:08:39Z,2025-03-24T19:10:50Z,83344,"A ClojureScript framework for building user interfaces, leveraging React",Clojure,https://github.com/day8/re-frame
15,reagent,4801,416,4801,27,2013-12-18T18:12:03Z,2025-03-19T12:17:38Z,4267,A minimalistic ClojureScript interface to React.js,Clojure,https://github.com/reagent-project/reagent
16,riemann,4248,509,4248,29,2012-02-08T07:51:32Z,2025-02-17T00:59:43Z,7731,"A network event stream processing system, in Clojure.",Clojure,https://github.com/riemann/riemann
17,babashka,4194,259,4194,32,2019-08-09T12:53:24Z,2025-03-19T16:40:35Z,11107,"Native, fast starting Clojure interpreter for scripting",Clojure,https://github.com/babashka/babashka
18,compojure,4101,258,4101,6,2008-05-01T00:31:39Z,2024-01-31T18:54:43Z,5868,A concise routing library for Ring/Clojure,Clojure,https://github.com/weavejester/compojure
19,status-mobile,3940,989,3940,423,2016-02-22T21:48:48Z,2025-03-28T13:02:15Z,484361,"a free (libre) open source, mobile OS for Ethereum",Clojure,https://github.com/status-im/status-mobile
