Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,tgstation,1764,4904,1764,2088,2012-01-21T17:32:47Z,2025-03-28T14:29:57Z,3232998,The /tg/station branch of SS13.,DM,https://github.com/tgstation/tgstation
2,Paradise,413,1244,413,891,2014-11-29T00:16:54Z,2025-03-28T12:03:07Z,2238168,Paradise Station's GitHub main repository.,DM,https://github.com/ParadiseSS13/Paradise
3,Baystation12,409,1642,409,128,2011-11-05T16:12:41Z,2025-03-28T01:52:38Z,1599083,Baystation's flavor of Space Station 13,DM,https://github.com/Baystation12/Baystation12
4,goonstation,377,1518,377,2487,2020-04-01T02:07:44Z,2025-03-28T13:55:58Z,1837810,Repository for the Goonstation branch of SS13,DM,https://github.com/goonstation/goonstation
5,vgstation13,265,537,265,3021,2013-06-02T19:39:54Z,2025-03-21T13:06:41Z,2333671,Butts,DM,https://github.com/vgstation-coders/vgstation13
6,blog,204,41,204,0,2017-07-13T03:32:36Z,2020-04-01T16:58:50Z,1158,前端基础积累 / 新技术 / Vue / React / H5 / 奇怪的BUG / 面试 / 招聘,DM,https://github.com/erbing/blog
7,BeeStation-Hornet,202,688,202,349,2018-12-18T23:26:44Z,2025-03-28T08:08:13Z,2435374,99.95% station. 0.05% bees,DM,https://github.com/BeeStation/BeeStation-Hornet
8,TerraGov-Marine-Corps,169,847,169,281,2018-11-24T05:56:59Z,2025-03-28T11:40:51Z,1311792,"TGMC: TerraGov Marine Corps, a SS13 mod",DM,https://github.com/tgstation/TerraGov-Marine-Corps
9,CEV-Eris,157,505,157,399,2016-02-15T11:38:52Z,2025-03-22T01:16:49Z,584733,Death is our destination,DM,https://github.com/discordia-space/CEV-Eris
10,Aurora.3,149,526,149,871,2015-09-16T09:56:37Z,2025-03-28T01:53:47Z,2187500,"The code for Aurorastation's new base, forked from Baystation12.",DM,https://github.com/Aurorastation/Aurora.3
11,TauCetiClassic,148,424,148,2090,2016-04-09T22:48:57Z,2025-03-27T14:39:18Z,1095486,Франкенштейн жив,DM,https://github.com/TauCetiStation/TauCetiClassic
12,Yogstation,143,450,143,707,2018-02-09T23:19:43Z,2025-03-28T12:59:04Z,3135174,Discord: https://discord.gg/yogs13 Forums: https://forums.yogstation.net,DM,https://github.com/yogstation13/Yogstation
13,NSV13,123,258,123,122,2019-07-26T16:56:08Z,2025-03-28T01:32:19Z,1942395,"NSV13, a Ship-to-ship Combat SS13 Server",DM,https://github.com/BeeStation/NSV13
14,Skyrat-tg,122,674,122,355,2020-07-21T20:43:55Z,2025-03-26T01:14:17Z,4128034,A Skyrat downstream of /tg/station SS13.,DM,https://github.com/Skyrat-SS13/Skyrat-tg
15,cmss13,120,678,120,514,2021-05-13T08:09:32Z,2025-03-28T14:31:12Z,958683,Contains the code for CM-SS13,DM,https://github.com/cmss13-devs/cmss13
16,Shiptest,114,561,114,272,2021-05-14T04:51:31Z,2025-03-28T01:07:18Z,1802665,The Shiptest Codebase,DM,https://github.com/shiptest-ss13/Shiptest
17,OnyxBay,97,209,97,1552,2018-07-30T22:38:29Z,2025-03-28T10:06:27Z,1622890,Main repository with actual Space Station 13 sources. Branch of Baystation 12.,DM,https://github.com/ChaoticOnyx/OnyxBay
18,VOREStation,84,435,84,236,2016-05-07T17:15:24Z,2025-03-28T10:23:43Z,2156677,"The codebase used by the VORE SS13 server, based on Polaris SS13.",DM,https://github.com/VOREStation/VOREStation
19,Citadel-Station-13,80,397,80,295,2016-07-03T07:00:22Z,2025-03-28T01:41:39Z,1320829,Repo for the original Citadel Station build that originated from /tg/ code.,DM,https://github.com/Citadel-Station-13/Citadel-Station-13
20,goonstation-2016,79,248,79,67,2016-03-06T20:05:08Z,2020-02-19T14:54:01Z,77686,Public release of Goonstation from March 2016 (Archived),DM,https://github.com/goonstation/goonstation-2016
21,EventStoryLine,76,21,76,3,2017-05-27T10:07:19Z,2023-09-23T17:01:26Z,38735,"Event StoryLine Corpus - annotated data, baselines and evaluation scripts, evaluation data.",DM,https://github.com/tommasoc80/EventStoryLine
