Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,anoma,27321,3798,27321,186,2021-02-02T10:00:16Z,2025-03-27T12:53:54Z,76649,Reference implementation of Anoma,Elixir,https://github.com/anoma/anoma
2,elixir,25030,3425,25030,29,2011-01-09T08:43:57Z,2025-03-28T10:50:56Z,65276,"Elixir is a dynamic, functional language for building scalable and maintainable applications",Elixir,https://github.com/elixir-lang/elixir
3,analytics,21895,1169,21895,51,2018-12-04T22:33:36Z,2025-03-27T16:08:31Z,352742,"Simple, open source, lightweight (< 1 KB) and privacy-friendly web analytics alternative to Google Analytics.",Elixir,https://github.com/plausible/analytics
4,phoenix,21878,2925,21878,26,2014-01-20T14:14:11Z,2025-03-28T13:38:23Z,21686,Peace of mind from prototype to production,Elixir,https://github.com/phoenixframework/phoenix
5,awesome-elixir,12827,1184,12827,1,2014-07-01T21:12:03Z,2025-02-13T15:04:04Z,2718,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:",Elixir,https://github.com/h4cc/awesome-elixir
6,electric,7962,213,7962,161,2022-06-01T14:18:11Z,2025-03-27T16:00:40Z,121084,Real-time sync for Postgres.,Elixir,https://github.com/electric-sql/electric
7,firezone,7114,297,7114,374,2020-04-22T04:05:12Z,2025-03-28T04:45:59Z,178398,Enterprise-ready zero-trust access platform built on WireGuard®.,Elixir,https://github.com/firezone/firezone
8,realtime,6992,335,6992,55,2019-09-23T12:15:45Z,2025-03-28T12:35:44Z,8168,"Broadcast, Presence, and Postgres Changes via WebSockets",Elixir,https://github.com/supabase/realtime
9,teslamate,6529,785,6529,55,2019-03-31T20:27:26Z,2025-03-28T11:58:25Z,83998,A self-hosted data logger for your Tesla  🚘,Elixir,https://github.com/teslamate-org/teslamate
10,phoenix_live_view,6422,965,6422,73,2018-09-12T01:27:33Z,2025-03-26T17:37:52Z,16467,"Rich, real-time user experiences with server-rendered HTML",Elixir,https://github.com/phoenixframework/phoenix_live_view
11,ecto,6280,1435,6280,14,2013-06-12T18:42:06Z,2025-03-28T12:59:36Z,16003,A toolkit for data mapping and language integrated query.,Elixir,https://github.com/elixir-ecto/ecto
12,papercups,5804,532,5804,171,2020-07-15T14:46:06Z,2024-02-15T05:21:47Z,4816,Open-source live customer chat,Elixir,https://github.com/papercups-io/papercups
13,livebook,5240,454,5240,25,2021-01-07T19:57:18Z,2025-03-27T00:05:56Z,118882,Automate code & data workflows with interactive Elixir notebooks,Elixir,https://github.com/livebook-dev/livebook
14,credo,4987,427,4987,23,2015-09-27T13:16:15Z,2025-03-18T20:29:14Z,5351,A static code analysis tool for the Elixir language with a focus on code consistency and teaching.,Elixir,https://github.com/rrrene/credo
15,elixir_style_guide,4388,298,4388,8,2013-09-24T09:35:30Z,2024-05-10T03:55:51Z,214,A community driven style guide for Elixir,Elixir,https://github.com/christopheradams/elixir_style_guide
16,absinthe,4312,531,4312,71,2015-10-17T01:56:28Z,2025-03-17T17:29:20Z,4317,The GraphQL toolkit for Elixir,Elixir,https://github.com/absinthe-graphql/absinthe
17,blockscout,3892,2633,3892,411,2018-01-12T22:45:24Z,2025-03-28T14:17:39Z,202221,Blockchain explorer for Ethereum based network and a tool for inspecting and analyzing EVM based blockchains. ,Elixir,https://github.com/blockscout/blockscout
18,oban,3486,327,3486,5,2019-02-25T15:29:11Z,2025-03-26T14:31:27Z,3004,"💎 Robust job processing in Elixir, backed by modern PostgreSQL, SQLite3, and MySQL",Elixir,https://github.com/oban-bg/oban
19,guardian,3470,382,3470,1,2015-06-16T19:53:40Z,2025-03-25T18:35:46Z,1241,Elixir Authentication,Elixir,https://github.com/ueberauth/guardian
20,30-days-of-elixir,3043,430,3043,0,2013-12-10T05:24:55Z,2022-04-13T18:14:27Z,149,A walk through the Elixir language in 30 exercises.,Elixir,https://github.com/seven1m/30-days-of-elixir
21,magnetissimo,3028,188,3028,9,2016-07-22T13:50:35Z,2024-01-19T02:02:21Z,8977,"Web application that indexes all popular torrent sites, and saves it to the local database.",Elixir,https://github.com/sergiotapia/magnetissimo
22,distillery,2969,398,2969,56,2016-07-15T00:12:24Z,2024-08-04T05:50:57Z,1598,Simplify deployments in Elixir with OTP releases!,Elixir,https://github.com/bitwalker/distillery
23,plug,2909,592,2909,9,2013-11-15T10:30:47Z,2025-03-20T14:55:33Z,2871,Compose web applications with functions,Elixir,https://github.com/elixir-plug/plug
24,pinchflat,2813,60,2813,54,2024-01-19T04:45:13Z,2025-03-17T22:02:49Z,14814,Your next YouTube media manager,Elixir,https://github.com/kieraneglin/pinchflat
25,nx,2734,202,2734,17,2020-10-29T00:15:01Z,2025-03-20T09:47:41Z,6988,Multi-dimensional arrays (tensors) and numerical definitions for Elixir,Elixir,https://github.com/elixir-nx/nx
26,changelog.com,2726,246,2726,8,2015-12-28T16:18:22Z,2025-03-28T13:33:30Z,67173,Changelog makes world-class developer pods. This is our open source platform.,Elixir,https://github.com/thechangelog/changelog.com
27,broadway,2502,164,2502,3,2018-11-05T11:52:33Z,2025-03-18T11:00:37Z,696,Concurrent and multi-stage data ingestion and data processing with Elixir,Elixir,https://github.com/dashbitco/broadway
28,asciinema-server,2352,268,2352,14,2011-03-09T18:00:49Z,2025-03-07T15:05:13Z,14413,Platform for hosting and sharing terminal session recordings,Elixir,https://github.com/asciinema/asciinema-server
29,quantum-core,2351,147,2351,9,2015-04-27T11:56:49Z,2025-03-11T11:35:30Z,955,:watch: Cron-like job scheduler for Elixir,Elixir,https://github.com/quantum-elixir/quantum-core
30,nerves,2323,195,2323,29,2016-01-23T21:42:42Z,2025-03-17T10:37:09Z,7525,Craft and deploy bulletproof embedded software in Elixir,Elixir,https://github.com/nerves-project/nerves
31,elixir-koans,2306,611,2306,30,2015-12-16T12:47:51Z,2024-07-16T23:55:17Z,459,Elixir learning exercises,Elixir,https://github.com/elixirkoans/elixir-koans
32,httpoison,2242,338,2242,37,2013-09-11T07:21:25Z,2025-03-28T07:24:50Z,463,Yet Another HTTP client for Elixir powered by hackney,Elixir,https://github.com/edgurgel/httpoison
33,surface,2101,150,2101,31,2019-07-17T22:32:27Z,2025-02-14T15:57:58Z,2786,A server-side rendering component library for Phoenix,Elixir,https://github.com/surface-ui/surface
34,floki,2093,156,2093,20,2014-11-02T20:49:15Z,2025-03-22T22:29:52Z,1626,Floki is a simple HTML parser that enables search for nodes using CSS selectors.,Elixir,https://github.com/philss/floki
35,phoenix_live_dashboard,2068,192,2068,14,2019-11-27T23:29:51Z,2025-02-21T10:36:38Z,4435,"Realtime dashboard with metrics, request logging, plus storage, OS and VM insights",Elixir,https://github.com/phoenixframework/phoenix_live_dashboard
