Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,shellcheck,37142,1800,37142,1110,2012-11-17T03:15:11Z,2024-12-14T05:42:11Z,5382,"ShellCheck, a static analysis tool for shell scripts",Haskell,https://github.com/koalaman/shellcheck
2,pandoc,36593,3470,36593,1112,2010-03-20T20:34:23Z,2025-03-28T05:04:09Z,66908,Universal markup converter,Haskell,https://github.com/jgm/pandoc
3,postgrest,25042,1071,25042,310,2014-06-13T00:23:00Z,2025-03-28T09:53:35Z,12409,REST API for any Postgres database,Haskell,https://github.com/PostgREST/postgrest
4,hadolint,10796,438,10796,231,2015-11-15T20:20:58Z,2025-03-24T08:35:52Z,3882,"Dockerfile linter, validate inline bash, written in Haskell",Haskell,https://github.com/hadolint/hadolint
5,semantic,9027,453,9027,116,2019-03-15T14:54:00Z,2024-07-24T03:56:04Z,34508,"Parsing, analyzing, and comparing source code across many languages",Haskell,https://github.com/github/semantic
6,purescript,8678,566,8678,305,2013-09-30T05:29:23Z,2025-02-20T15:16:21Z,13682,A strongly-typed language that compiles to JavaScript,Haskell,https://github.com/purescript/purescript
7,compiler,7617,659,7617,344,2012-04-19T06:24:43Z,2024-07-17T21:53:51Z,9877,"Compiler for Elm, a functional language for reliable webapps.",Haskell,https://github.com/elm/compiler
8,unison,5960,274,5960,1136,2015-05-06T14:53:49Z,2025-03-28T04:38:43Z,131968,A friendly programming language from the future,Haskell,https://github.com/unisonweb/unison
9,Carp,5632,173,5632,146,2016-01-11T12:54:09Z,2024-11-26T10:58:51Z,11981,"A statically typed lisp, without a GC, for real-time applications.",Haskell,https://github.com/carp-lang/Carp
10,ihp,5022,202,5022,267,2017-12-03T18:45:14Z,2025-03-26T19:26:55Z,55949,🔥 The fastest way to build type safe web apps. IHP is a new batteries-included web framework optimized for longterm productivity and programmer happiness,Haskell,https://github.com/digitallyinduced/ihp
11,kmonad,4365,329,4365,202,2019-09-28T17:54:41Z,2025-03-25T10:20:50Z,1497,An advanced keyboard manager,Haskell,https://github.com/kmonad/kmonad
12,Haxl,4295,311,4295,6,2014-04-02T20:10:58Z,2024-11-19T13:29:04Z,783,"A Haskell library that simplifies access to remote data, such as databases or web-based services. ",Haskell,https://github.com/facebook/Haxl
13,fp-course,4172,1196,4172,17,2013-01-03T00:13:31Z,2024-12-02T00:31:53Z,4257,Functional Programming Course,Haskell,https://github.com/system-f/fp-course
14,duckling,4134,728,4134,137,2017-03-02T01:45:50Z,2025-02-22T01:17:27Z,7572,"Language, engine, and tooling for expressing, testing, and evaluating composable language rules on input strings.",Haskell,https://github.com/facebook/duckling
15,stack,4015,849,4015,587,2015-04-29T20:56:42Z,2025-03-22T20:22:55Z,26968,The Haskell Tool Stack,Haskell,https://github.com/commercialhaskell/stack
16,cardano-sl,3772,629,3772,188,2016-10-14T13:44:38Z,2020-07-30T15:22:04Z,119915,Cryptographic currency implementing Ouroboros PoS protocol,Haskell,https://github.com/input-output-hk/cardano-sl
17,Kind,3649,145,3649,6,2018-07-13T03:08:55Z,2025-01-22T16:54:12Z,36229,A modern proof language,Haskell,https://github.com/HigherOrderCO/Kind
