Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,kong,40460,4892,40460,127,2014-11-17T23:56:08Z,2025-03-26T18:08:52Z,94749,🦍 The Cloud-Native API Gateway and AI Gateway.,Lua,https://github.com/Kong/kong
2,waifu2x,27811,2705,27811,156,2015-05-17T07:29:15Z,2023-05-04T00:50:48Z,709513,Image Super-Resolution for Anime-Style Art,Lua,https://github.com/nagadomi/waifu2x
3,NvChad,25825,2179,25825,3,2021-03-07T14:33:17Z,2025-01-13T06:48:17Z,1981,"Blazing fast Neovim framework providing solid defaults and a beautiful UI, enhancing your neovim experience.",Lua,https://github.com/NvChad/NvChad
4,kickstart.nvim,23240,30810,23240,12,2022-06-24T03:11:24Z,2025-03-24T19:34:58Z,750,A launch point for your personal nvim configuration,Lua,https://github.com/nvim-lua/kickstart.nvim
5,LazyVim,19810,1398,19810,67,2022-12-30T16:31:42Z,2025-03-01T15:04:16Z,4973,Neovim config for the lazy,Lua,https://github.com/LazyVim/LazyVim
6,koreader,19058,1348,19058,871,2013-03-24T13:09:42Z,2025-03-28T00:58:25Z,67093,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",Lua,https://github.com/koreader/koreader
7,LunarVim,18729,1510,18729,44,2018-08-16T23:55:19Z,2024-07-13T21:36:31Z,14231,🌙 LunarVim is an IDE layer for Neovim. Completely free and community driven.,Lua,https://github.com/LunarVim/LunarVim
8,neural-style,18314,2695,18314,317,2015-09-01T04:55:14Z,2018-02-23T01:21:20Z,48191,Torch implementation of neural style algorithm,Lua,https://github.com/jcjohnson/neural-style
9,telescope.nvim,17143,863,17143,420,2020-07-15T04:04:58Z,2025-03-19T01:05:22Z,4503,"Find, Filter, Preview, Pick. All lua, all the time.",Lua,https://github.com/nvim-telescope/telescope.nvim
10,lazy.nvim,16778,410,16778,34,2022-11-20T21:36:02Z,2025-02-25T20:04:58Z,3507,💤 A modern plugin manager for Neovim,Lua,https://github.com/folke/lazy.nvim
11,openface,15255,3601,15255,3,2015-09-16T12:47:27Z,2024-10-04T12:59:04Z,24629,Face recognition with deep neural networks.,Lua,https://github.com/cmusatyalab/openface
12,apisix,14947,2567,14947,556,2019-04-10T02:02:05Z,2025-03-28T08:39:14Z,41055,The Cloud-Native API Gateway and AI Gateway,Lua,https://github.com/apache/apisix
13,AstroNvim,13176,944,13176,0,2022-02-02T22:33:34Z,2025-03-28T15:02:11Z,3557,AstroNvim is an aesthetic and feature-rich neovim config that is extensible and easy to use with a great set of plugins ,Lua,https://github.com/AstroNvim/AstroNvim
14,CycleGAN,12579,1956,12579,59,2017-03-30T15:56:21Z,2023-09-12T19:48:53Z,12841,"Software that can generate photos from paintings,  turn horses into zebras,  perform style transfer, and more.",Lua,https://github.com/junyanz/CycleGAN
15,char-rnn,11739,2604,11739,111,2015-05-21T17:25:24Z,2023-10-24T17:15:27Z,13412,"Multi-layer Recurrent Neural Networks (LSTM, GRU, RNN) for character-level language models in Torch",Lua,https://github.com/karpathy/char-rnn
16,avante.nvim,11710,473,11710,195,2024-08-14T16:45:16Z,2025-03-28T04:57:49Z,2220,Use your Neovim like using Cursor AI IDE!,Lua,https://github.com/yetone/avante.nvim
17,nvim-lspconfig,11452,2136,11452,52,2019-11-13T17:12:28Z,2025-03-27T12:56:21Z,4864,Quickstart configs for Nvim LSP,Lua,https://github.com/neovim/nvim-lspconfig
18,rime-ice,11065,719,11065,10,2021-01-29T10:25:46Z,2025-03-27T11:33:44Z,187032,Rime 配置：雾凇拼音 | 长期维护的简体词库,Lua,https://github.com/iDvel/rime-ice
19,xmake,10774,826,10774,197,2015-04-23T03:37:31Z,2025-03-28T13:56:06Z,37908,🔥 A cross-platform build utility based on Lua,Lua,https://github.com/xmake-io/xmake
20,pix2pix,10357,1722,10357,91,2016-11-16T22:48:50Z,2021-06-06T12:09:47Z,2497,Image-to-image translation with conditional adversarial nets,Lua,https://github.com/phillipi/pix2pix
21,nvim-cmp,8635,412,8635,293,2021-06-29T18:01:04Z,2025-03-14T07:08:39Z,914,A completion plugin for neovim coded in Lua.,Lua,https://github.com/hrsh7th/nvim-cmp
22,mason.nvim,8586,296,8586,229,2022-07-06T18:00:30Z,2025-03-24T21:45:27Z,3058,"Portable package manager for Neovim that runs everywhere Neovim runs. Easily install and manage LSP servers, DAP servers, linters, and formatters.",Lua,https://github.com/williamboman/mason.nvim
23,packer.nvim,7996,263,7996,303,2017-11-19T06:36:02Z,2024-03-05T19:20:31Z,1409,"A use-package inspired plugin manager for Neovim. Uses native packages, supports Luarocks dependencies, written in Lua, allows for expressive config",Lua,https://github.com/wbthomason/packer.nvim
24,openwrt-passwall,7920,2737,7920,5,2018-10-06T18:36:11Z,2025-03-28T00:43:34Z,20031,,Lua,https://github.com/xiaorouji/openwrt-passwall
25,lite,7877,357,7877,108,2019-12-28T11:12:25Z,2023-09-20T16:35:31Z,10262,A lightweight text editor written in Lua,Lua,https://github.com/rxi/lite
26,harpoon,7762,415,7762,132,2020-11-04T16:48:14Z,2025-02-10T21:22:07Z,2756,,Lua,https://github.com/ThePrimeagen/harpoon
27,nvim-tree.lua,7638,610,7638,81,2020-02-04T19:00:47Z,2025-03-23T01:47:11Z,5547,A file explorer tree for neovim written in lua,Lua,https://github.com/nvim-tree/nvim-tree.lua
28,dockercraft,7292,396,7292,17,2015-06-26T23:51:50Z,2021-06-15T14:24:53Z,48859,Docker + Minecraft = Dockercraft,Lua,https://github.com/docker/dockercraft
29,tokyonight.nvim,6903,448,6903,21,2021-04-16T17:21:40Z,2025-02-18T21:02:53Z,2049,"🏙  A clean, dark Neovim theme written in Lua, with support for lsp, treesitter and lots of plugins. Includes additional themes for Kitty, Alacritty, iTerm and Fish.",Lua,https://github.com/folke/tokyonight.nvim
30,mini.nvim,6900,227,6900,26,2021-06-18T08:43:57Z,2025-03-28T14:21:53Z,8855,Library of 40+ independent Lua modules improving overall Neovim (version 0.8 and higher) experience with minimal effort,Lua,https://github.com/echasnovski/mini.nvim
31,lualine.nvim,6804,489,6804,233,2020-12-30T14:35:10Z,2025-03-27T08:29:40Z,1481,A blazing fast and easy to configure neovim statusline plugin written in pure lua.,Lua,https://github.com/nvim-lualine/lualine.nvim
32,neorg,6773,223,6773,201,2021-04-11T17:35:43Z,2025-03-26T22:42:21Z,4917,Modernity meets insane extensibility. The future of organizing your life in Neovim.,Lua,https://github.com/nvim-neorg/neorg
33,dotfiles-public,6655,1171,6655,18,2020-10-15T07:23:52Z,2025-03-14T05:22:02Z,10738,My personal dotfiles,Lua,https://github.com/craftzdog/dotfiles-public
34,ntopng,6605,681,6605,251,2015-04-30T10:07:16Z,2025-03-28T14:54:09Z,405179,Web-based Traffic and Security Network Traffic Monitoring,Lua,https://github.com/ntop/ntopng
35,awesome,6552,602,6552,567,2014-03-03T19:56:16Z,2025-02-04T22:54:13Z,17010,awesome window manager,Lua,https://github.com/awesomeWM/awesome
36,nvim,6152,282,6152,22,2021-08-18T01:14:49Z,2025-02-28T17:42:04Z,3236,🍨 Soothing pastel theme for (Neo)vim,Lua,https://github.com/catppuccin/nvim
37,nvim-dap,6119,224,6119,29,2020-04-14T14:56:26Z,2025-03-27T21:54:47Z,753,Debug Adapter Protocol client implementation for Neovim,Lua,https://github.com/mfussenegger/nvim-dap
38,trouble.nvim,6015,184,6015,14,2021-04-21T22:12:24Z,2025-02-12T21:02:08Z,1616,"🚦 A pretty diagnostics, references, telescope results, quickfix and location list to help you solve all the trouble your code is causing.",Lua,https://github.com/folke/trouble.nvim
39,which-key.nvim,6005,196,6005,30,2021-04-28T10:13:18Z,2025-02-22T15:01:58Z,984,"💥   Create key bindings that stick. WhichKey helps you remember your Neovim keymaps, by showing available keybindings in a popup as you type.",Lua,https://github.com/folke/which-key.nvim
40,VeryNginx,5981,953,5981,111,2015-12-31T09:11:43Z,2020-06-30T07:07:17Z,642," A very powerful and friendly  nginx base on lua-nginx-module( openresty ) which provide WAF, Control Panel, and Dashboards. ",Lua,https://github.com/alexazhou/VeryNginx
41,lsyncd,5840,480,5840,178,2011-11-16T13:03:41Z,2024-11-27T15:11:27Z,2082,Lsyncd (Live Syncing Daemon) synchronizes local directories with remote targets,Lua,https://github.com/lsyncd/lsyncd
42,gitsigns.nvim,5608,203,5608,46,2020-10-18T10:14:43Z,2025-03-27T12:04:04Z,2123,Git integration for buffers,Lua,https://github.com/lewis6991/gitsigns.nvim
43,Neovim-from-scratch,5509,1158,5509,81,2021-12-15T05:35:18Z,2024-07-22T20:44:57Z,197,📚 A Neovim config designed from scratch to be understandable,Lua,https://github.com/LunarVim/Neovim-from-scratch
44,lite-xl,5181,248,5181,268,2020-05-24T20:32:25Z,2025-03-23T05:05:24Z,16641,A lightweight text editor written in Lua,Lua,https://github.com/lite-xl/lite-xl
45,obsidian.nvim,5017,254,5017,200,2022-07-31T17:37:11Z,2024-08-16T16:32:32Z,1477,Obsidian 🤝 Neovim,Lua,https://github.com/epwalsh/obsidian.nvim
46,oil.nvim,4865,149,4865,78,2022-12-15T07:35:18Z,2025-03-20T23:41:14Z,726,Neovim file explorer: edit your filesystem like a buffer,Lua,https://github.com/stevearc/oil.nvim
47,noice.nvim,4857,120,4857,26,2022-09-21T19:32:33Z,2025-02-11T19:04:52Z,1920,"💥 Highly experimental plugin that completely replaces the UI for messages, cmdline and the popupmenu.",Lua,https://github.com/folke/noice.nvim
48,kanagawa.nvim,4796,191,4796,77,2021-12-20T18:51:22Z,2025-03-18T10:19:07Z,4483,NeoVim dark colorscheme inspired by the colors of the famous painting by Katsushika Hokusai.,Lua,https://github.com/rebelot/kanagawa.nvim
49,DenseNet,4793,1069,4793,30,2016-08-24T21:32:52Z,2024-01-09T13:15:40Z,1304,"Densely Connected Convolutional Networks, In CVPR 2017 (Best Paper Award).",Lua,https://github.com/liuzhuang13/DenseNet
50,toggleterm.nvim,4772,183,4772,64,2020-08-17T17:33:39Z,2025-03-09T09:20:40Z,1932,A neovim lua plugin to help easily manage multiple terminal windows,Lua,https://github.com/akinsho/toggleterm.nvim
51,PathOfBuilding,4548,2115,4548,878,2019-09-04T11:13:55Z,2025-03-28T00:21:58Z,725079,Offline build planner for Path of Exile.,Lua,https://github.com/PathOfBuildingCommunity/PathOfBuilding
