Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,deep-photo-styletransfer,9998,1401,9998,30,2017-03-22T04:47:29Z,2021-08-02T01:07:44Z,174265,"Code and data for paper ""Deep Photo Style Transfer"": https://arxiv.org/abs/1703.07511 ",Matlab,https://github.com/luanfujun/deep-photo-styletransfer
2,Book-Mathematical-Foundation-of-Reinforcement-Learning,7851,811,7851,0,2022-08-07T06:22:20Z,2025-03-21T14:33:25Z,39302,"This is the homepage of a new book entitled ""Mathematical Foundations of Reinforcement Learning.""",MATLAB,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning
3,OpenFace,7169,1870,7169,356,2016-03-05T20:08:49Z,2024-06-01T00:44:07Z,1743945,"OpenFace – a state-of-the art tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation.",MATLAB,https://github.com/TadasBaltrusaitis/OpenFace
4,PRMLT,6119,2163,6119,0,2012-09-10T08:19:18Z,2020-03-04T13:50:30Z,506,Matlab code of machine learning algorithms in book PRML,MATLAB,https://github.com/PRML/PRMLT
5,vrn,4519,747,4519,7,2017-06-20T12:35:33Z,2022-07-26T00:06:01Z,538,":man:  Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression""",MATLAB,https://github.com/AaronJackson/vrn
6,DeepLearnToolbox,3819,2276,3819,82,2011-10-27T13:15:57Z,2018-10-13T18:08:01Z,16787,"Matlab/Octave toolbox for deep learning. Includes Deep Belief Nets, Stacked Autoencoders, Convolutional Neural Nets, Convolutional Autoencoders and vanilla Neural Nets. Each method has examples to get you started.",Matlab,https://github.com/rasmusbergpalm/DeepLearnToolbox
7,Math_Model,3473,699,3473,2,2021-10-09T12:13:58Z,2023-12-01T04:43:53Z,8617532,数学建模、美赛、美国大学生数学建模竞赛、全国大学生数学建模竞赛、华为杯研究生数学建模、国赛LaTeX模板、美赛LaTeX模板、mathorcup、电工杯、华中赛、APMCM、深圳杯、中青杯、华东杯、数维杯、东三省数学建模、认证杯、数学建模书籍、常用matlab算法、国赛评阅要点、软件模型算法汇总、智能算法、优化算法、现代的算法,MATLAB,https://github.com/personqianduixue/Math_Model
8,Stanford-CS-229,3379,857,3379,3,2017-04-18T03:12:48Z,2022-03-01T05:11:19Z,217451,A Chinese Translation of Stanford CS229 notes 斯坦福机器学习CS229课程讲义的中文翻译,MATLAB,https://github.com/cycleuser/Stanford-CS-229
9,MTCNN_face_detection_alignment,2843,999,2843,48,2016-09-25T06:36:33Z,2022-10-11T07:35:47Z,32807,Joint Face Detection and Alignment using Multi-task Cascaded Convolutional Neural Networks,MATLAB,https://github.com/kpzhang93/MTCNN_face_detection_alignment
10,faster_rcnn,2739,1220,2739,139,2015-08-06T06:38:25Z,2018-07-26T04:26:32Z,711,Faster R-CNN,Matlab,https://github.com/ShaoqingRen/faster_rcnn
11,eviltransform,2455,478,2455,17,2013-09-23T13:32:53Z,2024-01-15T01:44:21Z,94,Transport coordinate between earth(WGS-84) and mars in china(GCJ-02).,MATLAB,https://github.com/googollee/eviltransform
