Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,SecLists,61683,24234,61683,4,2012-02-19T01:30:18Z,2025-03-28T14:04:06Z,2073990,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",PHP,https://github.com/danielmiessler/SecLists
2,coolify,38987,2303,38987,490,2021-01-25T20:54:01Z,2025-03-28T14:42:30Z,37859,An open-source & self-hostable Heroku / Netlify / Vercel alternative.,PHP,https://github.com/coollabsio/coolify
3,framework,33370,11283,33370,63,2013-01-10T21:27:28Z,2025-03-27T19:06:11Z,89068,The Laravel Framework.,PHP,https://github.com/laravel/framework
4,jQuery-File-Upload,30933,7906,30933,52,2010-12-01T15:35:32Z,2023-05-25T09:11:07Z,4767,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",PHP,https://github.com/blueimp/jQuery-File-Upload
5,symfony,30121,9586,30121,820,2010-01-04T14:21:21Z,2025-03-28T13:38:50Z,293750,The Symfony PHP framework,PHP,https://github.com/symfony/symfony
6,server,29009,4211,29009,2548,2016-06-02T07:44:14Z,2025-03-28T14:59:58Z,5121813,"☁️ Nextcloud server, a safe home for all your data",PHP,https://github.com/nextcloud/server
7,composer,28896,4607,28896,136,2011-06-08T08:53:00Z,2025-03-25T10:48:58Z,27825,Dependency Manager for PHP,PHP,https://github.com/composer/composer
8,Faker,26793,3584,26793,228,2011-10-14T22:49:02Z,2024-03-20T13:44:54Z,10094,Faker is a PHP library that generates fake data for you,PHP,https://github.com/fzaninotto/Faker
9,guzzle,23345,2397,23345,45,2011-02-28T02:44:05Z,2025-03-28T01:08:40Z,10174,"Guzzle, an extensible PHP HTTP client",PHP,https://github.com/guzzle/guzzle
10,livewire,22782,1616,22782,52,2019-02-12T16:53:29Z,2025-03-27T20:23:13Z,20660,A full-stack framework for Laravel that takes the pain out of building dynamic UIs.,PHP,https://github.com/livewire/livewire
11,monica,22504,2253,22504,719,2017-02-17T00:02:58Z,2025-03-26T04:39:57Z,151948,"Personal CRM. Remember everything about your friends, family and business relationships.",PHP,https://github.com/monicahq/monica
12,filament,22370,3308,22370,226,2020-03-19T00:19:18Z,2025-03-28T12:35:18Z,429845,"A collection of beautiful full-stack components for Laravel. The perfect starting point for your next app. Using Livewire, Alpine.js and Tailwind CSS.",PHP,https://github.com/filamentphp/filament
