Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,cloc,20513,1043,20513,26,2015-09-07T03:30:43Z,2025-03-28T03:18:49Z,5457,"cloc counts blank lines, comment lines, and physical lines of source code in many programming languages.",Perl,https://github.com/AlDanial/cloc
2,FlameGraph,17984,2004,17984,168,2011-12-16T02:20:53Z,2024-10-20T21:48:45Z,1914,Stack trace visualizer,Perl,https://github.com/brendangregg/FlameGraph
3,diff-so-fancy,17538,338,17538,32,2016-02-04T11:32:08Z,2025-02-05T05:56:20Z,652,Good-lookin' diffs. Actually… nah… The best-lookin' diffs. :tada:,Perl,https://github.com/so-fancy/diff-so-fancy
4,MySQLTuner-perl,9142,1290,9142,39,2009-05-29T14:10:26Z,2025-02-10T20:14:19Z,34145,MySQLTuner is a script written in Perl that will assist you with your MySQL configuration and make recommendations for increased performance and stability.,Perl,https://github.com/major/MySQLTuner-perl
5,nikto,9085,1294,9085,28,2012-11-24T04:24:29Z,2025-02-22T14:30:28Z,4939,Nikto web server scanner,Perl,https://github.com/sullo/nikto
6,gitolite,8453,1004,8453,6,2009-08-24T00:53:39Z,2024-05-28T01:49:35Z,3154,"Hosting git repositories -- Gitolite allows you to setup git hosting on a central server, with very fine-grained access control and many (many!) more powerful features.",Perl,https://github.com/sitaramc/gitolite
7,git-it-electron,4708,1179,4708,135,2015-05-08T03:27:37Z,2024-04-10T10:28:06Z,80418,":computer: :mortar_board: Git-it is a (Mac, Win, Linux) Desktop App for Learning Git and GitHub",Perl,https://github.com/jlord/git-it-electron
8,Expose,4401,257,4401,24,2015-08-28T12:10:06Z,2022-03-16T05:58:08Z,409,A simple static site generator for photoessays,Perl,https://github.com/Jack000/Expose
9,sicp-pdf,4324,544,4324,19,2011-06-21T11:04:13Z,2024-06-27T03:43:02Z,37074,SICP PDF with Texinfo and LaTeX source,Perl,https://github.com/sarabander/sicp-pdf
10,EQGRP,4123,2069,4123,15,2017-04-08T14:03:59Z,2017-05-24T21:12:59Z,154216,Decrypted content of eqgrp-auction-file.tar.xz,Perl,https://github.com/x0rz/EQGRP
11,pgbadger,3681,358,3681,19,2012-04-11T10:09:17Z,2025-03-17T19:07:14Z,17734,A fast PostgreSQL Log Analyzer,Perl,https://github.com/darold/pgbadger
12,exiftool,3606,344,3606,7,2018-05-09T12:13:00Z,2025-03-11T11:53:48Z,44783,ExifTool meta information reader/writer,Perl,https://github.com/exiftool/exiftool
13,rsnapshot,3385,266,3385,52,2012-04-24T21:57:06Z,2025-01-27T02:00:16Z,2269,"a tool for backing up your data using rsync (if you want to get help, use https://lists.sourceforge.net/lists/listinfo/rsnapshot-discuss)",Perl,https://github.com/rsnapshot/rsnapshot
14,sanoid,3286,317,3286,140,2014-11-17T14:34:31Z,2025-02-12T00:54:53Z,1027,These are policy-driven snapshot management and replication tools which use OpenZFS for underlying next-gen storage. (Btrfs support plans are shelved unless and until btrfs becomes reliable.),Perl,https://github.com/jimsalterjrs/sanoid
15,.dotfiles,3233,316,3233,38,2021-06-15T15:59:58Z,2024-04-24T01:43:35Z,19341,,Perl,https://github.com/ThePrimeagen/.dotfiles
16,rcm,3156,136,3156,28,2013-06-07T08:54:28Z,2024-08-16T16:54:33Z,2124,rc file (dotfile) management,Perl,https://github.com/thoughtbot/rcm
17,sqitch,2949,216,2949,77,2012-01-27T07:47:06Z,2025-03-16T21:19:20Z,13763,Sensible database change management,Perl,https://github.com/sqitchers/sqitch
18,a-shell,2944,121,2944,550,2019-07-10T21:08:32Z,2025-01-04T17:22:17Z,120777,"A terminal for iOS, with multiple windows",Perl,https://github.com/holzschu/a-shell
19,openfortivpn,2876,334,2876,116,2015-01-26T17:25:00Z,2025-02-13T09:20:30Z,1283,Client for PPP+TLS VPN tunnel services,Perl,https://github.com/adrienverge/openfortivpn
20,nginx-tutorials,2873,437,2873,5,2011-12-01T07:33:56Z,2021-03-05T03:48:12Z,586,Nginx Tutorials,Perl,https://github.com/openresty/nginx-tutorials
21,sherloq,2774,256,2774,18,2017-06-24T10:30:28Z,2024-11-07T19:31:02Z,198625,An open-source digital image forensic toolset,Perl,https://github.com/GuidoBartoli/sherloq
22,ddclient,2749,351,2749,92,2012-08-14T13:40:13Z,2025-01-19T19:46:51Z,2681,ddclient updates dynamic DNS entries for accounts on a wide range of dynamic DNS services.,Perl,https://github.com/ddclient/ddclient
23,mojo,2683,583,2683,98,2008-10-21T07:50:26Z,2025-03-11T15:46:25Z,30137,:sparkles: Mojolicious - Perl real-time web framework,Perl,https://github.com/mojolicious/mojo
24,postgresqltuner,2625,192,2625,14,2016-12-15T20:42:20Z,2024-01-08T22:51:46Z,152,"Simple script to analyse your PostgreSQL database configuration, and give tuning advice",Perl,https://github.com/jfcoz/postgresqltuner
25,owasp-modsecurity-crs,2459,728,2459,45,2012-08-02T15:12:08Z,2020-06-16T12:32:12Z,3511,OWASP ModSecurity Core Rule Set (CRS) Project (Official Repository),Perl,https://github.com/SpiderLabs/owasp-modsecurity-crs
