Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,winutil,31836,1799,31836,211,2022-04-28T02:25:19Z,2025-03-19T19:32:17Z,9232,"Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates",PowerShell,https://github.com/ChrisTitusTech/winutil
2,Scoop,22007,1430,22007,341,2013-05-11T03:52:15Z,2025-03-05T16:22:24Z,13977,A command-line installer for Windows.,PowerShell,https://github.com/ScoopInstaller/Scoop
3,core,21248,4911,21248,317,2014-11-18T00:44:57Z,2025-03-27T22:14:37Z,48258,".NET news, announcements, release notes, and more!",PowerShell,https://github.com/dotnet/core
4,Windows10Debloater,18428,2064,18428,300,2017-12-12T01:35:58Z,2023-03-10T04:15:01Z,478,Script to remove Windows 10 bloatware.,PowerShell,https://github.com/Sycnex/Windows10Debloater
5,Win11Debloat,18389,797,18389,31,2020-10-27T22:26:59Z,2025-03-17T23:31:55Z,255,"A simple, easy to use PowerShell script to remove pre-installed apps from Windows, disable telemetry, remove Bing from Windows search as well as perform various other changes to declutter and improve your Windows experience. This script works for both Windows 10 and Windows 11.",PowerShell,https://github.com/Raphire/Win11Debloat
6,SpotX,16050,844,16050,2,2021-08-11T18:01:20Z,2025-03-23T20:03:28Z,25116,SpotX patcher used for patching the desktop version of Spotify,PowerShell,https://github.com/SpotX-Official/SpotX
7,Atlas,15216,557,15216,5,2021-02-08T00:26:23Z,2025-03-27T12:16:09Z,339734,"🚀 An open and lightweight modification to Windows, designed to optimize performance, privacy and usability.",PowerShell,https://github.com/Atlas-OS/Atlas
8,PowerSploit,12215,4663,12215,104,2012-05-26T16:08:48Z,2020-08-17T23:19:49Z,10719,PowerSploit - A PowerShell Post-Exploitation Framework,PowerShell,https://github.com/PowerShellMafia/PowerSploit
9,tiny11builder,11499,948,11499,143,2023-02-24T23:42:36Z,2024-11-17T19:45:03Z,249,Scripts to build a trimmed-down Windows 11 image.,PowerShell,https://github.com/ntdevlabs/tiny11builder
10,Office-Tool,10956,916,10956,1,2018-11-06T10:54:58Z,2025-03-28T13:33:28Z,37388,Office Tool Plus localization projects.,PowerShell,https://github.com/YerongAI/Office-Tool
11,runner-images,10881,3284,10881,73,2019-06-05T15:02:59Z,2025-03-28T15:05:11Z,12964,GitHub Actions runner images,PowerShell,https://github.com/actions/runner-images
12,BloodHound-Legacy,10113,1757,10113,87,2016-04-17T18:36:14Z,2025-03-11T20:44:10Z,190593,Six Degrees of Domain Admin,PowerShell,https://github.com/SpecterOps/BloodHound-Legacy
13,blazor,9329,647,9329,0,2018-01-03T16:53:27Z,2021-02-23T15:13:56Z,228933,Blazor moved to https://github.com/dotnet/aspnetcore,PowerShell,https://github.com/dotnet/blazor
14,winget-pkgs,9216,4916,9216,1733,2019-07-16T22:21:48Z,2025-03-28T14:52:06Z,407575,The Microsoft community Windows Package Manager manifest repository,PowerShell,https://github.com/microsoft/winget-pkgs
15,nishang,9085,2483,9085,22,2014-05-19T11:48:24Z,2024-04-25T19:39:44Z,11154,"Nishang - Offensive PowerShell for red team, penetration testing and offensive security. ",PowerShell,https://github.com/samratashok/nishang
16,Sophia-Script-for-Windows,8111,599,8111,1,2018-10-17T11:09:58Z,2025-03-20T12:03:00Z,156350,:zap: The most powerful PowerShell module for fine-tuning Windows,PowerShell,https://github.com/farag2/Sophia-Script-for-Windows
17,posh-git,7881,820,7881,108,2010-03-10T03:52:24Z,2024-09-02T15:03:06Z,2966,A PowerShell environment for Git,PowerShell,https://github.com/dahlbyk/posh-git
18,Empire,7574,2832,7574,101,2015-08-05T18:25:57Z,2020-01-19T22:50:59Z,22502,Empire is a PowerShell and Python post-exploitation agent.,PowerShell,https://github.com/EmpireProject/Empire
19,commando-vm,7139,1308,7139,9,2019-03-26T22:36:32Z,2024-09-24T19:14:18Z,16798,"Complete Mandiant Offensive VM (Commando VM), a fully customizable Windows-based pentesting virtual machine distribution. commandovm@mandiant.com",PowerShell,https://github.com/mandiant/commando-vm
20,flare-vm,7071,979,7071,18,2017-07-05T21:17:16Z,2025-03-17T10:39:53Z,15558,A collection of software installations scripts for Windows systems that allows you to easily setup and maintain a reverse engineering environment on a VM.,PowerShell,https://github.com/mandiant/flare-vm
21,docker,6918,4595,6918,25,2014-07-18T05:51:05Z,2025-03-26T13:02:51Z,2409,Docker official jenkins repo,PowerShell,https://github.com/jenkinsci/docker
