Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
1,neovim,87778,5956,87778,1897,2014-01-31T13:39:22Z,2025-03-28T13:17:39Z,315197,Vim-fork focused on extensibility and usability,Vim Script,https://github.com/neovim/neovim
2,vim,37803,5615,37803,1529,2015-08-18T21:03:56Z,2025-03-27T19:17:04Z,158004,The official Vim repository,Vim Script,https://github.com/vim/vim
3,vim-plug,34687,1948,34687,81,2013-09-10T14:58:51Z,2025-03-12T15:20:41Z,8996,:hibiscus: Minimalist Vim Plugin Manager,Vim Script,https://github.com/junegunn/vim-plug
4,vimrc,31121,7307,31121,12,2012-05-29T16:19:29Z,2024-10-06T08:26:02Z,32472,The ultimate Vim configuration (vimrc),Vim Script,https://github.com/amix/vimrc
5,Vundle.vim,24008,2563,24008,207,2010-10-17T23:17:53Z,2024-07-30T05:53:03Z,948,"Vundle, the plug-in manager for Vim",Vim Script,https://github.com/VundleVim/Vundle.vim
6,vim-fugitive,20498,1019,20498,74,2009-10-09T01:09:49Z,2025-02-19T22:44:39Z,2669,"fugitive.vim: A Git wrapper so awesome, it should be illegal",Vim Script,https://github.com/tpope/vim-fugitive
7,SpaceVim,20378,1418,20378,5,2016-12-26T04:40:55Z,2025-02-17T14:14:00Z,70665,A modular configuration of Vim and Neovim,Vim Script,https://github.com/wsdjeg/SpaceVim
8,nerdtree,19834,1449,19834,28,2008-03-10T07:34:08Z,2024-07-20T05:04:50Z,1965,A tree explorer plugin for vim.,Vim Script,https://github.com/preservim/nerdtree
9,vim-airline,17873,1104,17873,50,2013-06-30T18:49:56Z,2024-12-05T05:51:56Z,3730,lean & mean status/tabline for vim that's light as air,Vim Script,https://github.com/vim-airline/vim-airline
10,vim-galore,17156,616,17156,10,2016-01-04T17:02:16Z,2023-12-22T22:15:38Z,952,:mortar_board: All things Vim!,Vim script,https://github.com/mhinz/vim-galore
11,vim-go,16096,1437,16096,40,2014-03-24T13:12:26Z,2025-03-10T02:39:40Z,7195,Go development plugin for Vim,Vim Script,https://github.com/fatih/vim-go
12,solarized,15886,3510,15886,219,2011-02-18T05:18:27Z,2024-07-11T19:57:30Z,34558,"precision color scheme for multiple applications (terminal, vim, etc.) with both dark/light modes",Vim script,https://github.com/altercation/solarized
13,spf13-vim,15564,3614,15564,351,2010-04-20T16:20:16Z,2023-11-04T13:49:54Z,5905,The ultimate vim distribution,VimL,https://github.com/spf13/spf13-vim
14,gruvbox,14250,1109,14250,155,2012-11-28T00:37:31Z,2023-12-04T09:30:29Z,6869,Retro groove color scheme for Vim,Vim Script,https://github.com/morhetz/gruvbox
15,ale,13713,1452,13713,567,2016-09-08T23:22:45Z,2025-03-27T12:40:37Z,19856,"Check syntax in Vim/Neovim asynchronously and fix files, with Language Server Protocol (LSP) support",Vim Script,https://github.com/dense-analysis/ale
16,til,13705,754,13705,21,2015-02-07T04:03:24Z,2025-03-27T15:41:57Z,2595,:memo: Today I Learned,Vim Script,https://github.com/jbranchaud/til
17,vim-surround,13681,445,13681,136,2008-09-11T01:00:16Z,2024-06-30T12:27:56Z,129,surround.vim: Delete/change/add parentheses/quotes/XML-tags/much more with ease,Vim Script,https://github.com/tpope/vim-surround
18,vim-pathogen,12137,1163,12137,27,2009-12-13T20:59:18Z,2022-08-24T17:21:16Z,103,pathogen.vim: manage your runtimepath,Vim Script,https://github.com/tpope/vim-pathogen
19,syntastic,11290,1137,11290,50,2009-07-11T04:05:54Z,2022-07-10T12:58:50Z,4504,Syntax checking hacks for vim,Vim script,https://github.com/vim-syntastic/syntastic
20,vim-galore-zh_cn,10703,1413,10703,0,2017-03-23T00:35:10Z,2024-12-30T06:07:39Z,284,Vim 从入门到精通,Vim Script,https://github.com/wsdjeg/vim-galore-zh_cn
