Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,VVVVVV,7908,595,7908,54,16/10/2015,24/01/2026,16.24 MB,The source code to VVVVVV! http://thelettervsixtim.es/,ActionScript,https://github.com/TerryCavanagh/VVVVVV,16.24 MB
2,open-source-flash,7318,112,7318,31,26/07/2017,24/02/2021,109.00 KB,Petition to open source Flash and Shockwave spec,ActionScript,https://github.com/open-source-flash/open-source-flash,109.00 KB
3,Starling-Framework,3018,819,3018,97,24/07/2011,05/01/2026,30.69 MB,The Cross Platform Game Engine,ActionScript,https://github.com/Gamua/Starling-Framework,30.69 MB
4,webcamjs,2510,1111,2510,164,03/03/2014,22/04/2020,376.00 KB,HTML5 Webcam Image Capture Library with Flash Fallback,ActionScript,https://github.com/jhuckaby/webcamjs,376.00 KB
5,as3corelib,1501,447,1501,120,28/07/2010,18/08/2024,2.80 MB," An ActionScript 3 Library that contains a number of classes and utilities for working with ActionScript? 3. These include classes for MD5 and SHA 1 hashing, Image encoders, and JSON serialization as well as general String, Number and Date APIs.",ActionScript,https://github.com/mikechambers/as3corelib,2.80 MB
6,mapgen2,1362,213,1362,1,22/06/2010,07/05/2025,202.00 KB,"Map generator for games written in Flash. *There's an HTML5 version* on github/redblobgames/mapgen2 . Generates island maps with a focus on mountains, rivers, coastlines.",ActionScript,https://github.com/amitp/mapgen2,202.00 KB
7,scratch-flash,1353,516,1353,0,12/05/2014,05/02/2019,9.96 MB,Open source version of the Scratch 2.0 project editor.  This is the basis for the online and offline versions of Scratch found on the website.,ActionScript,https://github.com/scratchfoundation/scratch-flash,9.96 MB
8,flixel,1137,195,1137,75,18/10/2009,05/11/2015,9.84 MB,"flixel is a free Actionscript (Flash) library that I distilled from a variety of Flash games that I've worked on over the last couple years, including Gravity Hook, Fathom and Canabalt.  It's primary function is to provide some useful base classes that you can extend to make your own game objects.",ActionScript,https://github.com/AdamAtomic/flixel,9.84 MB
9,as3-signals,1062,200,1062,9,10/09/2009,19/05/2025,3.05 MB,"Signals is a new approach for AS3 events, inspired by C# events and signals/slots in Qt. ",ActionScript,https://github.com/robertpenner/as3-signals,3.05 MB
10,bfxr,1023,91,1023,10,24/02/2011,17/04/2025,98.59 MB,Flash + AIR sound effects generator.   Based on Sfxr.,ActionScript,https://github.com/increpare/bfxr,98.59 MB
11,robotlegs-framework,965,257,965,19,05/10/2009,16/06/2020,12.03 MB,An ActionScript 3 application framework for Flash and Flex,ActionScript,https://github.com/robotlegs/robotlegs-framework,12.03 MB
12,malware-samples,927,202,927,0,07/02/2018,26/03/2024,57.91 MB,"A collection of malware samples and relevant dissection information, most probably referenced from http://blog.inquest.net",ActionScript,https://github.com/InQuest/malware-samples,57.91 MB
13,feathersui-starling,915,384,915,169,01/03/2012,22/01/2026,35.70 MB,"User interface components for Starling Framework, ActionScript 3, and Adobe AIR",ActionScript,https://github.com/feathersui/feathersui-starling,35.70 MB
14,flashls,750,261,750,169,24/06/2014,19/11/2018,130.71 MB,"HLS Flash Plugin/Player (Chromeless,OSMF,FlowPlayer,mediaelement.js,video.js,Clappr)",ActionScript,https://github.com/mangui/flashls,130.71 MB
15,VirtualCockroach,706,50,706,31,12/09/2019,24/09/2019,89.79 MB,"一只蟑螂桌面“宠物” Cockroach Desktop ""Pet""",ActionScript,https://github.com/FerryYoungFan/VirtualCockroach,89.79 MB
16,juicy-breakout,675,126,675,0,08/05/2012,24/03/2017,1.65 MB,,ActionScript,https://github.com/grapefrukt/juicy-breakout,1.65 MB
17,away3d-core-fp11,641,271,641,111,05/07/2011,03/06/2024,17.53 MB,Away3D engine for Flash Player 11,ActionScript,https://github.com/away3d/away3d-core-fp11,17.53 MB
18,emulator,639,257,639,91,03/09/2014,02/08/2015,12.12 MB,"Emulator of NES, Super Nintendo, Sega Mega Drive, GameBoy video consoles",ActionScript,https://github.com/nesbox/emulator,12.12 MB
19,boscaceoil,594,70,594,50,23/08/2013,11/07/2024,2.46 MB,A simple music making program,ActionScript,https://github.com/TerryCavanagh/boscaceoil,2.46 MB
20,Citrus-Engine,553,224,553,65,06/08/2012,30/10/2022,11.19 MB,Modern AS3 Game Engine,ActionScript,https://github.com/DaVikingCode/Citrus-Engine,11.19 MB
21,Fanvas,552,195,552,0,13/01/2016,24/10/2019,7.53 MB,Fanvas，一键把swf转为html5 canvas动画。 Fanvas is a tool which can turn flash into canvas animation with just one key!,ActionScript,https://github.com/Tencent/Fanvas,7.53 MB
22,as3swf,528,125,528,15,15/07/2009,21/02/2018,24.05 MB,"Low level Actionscript 3 library to parse, create, modify and publish SWF files.",ActionScript,https://github.com/claus/as3swf,24.05 MB
23,jQuery-webcam,516,270,516,34,17/09/2010,04/04/2024,38.00 KB,A webcam wrapper plugin for jQuery,ActionScript,https://github.com/infusion/jQuery-webcam,38.00 KB
24,Ash,452,97,452,6,11/01/2012,16/04/2017,1.16 MB,An Actionscript 3 entity system framework for game development,ActionScript,https://github.com/richardlord/Ash,1.16 MB
25,GreenSock-AS3,418,143,418,3,21/09/2012,29/05/2019,1.52 MB,"Public repository for GreenSock's ActionScript 3 libraries like GSAP (TweenLite, TweenMax, etc.) and LoaderMax. For AS2, see the GreenSock-AS2 repository and for JavaScript, see the GreenSock-JS repository. Main site: http://www.greensock.com",ActionScript,https://github.com/greensock/GreenSock-AS3,1.52 MB
26,FlashPunk,396,136,396,69,02/06/2010,31/03/2016,1.98 MB,"A free ActionScript 3 library designed for developing 2D Flash games. It provides you with a fast, clean framework to prototype and develop your games in. This means that most of the dirty work (timestep, animation, input, and collision to name a few) is already coded for you and ready to go, giving you more time and energy to concentrate on the design and testing of your game. ",ActionScript,https://github.com/useflashpunk/FlashPunk,1.98 MB
27,Anodyne-1-Repo,384,36,384,1,04/04/2020,04/06/2024,68.61 MB,Anodyne 1 Source Code,ActionScript,https://github.com/analgesicproductions/Anodyne-1-Repo,68.61 MB
28,flump,384,72,384,41,24/01/2012,27/01/2020,4.95 MB,Exports Flash .FLAs to GPU-friendly formats,ActionScript,https://github.com/tconkling/flump,4.95 MB
29,Alternativa3D,380,126,380,19,28/03/2012,03/05/2024,18.19 MB,Alternativa3D Flash GPU accelerated 3D engine,ActionScript,https://github.com/AlternativaPlatform/Alternativa3D,18.19 MB
30,royale-asjs,378,115,378,257,16/05/2013,27/01/2026,60.85 MB,Apache Royale ASJS,ActionScript,https://github.com/apache/royale-asjs,60.85 MB
31,Weave,369,68,369,8,27/04/2011,06/01/2019,558.80 MB,Weave (Web-based Analysis and Visualization Environment),ActionScript,https://github.com/WeaveTeam/Weave,558.80 MB
32,flex-sdk,364,146,364,3,30/08/2012,04/03/2024,262.72 MB,Mirror of Apache Flex SDK,ActionScript,https://github.com/apache/flex-sdk,262.72 MB
33,wck,357,54,357,13,07/10/2009,01/09/2015,82.34 MB,Box2d Flash Alchemy Port + World Construction Kit (AS3 Physics Engine),ActionScript,https://github.com/jesses/wck,82.34 MB
34,AS3Libs,356,42,356,0,16/04/2011,25/08/2021,4.11 MB,A collection of AS3 libraries and sketches that I have built over the years.,ActionScript,https://github.com/gskinner/AS3Libs,4.11 MB
35,Gestouch,356,84,356,37,29/04/2011,01/03/2016,733.00 KB,Gestouch: multitouch gesture recognition library for Flash (ActionScript) development.,ActionScript,https://github.com/fljot/Gestouch,733.00 KB
36,Flare,354,77,354,4,04/08/2010,02/08/2012,1.81 MB,"Flare is an ActionScript library for creating visualizations that run in the Adobe Flash Player. From basic charts and graphs to complex interactive graphics, the toolkit supports data management, visual encoding, animation, and interaction techniques. ",ActionScript,https://github.com/prefuse/Flare,1.81 MB
37,Zoe,333,98,333,7,16/10/2011,01/09/2015,799.00 KB,Zoë is an open source tool for generating spritesheet images and frame data from SWF files. It enables illustrators to maintain a familiar workflow while generating animations for EaselJS and other formats.,ActionScript,https://github.com/CreateJS/Zoe,799.00 KB
38,restfulx_framework,329,59,329,17,07/06/2008,19/09/2011,8.24 MB,The RESTful way to develop Adobe Flex and AIR applications.,ActionScript,https://github.com/dima/restfulx_framework,8.24 MB
39,mBlock,329,236,329,46,13/03/2015,27/02/2017,375.47 MB,"base on scratch offline v2.0 by MIT, Learn more from Makeblock official website",ActionScript,https://github.com/Makeblock-official/mBlock,375.47 MB
40,Starling-Extension-Particle-System,325,144,325,1,02/09/2011,25/07/2024,143.00 KB,"A particle system for the Starling framework, compatible with the ""Particle Designer"" from 71squared.com",ActionScript,https://github.com/Gamua/Starling-Extension-Particle-System,143.00 KB
41,Spike,320,208,320,42,17/02/2018,08/11/2024,85.25 MB,Get The Most Out Of Your CGM Transmitter,ActionScript,https://github.com/SpikeApp/Spike,85.25 MB
42,nd2d,319,63,319,8,15/03/2011,29/09/2015,11.69 MB,A Flash Molehill (Stage3D) GPU accelerated 2D game engine,ActionScript,https://github.com/lrrrs/nd2d,11.69 MB
43,skyui,291,166,291,38,28/06/2012,11/05/2023,39.00 MB,SkyUI interface mod for Skyrim.,ActionScript,https://github.com/schlangster/skyui,39.00 MB
44,flash,283,180,283,103,28/08/2012,30/01/2016,42.82 MB,"Flowplayer Flash, the video player for the Web",ActionScript,https://github.com/flowplayer/flash,42.82 MB
45,Starling-Extension-Graphics,283,85,283,34,03/10/2012,24/03/2017,8.68 MB,flash.display.Graphics style extension for the Starling Flash GPU rendering framework,ActionScript,https://github.com/StarlingGraphics/Starling-Extension-Graphics,8.68 MB
46,SwiftSuspenders,278,87,278,10,16/09/2009,22/03/2013,3.11 MB,  NOTE: Find the offical repo at http://github.com/robotlegs/swiftsuspenders,ActionScript,https://github.com/tschneidereit/SwiftSuspenders,3.11 MB
47,as3-utils,273,58,273,3,08/04/2010,04/06/2013,5.41 MB,reusable package-level functions that solve common problems,ActionScript,https://github.com/as3/as3-utils,5.41 MB
48,flexunit,270,90,270,2,23/10/2009,16/01/2014,58.60 MB,Open source repository for FlexUnit project for Actionscript 3 and Flex projects.,ActionScript,https://github.com/flexunit/flexunit,58.60 MB
49,glassesfactory,269,24,269,0,09/11/2010,07/08/2016,145.00 KB,俺々ライブラリ,ActionScript,https://github.com/glassesfactory/glassesfactory,145.00 KB
50,BulkLoader,269,60,269,10,14/10/2010,31/08/2015,9.49 MB,A bulk loading library for Actionscript.,ActionScript,https://github.com/arthur-debert/BulkLoader,9.49 MB
51,Flint,259,60,259,0,30/08/2010,16/04/2017,8.70 MB,Actionscript 3 Particle Engine for Flash and Flex,ActionScript,https://github.com/richardlord/Flint,8.70 MB
52,SWFWire,255,94,255,21,10/08/2010,10/09/2018,15.56 MB,Flash Development Tools,ActionScript,https://github.com/magicalhobo/SWFWire,15.56 MB
53,AS3WebSocket,250,97,250,8,27/03/2011,22/09/2016,788.00 KB,ActionScript 3 WebSocket client implementation for the final WebSocket Draft RFC6455,ActionScript,https://github.com/theturtle32/AS3WebSocket,788.00 KB
54,DragonBonesAS,250,118,250,18,30/10/2012,30/08/2017,3.97 MB,DragonBones ActionScript Runtime,ActionScript,https://github.com/DragonBones/DragonBonesAS,3.97 MB
55,Flixel-Power-Tools,248,45,248,6,06/05/2011,28/11/2013,89.05 MB,The Flixel Power Tools are a set of plug-ins for Flixel 2.5+ to assist with your game development,ActionScript,https://github.com/photonstorm/Flixel-Power-Tools,89.05 MB
56,MMORPG,247,83,247,1,17/08/2017,12/03/2018,191.73 MB,MMORPG是一个可以用来学习ARPG核心战斗的项目（不再维护）。http://v.youku.com/v_show/id_XOTE5NDg1MTg0.html?firsttime=0,ActionScript,https://github.com/dianbaer/MMORPG,191.73 MB
57,as3httpclient,243,75,243,11,13/05/2008,03/11/2021,2.22 MB,HTTP Client for AS3,ActionScript,https://github.com/gabriel/as3httpclient,2.22 MB
58,FlashWavRecorder,241,106,241,34,29/12/2010,25/10/2016,3.20 MB,Simple flash file for recording audio and saving as a WAV,ActionScript,https://github.com/michalstocki/FlashWavRecorder,3.20 MB
59,Papervision3D,238,54,238,4,14/10/2009,17/11/2009,1.04 MB,A Real-Time 3D Engine for Flash Player 10,ActionScript,https://github.com/Papervision3D/Papervision3D,1.04 MB
60,swiz-framework,225,41,225,18,19/10/2009,19/06/2013,4.09 MB,Swiz framework for AS3 and Flex,ActionScript,https://github.com/swiz/swiz-framework,4.09 MB
61,avmplus,221,73,221,7,16/12/2015,02/10/2019,17.43 MB,Source code for the Actionscript virtual machine,ActionScript,https://github.com/adobe/avmplus,17.43 MB
62,ovmeet,221,112,221,1,31/05/2014,02/03/2025,8.86 MB,MCU融屏、指挥调度 、网页视频会议、视频会议、H5视频直播、WebRtc、RTMP、SIP、RTSP、白板、视频录制、视频通话、旁路直播、AR眼镜、执法记录仪、AR专家系统、AR远程协助、AR巡检、远程医疗、视频安全帽、机顶盒,ActionScript,https://github.com/ccallcn/ovmeet,8.86 MB
63,glitch-avatars,213,99,213,1,23/10/2013,03/12/2013,496.93 MB,Art and source for Glitch's customizable avatars,ActionScript,https://github.com/tinyspeck/glitch-avatars,496.93 MB
64,FlashSocket.IO,211,74,211,13,23/02/2011,22/09/2016,7.19 MB,"Library to help Flash, Flex and ActionScript clients connect to Socket.IO servers.",ActionScript,https://github.com/simb/FlashSocket.IO,7.19 MB
65,Starling-Filters,208,50,208,0,26/05/2013,12/12/2017,871.00 KB,A collection of filters for use with the Starling AS3 framework.,ActionScript,https://github.com/devon-o/Starling-Filters,871.00 KB
66,GrindPlayer,208,62,208,7,25/02/2013,02/10/2014,1.33 MB,"OSMF + Flex based flash video player, which provides most needed functionality in nowadays",ActionScript,https://github.com/kutu/GrindPlayer,1.33 MB
67,avmplus,206,89,206,1,02/12/2013,03/12/2013,15.18 MB,Source code for the Actionscript virtual machine ,ActionScript,https://github.com/adobe-flash/avmplus,15.18 MB
68,Flashbang,205,47,205,14,23/02/2014,19/04/2015,75.20 MB,"Project ""Flashbang"" - An open-source Flash-security helper",ActionScript,https://github.com/cure53/Flashbang,75.20 MB
69,flexlib,204,88,204,285,18/06/2011,29/05/2017,110.01 MB,Open Source Flex components library.,ActionScript,https://github.com/flex-users/flexlib,110.01 MB
70,kingdom,203,54,203,2,22/09/2013,20/01/2021,45.10 MB,A minimal game.,ActionScript,https://github.com/noio/kingdom,45.10 MB
71,grapefrukt-export,199,28,199,5,08/03/2011,27/02/2013,4.41 MB,a set of actionscript tools to export animations and graphic assets made in flash authoring to other formats.,ActionScript,https://github.com/grapefrukt/grapefrukt-export,4.41 MB
72,FileReader,191,59,191,31,30/03/2012,15/04/2014,194.00 KB,A FileReader polyfill for Internet Explore and Safari using Flash,ActionScript,https://github.com/AVapps/FileReader,194.00 KB
73,books,189,98,189,0,14/09/2012,24/11/2012,190.68 MB,books,ActionScript,https://github.com/zengfeng/books,190.68 MB
74,WebViewANE,187,53,187,9,05/01/2017,13/09/2025,293.69 MB,"WebView Adobe Air Native Extension for macOS 10.10+, Windows Desktop, iOS 9.0+ and Android 19+. This ANE provides access to a more modern webview from AIR.",ActionScript,https://github.com/tuarua/WebViewANE,293.69 MB
75,rtmp-streamer,186,50,186,13,24/05/2016,09/02/2018,282.00 KB,浏览器RTMP推流SDK (A javascript rtmp streamer library),ActionScript,https://github.com/chxj1992/rtmp-streamer,282.00 KB
76,fzip,184,62,184,5,26/11/2009,06/11/2010,321.00 KB,"FZip is an Actionscript 3 class library to load, modify and create standard ZIP archives.",ActionScript,https://github.com/claus/fzip,321.00 KB
77,DesignPanel,183,94,183,19,30/10/2012,20/04/2021,37.27 MB,DragonBones DesignPanel,ActionScript,https://github.com/DragonBones/DesignPanel,37.27 MB
78,glitch-items,182,94,182,1,15/11/2013,16/12/2013,761.95 MB,"Items, Inhabitants, and other assorted things from www.glitchthegame.com",ActionScript,https://github.com/tinyspeck/glitch-items,761.95 MB
79,osmf-hls-plugin,180,93,180,31,08/04/2013,04/04/2016,40.55 MB,OSMF HLS Plugin,ActionScript,https://github.com/denivip/osmf-hls-plugin,40.55 MB
80,glitch-client,179,95,179,0,01/10/2013,22/01/2014,14.16 MB,Source for the Flash-based Glitch client,ActionScript,https://github.com/tinyspeck/glitch-client,14.16 MB
81,hamcrest-as3,176,25,176,22,18/12/2008,21/03/2012,5.06 MB,"Port of hamcrest to ActionScript 3,  a library of matcher objects (also known as constraints or predicates) allowing 'match' rules to be defined declaratively, to be used in other frameworks. Typical scenarios include testing frameworks, mocking libraries and UI validation rules.",ActionScript,https://github.com/drewbourne/hamcrest-as3,5.06 MB
82,ArcusNode,174,35,174,10,12/05/2011,08/07/2017,274.00 KB,A RTMFP Rendevouz Service For Peer Assisted Networking With Adobe Flash on Node JS,ActionScript,https://github.com/OpenRTMFP/ArcusNode,274.00 KB
83,AutoAni,171,39,171,2,08/09/2018,05/11/2019,230.01 MB,免编译自适应 swf 可视化模版,ActionScript,https://github.com/LePtC/AutoAni,230.01 MB
84,GPUImage,171,32,171,4,21/05/2012,14/09/2012,400.00 KB,AS3 framework for GPU-based image processing,ActionScript,https://github.com/inspirit/GPUImage,400.00 KB
85,promise-as3,167,52,167,15,05/11/2011,04/10/2015,6.29 MB,Promises/A+ compliant implementation in ActionScript 3.0,ActionScript,https://github.com/CC-Archived/promise-as3,6.29 MB
86,Hungry-Hero,165,95,165,2,27/10/2012,20/08/2013,523.00 KB,Hungry Hero is an open source Flash game built on Starling Framework.,ActionScript,https://github.com/hsharma-design/Hungry-Hero,523.00 KB
87,standingwave3,161,24,161,18,15/12/2009,20/12/2012,8.62 MB,Flash ActionScript3 dynamic audio library,ActionScript,https://github.com/maxl0rd/standingwave3,8.62 MB
88,ElonaPlusCustom-GX,159,19,159,24,31/07/2021,24/01/2023,26.30 MB,Elona+ variant based on Custom-G,ActionScript,https://github.com/Ruin0x11/ElonaPlusCustom-GX,26.30 MB
89,as3delaunay,158,105,158,3,14/09/2009,26/06/2015,351.00 KB,Delaunay triangulation and Voronoi diagram for Flash (Flash Builder 4 project),ActionScript,https://github.com/nodename/as3delaunay,351.00 KB
90,django-filebrowser-no-grappelli,150,113,150,26,23/11/2009,04/05/2021,1.92 MB,django-filebrowser for default Django admin site.  Based on https://github.com/sehmaschine/django-filebrowser v3.1 (before it was in git)  Consider using https://github.com/smacker/django-filebrowser-no-grappelli which is based on a newer version,ActionScript,https://github.com/wardi/django-filebrowser-no-grappelli,1.92 MB
91,signals-extensions-CommandSignal,150,41,150,4,18/01/2010,07/09/2011,3.05 MB,Robotlegs extension to facilitate the use of AS3-Signals with Robotlegs commands,ActionScript,https://github.com/joelhooks/signals-extensions-CommandSignal,3.05 MB
92,red-rogue,149,18,149,2,07/05/2010,15/01/2019,973.83 MB,flex roguelike,ActionScript,https://github.com/st33d/red-rogue,973.83 MB
93,mockolate,144,25,144,27,01/10/2009,18/07/2012,11.67 MB,"fake chocolate, mock objects and test spies for AS3",ActionScript,https://github.com/drewbourne/mockolate,11.67 MB
94,StarlingPunk,140,30,140,6,26/06/2012,17/04/2017,942.00 KB,"StarlingPunk is a framework built on top the Starling library designed to add structure and organization to your 2D game projects. It’s perfect for rapidly prototyping ideas and promotes code reuse between projects.  As you may have been able to tell from the name, StarlingPunk is heavily inspired by the popular FlashPunk framework, although its not a direct port.",ActionScript,https://github.com/asaia/StarlingPunk,942.00 KB
95,purePDF,140,62,140,9,28/02/2013,29/04/2019,15.60 MB,A complete actionscript PDF library,ActionScript,https://github.com/sephiroth74/purePDF,15.60 MB
96,SoundAS,139,45,139,11,22/04/2013,02/10/2023,6.51 MB,A modern lightweight sound manager for AS3. ,ActionScript,https://github.com/treefortress/SoundAS,6.51 MB
97,secure-swfupload,137,48,137,2,19/06/2013,19/06/2020,1.79 MB,"A fork of the long-abandoned SWFUpload project, maintained by WordPress and others to ensure that a secure version of SWFUpload exists. Report security vulnerabilities to swfupload-security@wordpress.org.",ActionScript,https://github.com/WordPress/secure-swfupload,1.79 MB
98,arcgis-viewer-flex,135,150,135,0,01/10/2011,25/11/2014,8.89 MB,Source code for ArcGIS Viewer for Flex - a great application framework for web applications.,ActionScript,https://github.com/Esri/arcgis-viewer-flex,8.89 MB
99,Moonshine-IDE,135,16,135,304,07/08/2017,28/01/2026,1.33 GB,"Moonshine is a free and open source middleweight IDE built with ActionScript 3 for ActionScript 3, Apache Flex®, Apache Royale™, and Feathers development, with Cloud and Desktop support.",ActionScript,https://github.com/Moonshine-IDE/Moonshine-IDE,1.33 GB
100,locomote-video-player,132,78,132,0,28/05/2014,06/03/2020,11.47 MB,Media Player in Adobe Flash with RTSP support. (THIS PROJECT IS NO LONGER MAINTAINED),ActionScript,https://github.com/AxisCommunications/locomote-video-player,11.47 MB
101,ABPlayer,131,32,131,1,13/10/2011,26/11/2014,232.00 KB,A Flex based live comment displayer for online video comment sharing. 一个基于Flex的在线弹幕播放器。 ,ActionScript,https://github.com/jabbany/ABPlayer,232.00 KB
102,destroytwitter,130,34,130,5,17/07/2011,18/04/2017,9.06 MB,"a lightweight, multi-platform Twitter client",ActionScript,https://github.com/destroytoday/destroytwitter,9.06 MB
103,numeric-springing,127,10,127,0,27/08/2016,18/04/2020,1.64 MB,Precise & designer-friendly numeric springing algorithms,ActionScript,https://github.com/TheAllenChou/numeric-springing,1.64 MB
104,starlingMVC,125,25,125,10,12/06/2012,24/04/2017,1.95 MB,IOC Framework for Starling based games,ActionScript,https://github.com/CreativeBottle/starlingMVC,1.95 MB
105,graphicscorelib,125,56,125,4,22/04/2011,11/05/2017,210.00 KB,"A Flash Platform SDK, a nice toolbox with libs for every ActionScript 3 developer.",ActionScript,https://github.com/thibaultimbert/graphicscorelib,210.00 KB
106,Ending,125,12,125,1,21/07/2013,28/07/2013,6.39 MB,Roguelike puzzle game,ActionScript,https://github.com/st33d/Ending,6.39 MB
107,actionjson,125,11,125,2,30/10/2010,06/02/2012,1.18 MB,"A faster, more advanced ActionScript 3 JSON library",ActionScript,https://github.com/mherkender/actionjson,1.18 MB
108,HYPE_AS3,124,20,124,2,14/10/2009,30/10/2011,77.97 MB,the Hype Framework is a collaborative visual framework developed in FDT and AS3 by Branden Hall and Joshua Davis.,ActionScript,https://github.com/hype/HYPE_AS3,77.97 MB
109,DocViewer,124,80,124,0,13/10/2011,16/06/2022,19.34 MB,一个文档在线阅读的JAVA企业级解决方案,ActionScript,https://github.com/icode/DocViewer,19.34 MB
110,redtamarin,120,23,120,89,01/03/2014,26/02/2016,54.15 MB,AS3 running on the command line / server side,ActionScript,https://github.com/Corsaair/redtamarin,54.15 MB
111,Citrus-Engine-Examples,120,146,120,2,26/10/2012,20/03/2016,76.54 MB,"Examples for the Citrus Engine, AS3 Game Engine",ActionScript,https://github.com/DaVikingCode/Citrus-Engine-Examples,76.54 MB
112,Whack,120,48,120,2,05/10/2011,05/06/2012,7.63 MB,Whack Game Starling Project for Flash Player 11,ActionScript,https://github.com/byxb/Whack,7.63 MB
113,actionscript3-tmbundle,119,43,119,17,05/02/2009,28/05/2020,2.34 MB,ActionScript 3 TextMate Bundle,ActionScript,https://github.com/simongregory/actionscript3-tmbundle,2.34 MB
