Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,v2rayN,109909,15433,109909,9,30/07/2019,25/06/2026,47.31 MB,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others",C#,https://github.com/2dust/v2rayN,47.31 MB
2,shadowsocks-windows,59571,16246,59571,199,14/01/2013,01/01/2025,13.17 MB,A C# port of shadowsocks,C#,https://github.com/shadowsocks/shadowsocks-windows,13.17 MB
3,PowerShell,54179,8361,54179,1527,13/01/2016,23/06/2026,101.88 MB,PowerShell for every system!,C#,https://github.com/PowerShell/PowerShell,101.88 MB
4,jellyfin,53670,5034,53670,576,09/12/2018,25/06/2026,73.29 MB,The Free Software Media System - Server Backend & API,C#,https://github.com/jellyfin/jellyfin,73.29 MB
5,Files,44041,2759,44041,476,04/01/2019,25/06/2026,271.92 MB,A modern file manager that helps users organize their files and folders.,C#,https://github.com/files-community/Files,271.92 MB
6,ShareX,38266,3805,38266,655,08/10/2013,25/06/2026,67.91 MB,"ShareX is a free and open-source application that enables users to capture or record any area of their screen with a single keystroke. It also supports uploading images, text, and various file types to a wide range of destinations.",C#,https://github.com/ShareX/ShareX,67.91 MB
7,aspnetcore,38146,10715,38146,4021,11/03/2014,25/06/2026,373.83 MB,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",C#,https://github.com/dotnet/aspnetcore,373.83 MB
8,RevokeMsgPatcher,38007,4013,38007,55,21/07/2019,11/05/2026,3.67 MB,:trollface: A hex editor for WeChat/QQ/TIM - PC版微信/QQ/TIM防撤回补丁（我已经看到了，撤回也没用了）,C#,https://github.com/huiyadanli/RevokeMsgPatcher,3.67 MB
9,DevToys,31688,1754,31688,332,29/09/2021,25/02/2026,223.91 MB,A Swiss Army knife for developers.,C#,https://github.com/DevToys-app/DevToys,223.91 MB
10,Avalonia,31043,2728,31043,1887,05/12/2013,25/06/2026,224.05 MB,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The future of .NET UI",C#,https://github.com/AvaloniaUI/Avalonia,224.05 MB
11,dnSpy,29578,5570,29578,185,01/07/2015,20/12/2020,34.23 MB,.NET debugger and assembly editor,C#,https://github.com/dnSpy/dnSpy,34.23 MB
12,semantic-kernel,28197,4663,28197,268,27/02/2023,25/06/2026,99.55 MB,Integrate cutting-edge LLM technology quickly and easily into your apps,C#,https://github.com/microsoft/semantic-kernel,99.55 MB
13,ScreenToGif,27171,2338,27171,323,02/08/2016,27/04/2026,25.71 MB,"🎬 ScreenToGif allows you to record a selected area of your screen, edit and save it as a gif or video.",C#,https://github.com/NickeManarin/ScreenToGif,25.71 MB
14,SteamTools,25961,1660,25961,1132,15/12/2020,11/03/2026,261.89 MB,🛠「Watt Toolkit」是一个开源跨平台的多功能 Steam 工具箱。,C#,https://github.com/BeyondDimension/SteamTools,261.89 MB
15,ILSpy,25505,3676,25505,213,04/02/2011,25/06/2026,50.44 MB,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!",C#,https://github.com/icsharpcode/ILSpy,50.44 MB
16,WaveFunctionCollapse,25152,1346,25152,9,30/09/2016,22/03/2026,30.39 MB,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics,C#,https://github.com/mxgmn/WaveFunctionCollapse,30.39 MB
17,UniGetUI,24718,842,24718,398,15/06/2021,25/06/2026,892.67 MB,UniGetUI: The Graphical Interface for your package managers. Could be terribly described as a package manager manager to manage your package managers,C#,https://github.com/Devolutions/UniGetUI,892.67 MB
18,eShopOnContainers,24362,10112,24362,71,05/10/2016,15/11/2023,645.60 MB,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 7, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor. Moved to https://github.com/dotnet/eShop.",C#,https://github.com/dotnet-architecture/eShopOnContainers,645.60 MB
19,QuickLook,23899,1269,23899,179,12/04/2017,24/06/2026,338.56 MB,Bring macOS “Quick Look” feature to Windows,C#,https://github.com/QL-Win/QuickLook,338.56 MB
20,maui,23271,1951,23271,3975,08/05/2020,25/06/2026,1.32 GB,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",C#,https://github.com/dotnet/maui,1.32 GB
21,CodeHub,22600,610,22600,237,23/07/2013,22/06/2022,73.86 MB,CodeHub is an iOS application written using Xamarin,C#,https://github.com/CodeHubApp/CodeHub,73.86 MB
22,awesome-dotnet-core,21302,2954,21302,200,17/03/2016,27/02/2026,1.34 MB,":honeybee: A collection of awesome .NET core libraries, tools, frameworks and software",C#,https://github.com/thangchung/awesome-dotnet-core,1.34 MB
23,roslyn,20502,4271,20502,6230,11/01/2015,25/06/2026,2.52 GB,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,C#,https://github.com/dotnet/roslyn,2.52 GB
24,CleanArchitecture,20248,4233,20248,22,07/10/2019,25/06/2026,9.80 MB,Clean Architecture Solution Template for ASP.NET Core,C#,https://github.com/jasontaylordev/CleanArchitecture,9.80 MB
25,Lean,20176,4983,20176,246,28/11/2014,25/06/2026,570.88 MB,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#)",C#,https://github.com/QuantConnect/Lean,570.88 MB
26,PEASS-ng,20049,3364,20049,2,13/01/2019,24/06/2026,63.73 MB,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),C#,https://github.com/peass-ng/PEASS-ng,63.73 MB
27,Bulk-Crap-Uninstaller,19894,866,19894,134,01/08/2016,18/06/2026,11.96 MB,Remove large amounts of unwanted applications quickly.,C#,https://github.com/BCUninstaller/Bulk-Crap-Uninstaller,11.96 MB
28,ml-agents,19512,4465,19512,26,08/09/2017,25/06/2026,2.89 GB,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,C#,https://github.com/Unity-Technologies/ml-agents,2.89 GB
29,ContextMenuManager,19410,855,19410,170,15/10/2020,17/08/2024,1.80 MB,🖱️ 纯粹的Windows右键菜单管理程序,C#,https://github.com/BluePointLilac/ContextMenuManager,1.80 MB
30,server,19290,1678,19290,208,23/11/2015,25/06/2026,52.07 MB,"Bitwarden infrastructure/backend (API, database, Docker, etc).",C#,https://github.com/bitwarden/server,52.07 MB
31,CMWTAT_Digital_Edition,19136,2173,19136,32,27/05/2018,02/07/2025,58.05 MB,"CloudMoe Windows 10/11 Activation Toolkit get digital license, the best open source Win 10/11 activator in GitHub. GitHub 上最棒的开源 Win10/Win11 数字权利（数字许可证）激活工具！",C#,https://github.com/TGSAN/CMWTAT_Digital_Edition,58.05 MB
32,lively,19075,1304,19075,381,08/08/2019,30/04/2026,306.79 MB,Free and open-source software that allows users to set animated desktop wallpapers and screensavers powered by WinUI 3.,C#,https://github.com/rocksdanister/lively,306.79 MB
33,osu,18567,2707,18567,1871,31/07/2014,25/06/2026,199.89 MB,rhythm is just a *click* away!,C#,https://github.com/ppy/osu,199.89 MB
34,Dapper,18336,3673,18336,544,14/04/2011,16/05/2026,48.89 MB,Dapper - a simple object mapper for .Net,C#,https://github.com/DapperLib/Dapper,48.89 MB
35,CleanArchitecture,18308,3066,18308,39,30/09/2016,18/06/2026,3.65 MB,Clean Architecture Solution Template: A proven Clean Architecture Template for ASP.NET Core 10,C#,https://github.com/ardalis/CleanArchitecture,3.65 MB
36,optimizer,18242,1192,18242,92,13/09/2017,20/01/2026,46.05 MB,The finest Windows Optimizer,C#,https://github.com/hellzerg/optimizer,46.05 MB
37,runtime,18000,5480,18000,8274,24/09/2019,25/06/2026,1.09 GB,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",C#,https://github.com/dotnet/runtime,1.09 GB
38,netch,17635,2841,17635,7,25/06/2019,23/06/2026,11.55 MB,A simple proxy client,C#,https://github.com/netchx/netch,11.55 MB
39,OpenRA,16872,2962,16872,1619,04/10/2010,24/06/2026,340.65 MB,"Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X.",C#,https://github.com/OpenRA/OpenRA,340.65 MB
40,MaterialDesignInXamlToolkit,16182,3503,16182,155,07/02/2015,22/06/2026,78.02 MB,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",C#,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,78.02 MB
41,N_m3u8DL-CLI,15984,2287,15984,258,18/04/2019,03/06/2023,6.25 MB,"[.NET] m3u8 downloader 开源的命令行m3u8/HLS/dash下载器，支持普通AES-128-CBC解密，多线程，自定义请求头等. 支持简体中文,繁体中文和英文. English Supported.",C#,https://github.com/nilaoda/N_m3u8DL-CLI,6.25 MB
42,Jackett,15630,1519,15630,214,29/10/2015,25/06/2026,43.62 MB,API Support for your favorite torrent trackers,C#,https://github.com/Jackett/Jackett,43.62 MB
43,YoutubeDownloader,15507,1986,15507,20,16/11/2018,08/06/2026,1.54 MB,Downloads videos and playlists from YouTube,C#,https://github.com/Tyrrrz/YoutubeDownloader,1.54 MB
44,AssetStudio,15488,2928,15488,183,02/08/2016,08/12/2022,39.23 MB,"AssetStudio is a tool for exploring, extracting and exporting assets and assetbundles.",C#,https://github.com/Perfare/AssetStudio,39.23 MB
45,Flow.Launcher,15020,617,15020,289,21/04/2020,25/06/2026,96.27 MB,:mag: Quick file search & app launcher for Windows with community-made plugins,C#,https://github.com/Flow-Launcher/Flow.Launcher,96.27 MB
46,efcore,14721,3391,14721,2367,23/01/2014,25/06/2026,226.51 MB,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",C#,https://github.com/dotnet/efcore,226.51 MB
47,duplicati,14684,1045,14684,653,05/08/2014,25/06/2026,195.14 MB,Store securely encrypted backups in the cloud!,C#,https://github.com/duplicati/duplicati,195.14 MB
48,FileConverter,14652,885,14652,336,06/04/2015,27/02/2026,242.40 MB,File Converter is a very simple tool which allows you to convert and compress files using the context menu in windows explorer.,C#,https://github.com/Tichau/FileConverter,242.40 MB
49,abp,14321,3699,14321,314,03/12/2016,25/06/2026,2.49 GB,"Open-source web application framework for ASP.NET Core! Offers an opinionated architecture to build enterprise software solutions with best practices on top of the .NET. Provides the fundamental infrastructure, cross-cutting-concern implementations, startup templates, application modules, UI themes, tooling and documentation.",C#,https://github.com/abpframework/abp,2.49 GB
