Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,FiraCode,81053,3172,81053,423,11/11/2014,28/01/2026,88.23 MB,Free monospaced font with programming ligatures,Clojure,https://github.com/tonsky/FiraCode,88.23 MB
2,metabase,45752,6192,45752,3948,02/02/2015,30/01/2026,1.50 GB,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Clojure,https://github.com/metabase/metabase,1.50 GB
3,penpot,43948,2445,43948,546,29/12/2015,29/01/2026,317.22 MB,Penpot: The open-source design tool for design and code collaboration,Clojure,https://github.com/penpot/penpot,317.22 MB
4,logseq,40633,2437,40633,1058,23/05/2020,29/01/2026,146.63 MB,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: https://discuss.logseq.com/t/logseq-product-roadmap/34267",Clojure,https://github.com/logseq/logseq,146.63 MB
5,LightTable,11710,916,11710,181,27/06/2012,17/06/2022,19.19 MB,The Light Table IDE ⛺,Clojure,https://github.com/LightTable/LightTable,19.19 MB
6,instant,9666,323,9666,16,19/08/2024,29/01/2026,68.83 MB,Instant is a modern Firebase. We make you productive by giving your frontend a real-time database.,Clojure,https://github.com/instantdb/instant,68.83 MB
7,clojurescript,9378,788,9378,6,20/07/2011,19/01/2026,18.27 MB,Clojure to JS compiler,Clojure,https://github.com/clojure/clojurescript,18.27 MB
8,leiningen,7309,1584,7309,94,01/11/2009,12/09/2025,7.37 MB,Moved to Codeberg; this is a convenience mirror,Clojure,https://github.com/technomancy/leiningen,7.37 MB
9,jepsen,7299,741,7299,68,14/04/2013,16/01/2026,46.43 MB,"A framework for distributed systems verification, with fault injection",Clojure,https://github.com/jepsen-io/jepsen,46.43 MB
10,om,6639,354,6639,80,11/12/2013,17/08/2020,2.13 MB,ClojureScript interface to Facebook's React,Clojure,https://github.com/omcljs/om,2.13 MB
11,athens,6313,399,6313,317,31/03/2020,03/02/2023,76.45 MB,"Athens is no longer maintainted. Athens was an open-source, collaborative knowledge graph, backed by YC W21",Clojure,https://github.com/athensresearch/athens,76.45 MB
12,overtone,6138,453,6138,95,23/08/2010,24/01/2026,9.23 MB,Collaborative Programmable Music ,Clojure,https://github.com/overtone/overtone,9.23 MB
13,datascript,5701,314,5701,79,15/04/2014,11/10/2025,1.89 MB,"Immutable database and Datalog query engine for Clojure, ClojureScript and JS",Clojure,https://github.com/tonsky/datascript,1.89 MB
14,re-frame,5521,713,5521,24,05/12/2014,03/01/2026,96.65 MB,"A ClojureScript framework for building user interfaces, leveraging React",Clojure,https://github.com/day8/re-frame,96.65 MB
15,reagent,4861,410,4861,27,18/12/2013,23/01/2026,4.34 MB,A minimalistic ClojureScript interface to React.js,Clojure,https://github.com/reagent-project/reagent,4.34 MB
16,babashka,4408,263,4408,35,09/08/2019,29/01/2026,11.49 MB,"Native, fast starting Clojure interpreter for scripting",Clojure,https://github.com/babashka/babashka,11.49 MB
17,riemann,4261,506,4261,30,08/02/2012,31/05/2025,7.50 MB,"A network event stream processing system, in Clojure.",Clojure,https://github.com/riemann/riemann,7.50 MB
18,compojure,4111,260,4111,7,01/05/2008,15/09/2025,5.73 MB,A concise routing library for Ring/Clojure,Clojure,https://github.com/weavejester/compojure,5.73 MB
19,status-legacy,4017,1002,4017,466,22/02/2016,21/01/2026,476.66 MB,"a free (libre) open source, mobile OS for Ethereum",Clojure,https://github.com/status-im/status-legacy,476.66 MB
20,ring,3863,524,3863,41,29/04/2012,20/01/2026,7.36 MB,Clojure HTTP server abstraction,Clojure,https://github.com/ring-clojure/ring,7.36 MB
21,clojure-koans,3798,2135,3798,9,02/11/2010,28/05/2024,283.00 KB,A set of exercises for learning Clojure,Clojure,https://github.com/functional-koans/clojure-koans,283.00 KB
22,icepick,3733,205,3733,26,13/07/2013,26/05/2021,945.00 KB,Android Instance State made easy,Clojure,https://github.com/frankiesardo/icepick,945.00 KB
23,maelstrom,3481,199,3481,17,12/04/2017,28/11/2025,1.28 MB,A workbench for writing toy implementations of distributed systems.,Clojure,https://github.com/jepsen-io/maelstrom,1.28 MB
24,swarmpit,3399,310,3399,193,06/02/2017,25/01/2026,6.70 MB,Lightweight mobile-friendly Docker Swarm management UI,Clojure,https://github.com/swarmpit/swarmpit,6.70 MB
25,mori,3375,146,3375,63,11/05/2012,19/04/2020,1.60 MB,ClojureScript's persistent data structures and supporting API from the comfort of vanilla JavaScript,Clojure,https://github.com/swannodette/mori,1.60 MB
26,quil,3032,170,3032,46,05/03/2012,29/01/2026,10.69 MB,Main repo. Quil source code.,Clojure,https://github.com/quil/quil,10.69 MB
27,modern-cljs,2916,284,2916,37,03/11/2012,09/10/2020,33.37 MB,A series of tutorials on ClojureScript,Clojure,https://github.com/magomimmo/modern-cljs,33.37 MB
28,xtdb,2907,183,2907,634,19/03/2018,29/01/2026,227.84 MB,"An immutable SQL database for application development, time-travel reporting and data compliance. Developed by @juxt",Clojure,https://github.com/xtdb/xtdb,227.84 MB
29,hiccup,2899,175,2899,26,02/11/2009,19/06/2025,470.00 KB,Fast library for rendering HTML in Clojure,Clojure,https://github.com/weavejester/hiccup,470.00 KB
30,lein-figwheel,2878,206,2878,98,18/04/2014,26/03/2024,3.65 MB,Figwheel builds your ClojureScript code and hot loads it into the browser as you are coding!,Clojure,https://github.com/bhauman/lein-figwheel,3.65 MB
31,awesome-clojure,2803,213,2803,8,09/07/2014,22/05/2024,210.00 KB,A curated list of awesome Clojure libraries and resources. Inspired by awesome-... stuff,Clojure,https://github.com/razum2um/awesome-clojure,210.00 KB
32,instaparse,2802,150,2802,42,03/02/2013,30/05/2024,1.25 MB,,Clojure,https://github.com/Engelberg/instaparse,1.25 MB
33,pedestal,2759,308,2759,40,04/03/2013,29/01/2026,8.74 MB,The Pedestal Server-side Libraries,Clojure,https://github.com/pedestal/pedestal,8.74 MB
34,clojure-cookbook,2610,434,2610,39,12/06/2013,12/01/2024,11.13 MB,This is the home of O'Reilly's Clojure Cookbook - http://clojure-cookbook.com,Clojure,https://github.com/clojure-cookbook/clojure-cookbook,11.13 MB
35,specter,2609,103,2609,38,26/02/2015,30/09/2025,1.89 MB,Clojure(Script)'s missing piece,Clojure,https://github.com/redplanetlabs/specter,1.89 MB
36,aleph,2581,241,2581,46,07/07/2010,20/01/2026,3.39 MB,"Asynchronous streaming communication for Clojure - web server, web client, and raw TCP/UDP",Clojure,https://github.com/clj-commons/aleph,3.39 MB
37,code-maat,2544,242,2544,11,08/08/2013,03/07/2025,1.39 MB,A command line tool to mine and analyze data from version-control systems,Clojure,https://github.com/adamtornhill/code-maat,1.39 MB
38,schema,2460,252,2460,27,22/07/2013,19/08/2025,3.09 MB,Clojure(Script) library for declarative data description and validation,Clojure,https://github.com/plumatic/schema,3.09 MB
39,shadow-cljs,2378,184,2378,44,09/10/2015,22/01/2026,9.41 MB,ClojureScript compilation made easy,Clojure,https://github.com/thheller/shadow-cljs,9.41 MB
40,incanter,2252,286,2252,78,12/03/2009,10/11/2023,41.57 MB,"Clojure-based, R-like statistical computing and graphics environment for the JVM",Clojure,https://github.com/incanter/incanter,41.57 MB
41,component,2148,93,2148,3,22/10/2013,25/10/2025,162.00 KB,Managed lifecycle of stateful objects in Clojure,Clojure,https://github.com/stuartsierra/component,162.00 KB
42,electric,2085,56,2085,9,30/09/2020,12/11/2025,10.43 MB,Electric Clojure: full-stack differential dataflow for UI,Clojure,https://github.com/hyperfiddle/electric,10.43 MB
43,onyx,2045,201,2045,84,02/12/2013,31/08/2019,16.61 MB,"Distributed, masterless, high performance, fault tolerant data processing",Clojure,https://github.com/onyx-platform/onyx,16.61 MB
44,core.async,2038,213,2038,2,15/05/2013,12/01/2026,2.55 MB,Facilities for async programming and communication in Clojure,Clojure,https://github.com/clojure/core.async,2.55 MB
45,clerk,2016,87,2016,75,08/03/2021,20/01/2026,3.89 MB,⚡️ Moldable Live Programming for Clojure,Clojure,https://github.com/nextjournal/clerk,3.89 MB
46,transit-format,1907,36,1907,10,26/06/2014,15/07/2024,1.18 MB,A data interchange format.,Clojure,https://github.com/cognitect/transit-format,1.18 MB
47,honeysql,1878,173,1878,2,13/07/2012,23/01/2026,1.40 MB,Turn Clojure data structures into SQL,Clojure,https://github.com/seancorfield/honeysql,1.40 MB
48,lumo,1878,83,1878,111,28/09/2016,16/05/2022,19.91 MB,"Fast, cross-platform, standalone ClojureScript environment",Clojure,https://github.com/anmonteiro/lumo,19.91 MB
49,lacinia,1848,166,1848,15,15/03/2017,17/10/2025,3.75 MB,GraphQL implementation in pure Clojure,Clojure,https://github.com/walmartlabs/lacinia,3.75 MB
50,clj-kondo,1819,296,1819,98,20/03/2019,25/01/2026,15.34 MB,Static analyzer and linter for Clojure code that sparks joy,Clojure,https://github.com/clj-kondo/clj-kondo,15.34 MB
51,clj-http,1816,410,1816,69,07/09/2011,02/12/2025,2.04 MB,An idiomatic clojure http client wrapping the apache client. Officially supported version.,Clojure,https://github.com/dakrone/clj-http,2.04 MB
52,sente,1790,194,1790,11,21/02/2014,06/11/2025,1.62 MB,Realtime web comms library for Clojure/Script,Clojure,https://github.com/taoensso/sente,1.62 MB
53,kibit,1764,130,1764,54,04/03/2012,22/05/2024,471.00 KB,There's a function for that!,Clojure,https://github.com/clj-commons/kibit,471.00 KB
54,boot,1750,177,1750,111,23/10/2014,22/04/2021,2.99 MB,Build tooling for Clojure.,Clojure,https://github.com/boot-clj/boot,2.99 MB
55,datahike,1718,102,1718,79,05/01/2018,21/01/2026,5.30 MB,"A fast, versioned, distributed Datalog engine for everyone. ",Clojure,https://github.com/replikativ/datahike,5.30 MB
56,Midje,1693,128,1693,43,23/05/2010,04/01/2024,71.31 MB,"Midje provides a migration path from clojure.test to a more flexible, readable, abstract, and gracious style of testing",Clojure,https://github.com/marick/Midje,71.31 MB
57,malli,1691,228,1691,153,17/05/2019,26/01/2026,8.17 MB,High-performance data-driven data specification library for Clojure/Script.,Clojure,https://github.com/metosin/malli,8.17 MB
58,Arcadia,1686,106,1686,55,17/04/2014,15/02/2023,56.55 MB,Clojure in Unity,Clojure,https://github.com/arcadia-unity/Arcadia,56.55 MB
59,HumbleUI,1664,57,1664,33,29/10/2021,12/12/2025,4.15 MB,Clojure Desktop UI framework,Clojure,https://github.com/HumbleUI/HumbleUI,4.15 MB
60,closh,1624,67,1624,64,31/10/2017,05/12/2022,2.22 MB,Bash-like shell based on Clojure,Clojure,https://github.com/dundalek/closh,2.22 MB
61,enlive,1620,149,1620,31,18/01/2009,17/01/2022,361.00 KB,a selector-based (à la CSS) templating and transformation system for Clojure,Clojure,https://github.com/cgrand/enlive,361.00 KB
62,fulcro,1599,146,1599,2,12/07/2017,19/01/2026,18.31 MB,A library for development of single-page full-stack web applications in clj/cljs,Clojure,https://github.com/fulcrologic/fulcro,18.31 MB
63,ClojureDart,1584,102,1584,111,25/01/2021,29/01/2026,7.61 MB,Clojure dialect for Flutter and Dart,Clojure,https://github.com/Tensegritics/ClojureDart,7.61 MB
64,dactyl-manuform,1574,171,1574,15,09/04/2018,30/09/2022,73.50 MB,,Clojure,https://github.com/abstracthat/dactyl-manuform,73.50 MB
65,reitit,1547,260,1547,80,07/08/2017,23/01/2026,19.28 MB,A fast data-driven routing library for Clojure/Script,Clojure,https://github.com/metosin/reitit,19.28 MB
66,cheshire,1545,153,1545,52,23/03/2011,25/09/2025,1.20 MB,Clojure JSON and JSON SMILE (binary json format) encoding/decoding,Clojure,https://github.com/dakrone/cheshire,1.20 MB
