Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,SwitchyOmega,22487,3555,22487,808,08/06/2012,27/12/2024,2.15 MB,"No longer maintained, see pinned issues",CoffeeScript,https://github.com/FelisCatus/SwitchyOmega,2.15 MB
2,mojs,18672,888,18672,39,26/06/2014,05/02/2025,137.67 MB,The motion graphics toolbelt for the web,CoffeeScript,https://github.com/mojs/mojs,137.67 MB
3,coffeescript,16593,1982,16593,95,18/12/2009,22/03/2024,29.88 MB,Unfancy JavaScript,CoffeeScript,https://github.com/jashkenas/coffeescript,29.88 MB
4,zxcvbn,15822,1005,15822,137,28/02/2012,19/08/2024,15.81 MB,Low-Budget Password Strength Estimation,CoffeeScript,https://github.com/dropbox/zxcvbn,15.81 MB
5,dynamics.js,7571,412,7571,9,03/02/2014,26/02/2019,861.00 KB,Javascript library to create physics-based animations,CoffeeScript,https://github.com/michaelvillar/dynamics.js,861.00 KB
6,morris.js,6891,1206,6891,326,21/02/2012,07/10/2021,1.47 MB,Pretty time-series line graphs,CoffeeScript,https://github.com/morrisjs/morris.js,1.47 MB
7,At.js,5266,659,5266,158,18/01/2012,18/11/2021,1.79 MB,Add Github like mentions autocomplete to your application.,CoffeeScript,https://github.com/ichord/At.js,1.79 MB
8,node-xml2js,4972,609,4972,246,17/07/2010,30/07/2023,550.00 KB,XML to JavaScript object converter.,CoffeeScript,https://github.com/Leonidas-from-XIV/node-xml2js,550.00 KB
9,aglio,4756,478,4756,135,15/11/2013,13/05/2019,798.00 KB,An API Blueprint renderer with theme support that outputs static HTML,CoffeeScript,https://github.com/danielgtaylor/aglio,798.00 KB
10,vibrant.js,4610,230,4610,2,24/05/2015,28/11/2017,925.00 KB,Extract prominent colors from an image. JS port of Android's Palette.,CoffeeScript,https://github.com/jariz/vibrant.js,925.00 KB
11,pivottable,4449,1087,4449,390,25/06/2013,06/01/2024,5.96 MB,"Open-source Javascript Pivot Table (aka Pivot Grid, Pivot Chart, Cross-Tab) implementation with drag'n'drop.",CoffeeScript,https://github.com/nicolaskruchten/pivottable,5.96 MB
12,bootstrap-tour,4428,927,4428,194,03/07/2012,09/10/2023,3.78 MB,Quick and easy product tours with Twitter Bootstrap Popovers,CoffeeScript,https://github.com/sorich87/bootstrap-tour,3.78 MB
13,yakyak,3782,313,3782,107,02/06/2015,30/09/2025,19.47 MB,Desktop chat client for Google Hangouts,CoffeeScript,https://github.com/yakyak/yakyak,19.47 MB
14,hubot-scripts,3613,1826,3613,0,08/09/2011,10/07/2017,2.49 MB,"DEPRECATED, see https://github.com/github/hubot-scripts/issues/1113 for details - optional scripts for hubot, opt in via hubot-scripts.json",CoffeeScript,https://github.com/github/hubot-scripts,2.49 MB
15,activate-power-mode,3582,413,3582,53,28/11/2015,24/05/2019,567.00 KB,Atom package - Activate POWER MODE to write your code in style.,CoffeeScript,https://github.com/JoelBesada/activate-power-mode,567.00 KB
16,pagedraw,3554,462,3554,103,12/01/2019,12/01/2023,51.23 MB,a UI builder for React web apps,CoffeeScript,https://github.com/Pagedraw/pagedraw,51.23 MB
17,turbolinks-classic,3534,424,3534,45,26/09/2012,06/12/2017,715.00 KB,Classic version of Turbolinks. Now deprecated in favor of Turbolinks 5.,CoffeeScript,https://github.com/turbolinks/turbolinks-classic,715.00 KB
18,jquery.payment,3517,676,3517,0,23/12/2012,02/08/2017,224.00 KB,"[DEPRECATED] A general purpose library for building credit card forms, validating inputs and formatting numbers.          ",CoffeeScript,https://github.com/stripe-archive/jquery.payment,224.00 KB
