Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
1,flutter,173741,29455,173741,12335,06/03/2015,07/11/2025,405.48 MB,415210,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,https://github.com/flutter/flutter
2,localsend,69917,3738,69917,797,16/12/2022,01/11/2025,16.73 MB,17127,An open-source cross-platform alternative to AirDrop,Dart,https://github.com/localsend/localsend
3,AppFlowy,66356,4705,66356,1007,16/06/2021,06/11/2025,91.82 MB,94028,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative.",Dart,https://github.com/AppFlowy-IO/AppFlowy
4,awesome-flutter,57859,6821,57859,11,07/05/2017,07/10/2025,3.47 MB,3551,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",Dart,https://github.com/Solido/awesome-flutter
5,spotube,42236,1862,42236,664,14/02/2021,04/11/2025,141.30 MB,144691,🎧 Open source music client! Available for both desktop & mobile!,Dart,https://github.com/KRTirtho/spotube
6,FlClash,24648,1493,24648,425,15/08/2023,06/11/2025,53.78 MB,55073,"A multi-platform proxy client based on ClashMeta,simple and easy to use, open-source and ad-free.",Dart,https://github.com/chen08209/FlClash
7,revanced-manager,24162,946,24162,117,18/03/2022,01/11/2025,26.27 MB,26900,💊 Application to use ReVanced on Android ,Dart,https://github.com/ReVanced/revanced-manager
8,hiddify-app,24092,2108,24092,562,21/05/2023,26/04/2025,11.54 MB,11821,"Multi-platform auto-proxy client, supporting Sing-box, X-ray, TUIC, Hysteria, Reality, Trojan, SSH etc. It’s an open-source, secure and ad-free.",Dart,https://github.com/hiddify/hiddify-app
9,flutter-go,23715,3792,23715,192,08/01/2019,11/12/2023,114.95 MB,117712,flutter 开发者帮助 APP，包含 flutter 常用 140+ 组件的demo 演示与中文文档,Dart,https://github.com/alibaba/flutter-go
10,ente,22662,1317,22662,449,01/11/2022,06/11/2025,606.36 MB,620917,"🔒 End-to-end encrypted cloud for photos, videos and 2FA secrets.",Dart,https://github.com/ente-io/ente
11,Best-Flutter-UI-Templates,22221,4786,22221,15,02/09/2019,27/07/2025,173.99 MB,178165,completely free for everyone. Its build-in Flutter Dart.,Dart,https://github.com/mitesh77/Best-Flutter-UI-Templates
12,gopeed,21338,1480,21338,232,21/04/2019,15/10/2025,4.72 MB,4833,A modern download manager that supports all platforms.  Built with Golang and Flutter.,Dart,https://github.com/GopeedLab/gopeed
13,FlutterExampleApps,21335,3825,21335,37,13/04/2018,09/08/2024,110.25 MB,112899,"[Example APPS] Basic Flutter apps, for flutter devs.",Dart,https://github.com/iampawan/FlutterExampleApps
14,samples,18703,7796,18703,59,08/06/2018,28/10/2025,436.11 MB,446574,A collection of Flutter examples and demos,Dart,https://github.com/flutter/samples
15,plugins,17658,9738,17658,1,18/04/2017,22/02/2023,35.35 MB,36203,Plugins for Flutter maintained by the Flutter team,Dart,https://github.com/flutter/plugins
16,Kazumi,17567,507,17567,297,09/05/2024,06/11/2025,26.01 MB,26636,基于自定义规则的番剧采集APP，支持流媒体在线观看，支持弹幕，支持实时超分辨率。,Dart,https://github.com/Predidit/Kazumi
17,gsy_github_app_flutter,15293,2601,15293,4,25/07/2018,03/11/2025,36.05 MB,36920,Flutter 超完整的开源项目，功能丰富，适合学习和日常使用。GSYGithubApp系列的优势：我们目前已经拥有Flutter、Weex、ReactNative、kotlin 四个版本。 功能齐全，项目框架内技术涉及面广，完成度高，持续维护，配套文章，适合全面学习，对比参考。跨平台的开源Github客户端App，更好的体验，更丰富的功能，旨在更好的日常管理和维护个人Github，提供更好更方便的驾车体验Σ(￣。￣ﾉ)ﾉ。同款Weex版本 ： https://github.com/CarGuo/GSYGithubAppWeex    、同款React Native版本 ： https://github.com/CarGuo/GSYGithubApp 、原生 kotlin 版本 https://github.com/CarGuo/GSYGithubAppKotlin,Dart,https://github.com/CarGuo/gsy_github_app_flutter
18,dart_simple_live,13843,1719,13843,260,27/02/2023,31/10/2025,17.08 MB,17487,简简单单的看直播,Dart,https://github.com/xiaoyaocz/dart_simple_live
19,Obtainium,13253,330,13253,304,11/08/2022,12/10/2025,11.13 MB,11398,Get Android app updates straight from the source.,Dart,https://github.com/ImranR98/Obtainium
20,pilipala,12779,915,12779,758,18/04/2023,14/05/2025,17.29 MB,17701,PiliPala 是使用Flutter开发的BiliBili第三方客户端，感谢使用。,Dart,https://github.com/guozhigq/pilipala
21,dio,12748,1548,12748,38,20/04/2018,03/11/2025,4.58 MB,4695,"A powerful HTTP client for Dart and Flutter, which supports global settings, Interceptors, FormData, aborting and canceling a request, files uploading and downloading, requests timeout, custom adapters, etc.",Dart,https://github.com/cfug/dio
22,opensource-ecommerce-mobile-app,12399,219,12399,0,25/10/2023,19/09/2025,4.67 MB,4779,"This open-source mobile ecommerce app seamlessly transforms your Bagisto store into a powerful mobile platform, providing real-time synchronization of products and categories. ",Dart,https://github.com/bagisto/opensource-ecommerce-mobile-app
23,bloc,12313,3423,12313,73,07/10/2018,01/11/2025,63.83 MB,65357,A predictable state management library that helps implement the BLoC design pattern,Dart,https://github.com/felangel/bloc
24,getx,11027,1700,11027,1145,14/11/2019,16/06/2025,33.65 MB,34456,"Open screens/snackbars/dialogs/bottomSheets without context, manage states and inject dependencies easily with Get.",Dart,https://github.com/jonataslaw/getx
25,proxypin,10917,946,10917,63,05/06/2023,03/11/2025,9.45 MB,9681,"Open source free capture HTTP(S) traffic  software ProxyPin, supporting full platform systems",Dart,https://github.com/wanghongenpin/proxypin
26,sdk,10881,1702,10881,8386,16/05/2015,07/11/2025,1.48 GB,1553533,"The Dart SDK, including the VM, JS and Wasm compilers, analysis, core libraries, and more.",Dart,https://github.com/dart-lang/sdk
27,flame,10250,994,10250,119,22/10/2017,06/11/2025,65.60 MB,67171,A Flutter based game engine.,Dart,https://github.com/flame-engine/flame
28,pixez-flutter,10074,380,10074,463,02/11/2019,26/10/2025,184.56 MB,188992,一个支持免代理直连及查看动图的第三方Pixiv flutter客户端,Dart,https://github.com/Notsfsssf/pixez-flutter
29,flutterfire,9071,4088,9071,194,14/08/2019,06/11/2025,64.09 MB,65625,🔥 A collection of Firebase plugins for Flutter apps.,Dart,https://github.com/firebase/flutterfire
30,FlutterDouBan,9058,1886,9058,53,21/01/2019,20/03/2024,155.43 MB,159159,"🔥🔥🔥Flutter豆瓣客户端,Awesome Flutter Project,全网最100%还原豆瓣客户端。首页、书影音、小组、市集及个人中心，一个不拉。（ https://img.xuvip.top/douyademo.mp4）",Dart,https://github.com/kaina404/FlutterDouBan
31,flutter_architecture_samples,8879,1721,8879,46,25/11/2017,06/11/2025,5.86 MB,6000,TodoMVC for Flutter,Dart,https://github.com/brianegan/flutter_architecture_samples
32,FlutterUnit,8659,1382,8659,66,19/03/2020,14/09/2025,45.85 MB,46952,All Platform Flutter Experience App ,Dart,https://github.com/toly1994328/FlutterUnit
33,keyviz,8480,287,8480,72,22/07/2022,27/08/2025,3.96 MB,4052,Keyviz is a free and open-source tool to visualize your keystrokes ⌨️ and 🖱️ mouse actions in real-time.,Dart,https://github.com/mulaRahul/keyviz
34,PicaComic,8439,1024,8439,56,06/02/2023,21/12/2024,111.31 MB,113983,"A comic app built with Flutter, supporting multiple comic sources.",Dart,https://github.com/wgh136/PicaComic
35,flutter_deer,8422,1733,8422,2,12/06/2019,17/08/2025,78.50 MB,80389,🦌 Flutter 练习项目(包括集成测试、可访问性测试)。内含完整UI设计图，更贴近真实项目的练习。Flutter practice project (including integration testing and accessibility testing). Contains complete UI design drawings for a more realistic practice project.,Dart,https://github.com/simplezhli/flutter_deer
