Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,anoma,34045,4113,34045,110,02/02/2021,22/02/2026,76.51 MB,Reference implementation of Anoma,Elixir,https://github.com/anoma/anoma,76.51 MB
2,elixir,26421,3479,26421,26,09/01/2011,26/02/2026,67.50 MB,"Elixir is a dynamic, functional language for building scalable and maintainable applications",Elixir,https://github.com/elixir-lang/elixir,67.50 MB
3,analytics,24283,1351,24283,50,04/12/2018,26/02/2026,539.66 MB,"Simple, open source, lightweight and privacy-friendly web analytics alternative to Google Analytics.",Elixir,https://github.com/plausible/analytics,539.66 MB
4,phoenix,22905,3049,22905,50,20/01/2014,23/02/2026,22.97 MB,Peace of mind from prototype to production,Elixir,https://github.com/phoenixframework/phoenix,22.97 MB
5,awesome-elixir,13088,1185,13088,10,01/07/2014,12/10/2025,2.73 MB,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:",Elixir,https://github.com/h4cc/awesome-elixir,2.73 MB
6,electric,9928,310,9928,243,01/06/2022,26/02/2026,198.00 MB,"Read-path sync engine for Postgres that handles partial replication, data delivery and fan-out.",Elixir,https://github.com/electric-sql/electric,198.00 MB
7,firezone,8425,403,8425,461,22/04/2020,27/02/2026,204.65 MB,Enterprise-ready zero-trust access platform built on WireGuard®.,Elixir,https://github.com/firezone/firezone,204.65 MB
8,teslamate,7667,905,7667,53,31/03/2019,25/02/2026,87.95 MB,A self-hosted data logger for your Tesla  🚘 [main maintainer=@JakobLichterfeld],Elixir,https://github.com/teslamate-org/teslamate,87.95 MB
9,realtime,7499,423,7499,58,23/09/2019,26/02/2026,10.06 MB,"Broadcast, Presence, and Postgres Changes via WebSockets",Elixir,https://github.com/supabase/realtime,10.06 MB
10,phoenix_live_view,6722,1033,6722,70,12/09/2018,26/02/2026,20.28 MB,"Rich, real-time user experiences with server-rendered HTML",Elixir,https://github.com/phoenixframework/phoenix_live_view,20.28 MB
11,ecto,6436,1473,6436,10,12/06/2013,16/02/2026,15.99 MB,A toolkit for data mapping and language integrated query.,Elixir,https://github.com/elixir-ecto/ecto,15.99 MB
12,papercups,5933,557,5933,174,15/07/2020,15/02/2024,4.70 MB,Open-source live customer chat,Elixir,https://github.com/papercups-io/papercups,4.70 MB
13,livebook,5713,488,5713,26,07/01/2021,26/02/2026,125.05 MB,Automate code & data workflows with interactive Elixir notebooks,Elixir,https://github.com/livebook-dev/livebook,125.05 MB
14,credo,5140,436,5140,31,27/09/2015,16/02/2026,5.80 MB,A static code analysis tool for the Elixir language with a focus on code consistency and teaching.,Elixir,https://github.com/rrrene/credo,5.80 MB
15,pinchflat,4611,120,4611,194,19/01/2024,16/12/2025,14.41 MB,Your next YouTube media manager,Elixir,https://github.com/kieraneglin/pinchflat,14.41 MB
16,blockscout,4426,2995,4426,268,12/01/2018,26/02/2026,206.69 MB,Blockchain explorer for Ethereum based network and a tool for inspecting and analyzing EVM based blockchains. ,Elixir,https://github.com/blockscout/blockscout,206.69 MB
17,elixir_style_guide,4418,302,4418,8,24/09/2013,10/05/2024,214.00 KB,A community driven style guide for Elixir,Elixir,https://github.com/christopheradams/elixir_style_guide,214.00 KB
18,absinthe,4393,545,4393,74,17/10/2015,09/02/2026,4.31 MB,The GraphQL toolkit for Elixir,Elixir,https://github.com/absinthe-graphql/absinthe,4.31 MB
19,oban,3823,359,3823,3,25/02/2019,17/02/2026,3.12 MB,"💎 Robust job processing in Elixir, backed by modern PostgreSQL, SQLite3, and MySQL",Elixir,https://github.com/oban-bg/oban,3.12 MB
20,guardian,3512,387,3512,1,16/06/2015,04/11/2025,1.24 MB,Elixir Authentication,Elixir,https://github.com/ueberauth/guardian,1.24 MB
21,magnetissimo,3076,188,3076,9,22/07/2016,19/01/2024,8.77 MB,"Web application that indexes all popular torrent sites, and saves it to the local database.",Elixir,https://github.com/sergiotapia/magnetissimo,8.77 MB
22,30-days-of-elixir,3062,430,3062,0,10/12/2013,13/04/2022,149.00 KB,A walk through the Elixir language in 30 exercises.,Elixir,https://github.com/seven1m/30-days-of-elixir,149.00 KB
23,plug,2990,602,2990,3,15/11/2013,23/02/2026,2.90 MB,Compose web applications with functions,Elixir,https://github.com/elixir-plug/plug,2.90 MB
24,distillery,2962,398,2962,56,15/07/2016,04/08/2024,1.56 MB,Simplify deployments in Elixir with OTP releases!,Elixir,https://github.com/bitwalker/distillery,1.56 MB
25,nx,2859,216,2859,8,29/10/2020,19/02/2026,7.84 MB,Multi-dimensional arrays (tensors) and numerical definitions for Elixir,Elixir,https://github.com/elixir-nx/nx,7.84 MB
26,changelog.com,2769,244,2769,7,28/12/2015,18/02/2026,67.53 MB,Changelog makes world-class developer pods. This is our open source platform.,Elixir,https://github.com/thechangelog/changelog.com,67.53 MB
27,broadway,2621,172,2621,6,05/11/2018,20/01/2026,683.00 KB,Concurrent and multi-stage data ingestion and data processing with Elixir,Elixir,https://github.com/dashbitco/broadway,683.00 KB
28,asciinema-server,2450,283,2450,4,09/03/2011,26/02/2026,37.79 MB,Platform for hosting and sharing terminal session recordings,Elixir,https://github.com/asciinema/asciinema-server,37.79 MB
29,nerves,2446,201,2446,26,23/01/2016,23/02/2026,7.71 MB,Craft and deploy bulletproof embedded software in Elixir,Elixir,https://github.com/nerves-project/nerves,7.71 MB
30,quantum-core,2396,153,2396,9,27/04/2015,25/02/2026,1.01 MB,:watch: Cron-like job scheduler for Elixir,Elixir,https://github.com/quantum-elixir/quantum-core,1.01 MB
31,elixir-koans,2387,623,2387,24,16/12/2015,23/09/2025,502.00 KB,Elixir learning exercises,Elixir,https://github.com/elixirkoans/elixir-koans,502.00 KB
32,httpoison,2355,340,2355,36,11/09/2013,14/11/2025,374.00 KB,Yet Another HTTP client for Elixir powered by hackney,Elixir,https://github.com/edgurgel/httpoison,374.00 KB
33,ash,2325,369,2325,133,03/10/2019,26/02/2026,28.02 MB,"A declarative, extensible framework for building Elixir applications.",Elixir,https://github.com/ash-project/ash,28.02 MB
34,supavisor,2146,92,2146,42,12/01/2023,26/02/2026,4.89 MB,"A cloud-native, multi-tenant Postgres connection pooler.",Elixir,https://github.com/supabase/supavisor,4.89 MB
35,phoenix_live_dashboard,2139,202,2139,15,27/11/2019,09/09/2025,4.35 MB,"Realtime dashboard with metrics, request logging, plus storage, OS and VM insights",Elixir,https://github.com/phoenixframework/phoenix_live_dashboard,4.35 MB
36,floki,2136,163,2136,25,02/11/2014,27/02/2026,1.64 MB,Floki is a simple HTML parser that enables search for nodes using CSS selectors.,Elixir,https://github.com/philss/floki,1.64 MB
37,libcluster,2135,199,2135,22,30/09/2016,09/01/2025,217.00 KB,Automatic cluster formation/healing for Elixir applications,Elixir,https://github.com/bitwalker/libcluster,217.00 KB
38,surface,2134,150,2134,35,17/07/2019,29/01/2026,2.79 MB,A server-side rendering component library for Phoenix,Elixir,https://github.com/surface-ui/surface,2.79 MB
39,tesla,2066,359,2066,25,16/03/2015,23/02/2026,2.32 MB,"The flexible HTTP client library for Elixir, with support for middleware and multiple adapters.",Elixir,https://github.com/elixir-tesla/tesla,2.32 MB
40,scenic,2050,137,2050,28,01/05/2018,08/11/2025,3.10 MB,Core Scenic library,Elixir,https://github.com/ScenicFramework/scenic,3.10 MB
41,ex_machina,2044,144,2044,2,14/09/2015,10/02/2026,522.00 KB,Create test data for Elixir applications,Elixir,https://github.com/beam-community/ex_machina,522.00 KB
42,poison,2030,213,2030,40,06/04/2014,12/08/2024,2.32 MB,"An incredibly fast, pure Elixir JSON library",Elixir,https://github.com/devinus/poison,2.32 MB
43,keila,2003,139,2003,70,01/01/2021,25/02/2026,9.12 MB,Open Source Newsletter Tool.,Elixir,https://github.com/pentacent/keila,9.12 MB
44,sequin,1989,118,1989,41,26/06/2024,23/02/2026,134.35 MB,"Postgres change data capture to streams, queues, and search indexes like Kafka, SQS, Elasticsearch, HTTP endpoints, and more",Elixir,https://github.com/sequinstream/sequin,134.35 MB
45,commanded,1986,257,1986,18,25/03/2016,23/02/2026,2.50 MB,Use Commanded to build Elixir CQRS/ES applications,Elixir,https://github.com/commanded/commanded,2.50 MB
46,bamboo,1951,339,1951,3,03/11/2015,03/02/2026,940.00 KB,"Testable, composable, and adapter based Elixir email library for devs that love piping.",Elixir,https://github.com/beam-community/bamboo,940.00 KB
47,bandit,1876,102,1876,1,10/11/2019,22/02/2026,15.57 MB,Bandit is a pure Elixir HTTP server for Plug & WebSock applications,Elixir,https://github.com/mtrudel/bandit,15.57 MB
48,expert,1830,87,1830,66,18/09/2024,27/02/2026,4.45 MB,Official Elixir Language Server Protocol implementation,Elixir,https://github.com/elixir-lang/expert,4.45 MB
49,manifold,1829,72,1829,2,15/02/2017,11/04/2023,87.00 KB,Fast batch message passing between nodes for Erlang/Elixir.,Elixir,https://github.com/discord/manifold,87.00 KB
50,timex,1806,402,1806,62,27/07/2014,14/06/2025,2.51 MB,A complete date/time library for Elixir projects.,Elixir,https://github.com/bitwalker/timex,2.51 MB
51,wallaby,1789,210,1789,55,26/02/2016,09/01/2026,1.29 MB,Concurrent browser tests for your Elixir web apps.,Elixir,https://github.com/elixir-wallaby/wallaby,1.29 MB
52,dialyxir,1783,161,1783,78,28/05/2013,06/11/2025,709.00 KB,Mix tasks to simplify use of Dialyzer in Elixir projects.,Elixir,https://github.com/jeremyjh/dialyxir,709.00 KB
53,sobelow,1773,116,1773,37,12/05/2017,20/08/2024,1.36 MB,Security-focused static analysis for the Phoenix Framework,Elixir,https://github.com/nccgroup/sobelow,1.36 MB
54,elixir-ls,1736,224,1736,61,25/03/2018,15/12/2025,9.21 MB,"A frontend-independent IDE ""smartness"" server for Elixir. Implements the ""Language Server Protocol"" standard and provides debugger support via the ""Debug Adapter Protocol""",Elixir,https://github.com/elixir-lsp/elixir-ls,9.21 MB
55,desktop,1733,62,1733,5,01/03/2021,26/01/2026,215.00 KB,"Building Local-First apps for Windows, MacOS, Linux, iOS and Android using Phoenix LiveView & Elixir!",Elixir,https://github.com/elixir-desktop/desktop,215.00 KB
56,cachex,1731,117,1731,7,15/02/2016,10/02/2026,1.99 MB,"A powerful caching library for Elixir with support for transactions, fallbacks and expirations",Elixir,https://github.com/whitfin/cachex,1.99 MB
57,ueberauth,1701,119,1701,29,13/10/2014,25/03/2025,227.00 KB,An Elixir Authentication System for Plug-based Web Applications,Elixir,https://github.com/ueberauth/ueberauth,227.00 KB
58,learn-elixir,1693,113,1693,131,01/12/2016,07/10/2024,5.17 MB,":droplet: Learn the Elixir programming language to build functional, fast, scalable and maintainable web applications!",Elixir,https://github.com/dwyl/learn-elixir,5.17 MB
59,axon,1673,121,1673,23,25/01/2021,13/02/2026,138.51 MB,Nx-powered Neural Networks,Elixir,https://github.com/elixir-nx/axon,138.51 MB
60,jason,1667,176,1667,20,04/06/2017,10/09/2024,3.62 MB,A blazing fast JSON parser and generator in pure Elixir.,Elixir,https://github.com/michalmuskala/jason,3.62 MB
61,elixir-companies,1664,382,1664,3,11/06/2015,23/02/2026,1.84 MB,A list of companies currently using Elixir in production.,Elixir,https://github.com/beam-community/elixir-companies,1.84 MB
62,pow,1663,160,1663,70,07/05/2018,28/01/2025,2.20 MB,"Robust, modular, and extendable user authentication system",Elixir,https://github.com/pow-auth/pow,2.20 MB
