Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,awesome-go,172661,13208,172661,184,06/07/2014,14/05/2026,11.05 MB,"A curated list of awesome Go frameworks, libraries and software",Go,https://github.com/avelino/awesome-go,11.05 MB
2,ollama,171405,16117,171405,3249,26/06/2023,14/05/2026,80.64 MB,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,https://github.com/ollama/ollama,80.64 MB
3,go,133882,19007,133882,10136,19/08/2014,14/05/2026,425.95 MB,The Go programming language,Go,https://github.com/golang/go,425.95 MB
4,kubernetes,122267,43065,122267,2703,06/06/2014,14/05/2026,1.40 GB,Production-Grade Container Scheduling and Management,Go,https://github.com/kubernetes/kubernetes,1.40 GB
5,frp,106532,15044,106532,43,21/12/2015,12/05/2026,31.06 MB,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,Go,https://github.com/fatedier/frp,31.06 MB
6,gin,88510,8609,88510,685,16/06/2014,09/05/2026,10.31 MB,"Gin is a high-performance HTTP web framework written in Go. It provides a Martini-like API but with significantly better performance—up to 40 times faster—thanks to httprouter. Gin is designed for building REST APIs, web applications, and microservices.",Go,https://github.com/gin-gonic/gin,10.31 MB
7,hugo,88051,8265,88051,233,04/07/2013,14/05/2026,135.64 MB,The world’s fastest framework for building websites.,Go,https://github.com/gohugoio/hugo,135.64 MB
8,syncthing,84011,5184,84011,384,26/11/2013,13/05/2026,122.49 MB,Open Source Continuous File Synchronization,Go,https://github.com/syncthing/syncthing,122.49 MB
9,fzf,80253,2805,80253,317,23/10/2013,14/05/2026,7.87 MB,:cherry_blossom: A command-line fuzzy finder,Go,https://github.com/junegunn/fzf,7.87 MB
10,lazygit,77941,2834,77941,961,19/05/2018,13/05/2026,149.99 MB,simple terminal UI for git commands,Go,https://github.com/jesseduffield/lazygit,149.99 MB
11,caddy,72448,4731,72448,243,13/01/2015,14/05/2026,20.63 MB,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS,Go,https://github.com/caddyserver/caddy,20.63 MB
12,moby,71550,18950,71550,3777,18/01/2013,14/05/2026,255.33 MB,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,Go,https://github.com/moby/moby,255.33 MB
13,act,70281,1920,70281,325,02/01/2019,13/05/2026,17.37 MB,Run your GitHub Actions locally 🚀,Go,https://github.com/nektos/act,17.37 MB
14,node,68573,3235,68573,48,01/02/2023,12/05/2026,2.96 MB,Everything required to run your own Base node,Go,https://github.com/base/node,2.96 MB
15,prometheus,64037,10407,64037,769,24/11/2012,14/05/2026,274.38 MB,The Prometheus monitoring system and time series database.,Go,https://github.com/prometheus/prometheus,274.38 MB
16,traefik,63168,5986,63168,815,13/09/2015,11/05/2026,154.04 MB,The Cloud Native Application Proxy,Go,https://github.com/traefik/traefik,154.04 MB
17,minio,60930,7493,60930,81,14/01/2015,24/04/2026,122.33 MB,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",Go,https://github.com/minio/minio,122.33 MB
