Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
1,gradle,18016,5009,18016,3212,09/09/2009,19/09/2025,638.57 MB,653891,"Adaptable, fast automation for all",Groovy,https://github.com/gradle/gradle
2,devops-resources,9202,2298,9202,24,07/01/2019,12/07/2024,1.78 MB,1822,"DevOps resources - Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP",Groovy,https://github.com/bregman-arie/devops-resources
3,rundeck,5886,957,5886,656,03/09/2010,18/09/2025,213.08 MB,218189,"Enable Self-Service Operations: Give specific users access to your existing tools, services, and scripts",Groovy,https://github.com/rundeck/rundeck
4,pipeline-examples,4278,3551,4278,15,24/11/2015,31/08/2023,127.00 KB,127,"A collection of examples, tips and tricks and snippets of scripting for the Jenkins Pipeline plugin",Groovy,https://github.com/jenkinsci/pipeline-examples
5,gradle_plugin_android_aspectjx,3970,578,3970,153,25/04/2016,15/09/2021,16.60 MB,16998,"A Android gradle plugin that effects AspectJ on Android project and can hook methods in Kotlin, aar and jar file.",Groovy,https://github.com/HujiangTechnology/gradle_plugin_android_aspectjx
6,fat-aar-android,3257,674,3257,166,19/12/2018,25/07/2024,7.07 MB,7241,A gradle plugin that merge dependencies into the final aar file works with AGP 3.+,Groovy,https://github.com/kezong/fat-aar-android
7,nextflow,3151,729,3151,487,27/03/2013,19/09/2025,62.14 MB,63632,A DSL for data-driven computational pipelines,Groovy,https://github.com/nextflow-io/nextflow
8,grails-core,2842,962,2842,859,10/02/2010,19/09/2025,425.29 MB,435499,Grails - the Web Application Framework,Groovy,https://github.com/apache/grails-core
9,SmartThingsPublic,2621,88792,2621,2512,04/08/2015,18/07/2023,20.57 MB,21066,SmartThings open-source DeviceType Handlers and SmartApps code,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic
10,asgard,2226,399,2226,100,21/05/2012,10/04/2023,25.97 MB,26590,[Asgard is deprecated at Netflix. We use Spinnaker ( www.spinnaker.io ).] Web interface for application deployments and cloud management in Amazon Web Services (AWS). Binary download: http://github.com/Netflix/asgard/releases,Groovy,https://github.com/Netflix/asgard
