Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,computer-science,201488,25039,201488,18,04/05/2014,06/02/2026,1.73 MB,🎓 Path to a free self-taught education in Computer Science!,HTML,https://github.com/ossu/computer-science,1.73 MB
2,FreeDomain,148157,2575,148157,28,30/05/2024,09/01/2026,981.00 KB,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,https://github.com/DigitalPlatDev/FreeDomain,981.00 KB
3,prompts.chat,145629,19203,145629,7,05/12/2022,19/02/2026,166.36 MB,"a.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,https://github.com/f/prompts.chat,166.36 MB
4,free-for-dev,118072,12092,118072,13,18/03/2015,19/02/2026,9.42 MB,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",HTML,https://github.com/ripienaar/free-for-dev,9.42 MB
5,cs-self-learning,71348,7838,71348,148,20/10/2021,02/02/2026,66.34 MB,计算机自学指南,HTML,https://github.com/PKUFlyingPig/cs-self-learning,66.34 MB
6,awesome-compose,44003,8035,44003,331,13/02/2020,18/02/2026,9.16 MB,Awesome Docker Compose samples,HTML,https://github.com/docker/awesome-compose,9.16 MB
7,retrofit,43889,7352,43889,164,06/09/2010,18/02/2026,7.22 MB,A type-safe HTTP client for Android and the JVM,HTML,https://github.com/square/retrofit,7.22 MB
8,tabler,40732,4338,40732,107,01/02/2018,18/02/2026,364.84 MB,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,HTML,https://github.com/tabler/tabler,364.84 MB
9,zju-icicles,40231,9606,40231,10,28/06/2016,20/01/2026,5.80 GB,浙江大学课程攻略共享计划,HTML,https://github.com/QSCTech/zju-icicles,5.80 GB
10,styleguide,38968,13003,38968,173,20/05/2015,13/11/2025,3.17 MB,Style guides for Google-originated open-source projects,HTML,https://github.com/google/styleguide,3.17 MB
11,REKCARC-TSC-UHT,36657,7849,36657,2,05/04/2019,19/01/2026,4.50 GB,"清华大学计算机系课程攻略 Guidance for courses in Department of Computer Science and Technology, Tsinghua University",HTML,https://github.com/PKUanonym/REKCARC-TSC-UHT,4.50 GB
12,Coursera-ML-AndrewNg-Notes,36300,11139,36300,68,04/11/2017,25/08/2025,647.06 MB,吴恩达老师的机器学习课程个人笔记,HTML,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,647.06 MB
13,manifesto,35909,1052,35909,20,13/08/2023,18/03/2025,1.81 MB,The OpenTF Manifesto expresses concern over HashiCorp's switch of the Terraform license from open-source to the Business Source License (BSL) and calls for the tool's return to a truly open-source license.,HTML,https://github.com/opentofu/manifesto,1.81 MB
14,material-design-lite,32222,4950,32222,430,14/01/2015,11/03/2025,55.65 MB,Material Design Components in HTML/CSS/JS,HTML,https://github.com/google/material-design-lite,55.65 MB
15,system_prompts_leaks,32148,5117,32148,31,03/05/2025,19/02/2026,1.17 MB,"Collection of extracted System Prompts from popular chatbots like ChatGPT, Claude & Gemini",HTML,https://github.com/asgeirtj/system_prompts_leaks,1.17 MB
16,alpine,31187,1348,31187,11,28/11/2019,18/02/2026,8.97 MB,"A rugged, minimal framework for composing JavaScript behavior in your markup. ",HTML,https://github.com/alpinejs/alpine,8.97 MB
17,3x-ui,30556,5955,30556,380,09/02/2023,20/02/2026,35.89 MB,"Xray panel supporting multi-protocol multi-user expire day & traffic & IP limit (Vmess, Vless, Trojan, ShadowSocks, Wireguard, Tunnel, Mixed, HTTP, Tun) ",HTML,https://github.com/MHSanaei/3x-ui,35.89 MB
18,foundation-sites,29774,5408,29774,77,13/10/2011,21/01/2025,123.16 MB,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,HTML,https://github.com/foundation/foundation-sites,123.16 MB
19,JavaScript30,29069,41679,29069,67,07/12/2016,07/01/2025,45.88 MB,30 Day Vanilla JS Challenge,HTML,https://github.com/wesbos/JavaScript30,45.88 MB
20,weui,27393,6352,27393,63,18/12/2014,12/09/2025,12.28 MB,"A UI library by WeChat official design team, includes the most useful widgets/modules in mobile web applications.",HTML,https://github.com/Tencent/weui,12.28 MB
21,hacker-laws,27004,1558,27004,149,25/01/2018,06/02/2026,2.96 MB,"🧠 Laws, Theories, Principles and Patterns for developers and technologists.",HTML,https://github.com/dwmkerr/hacker-laws,2.96 MB
22,fastText,26495,4816,26495,554,16/07/2016,22/03/2024,8.12 MB,Library for fast text representation and classification.,HTML,https://github.com/facebookresearch/fastText,8.12 MB
23,awesome-piracy,26065,2241,26065,1,09/10/2018,18/06/2023,2.10 MB,A curated list of awesome warez and piracy links,HTML,https://github.com/Igglybuff/awesome-piracy,2.10 MB
24,en.javascript.info,25125,4003,25125,515,03/06/2017,20/11/2025,754.23 MB,Modern JavaScript Tutorial ,HTML,https://github.com/javascript-tutorial/en.javascript.info,754.23 MB
25,bitcoinbook,25093,6219,25093,194,11/08/2013,26/12/2024,61.50 MB,Mastering Bitcoin 3rd Edition - Programming the Open Blockchain,HTML,https://github.com/bitcoinbook/bitcoinbook,61.50 MB
26,Awesome-Linux-Software,24902,2171,24902,31,06/08/2016,16/02/2026,6.60 MB,🐧 A list of awesome Linux softwares ,HTML,https://github.com/luong-komorebi/Awesome-Linux-Software,6.60 MB
27,awesome-generative-ai-guide,24752,5276,24752,10,06/02/2024,10/02/2026,150.42 MB,"A one stop repository for generative AI research updates, interview resources, notebooks and much more!",HTML,https://github.com/aishwaryanr/awesome-generative-ai-guide,150.42 MB
28,OpenClash,24360,3764,24360,57,29/05/2019,16/02/2026,31.67 GB,A Clash Client For OpenWrt,HTML,https://github.com/vernesong/OpenClash,31.67 GB
