Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,pandoc,45037,3907,45037,1067,20/03/2010,23/06/2026,68.79 MB,Universal markup converter,Haskell,https://github.com/jgm/pandoc,68.79 MB
2,shellcheck,39613,1931,39613,1233,17/11/2012,19/06/2026,5.45 MB,"ShellCheck, a static analysis tool for shell scripts",Haskell,https://github.com/koalaman/shellcheck,5.45 MB
3,postgrest,27347,1209,27347,385,13/06/2014,25/06/2026,13.87 MB,REST API for any Postgres database,Haskell,https://github.com/PostgREST/postgrest,13.87 MB
4,hadolint,12242,495,12242,233,15/11/2015,23/06/2026,4.16 MB,"Dockerfile linter, validate inline bash, written in Haskell",Haskell,https://github.com/hadolint/hadolint,4.16 MB
5,simplex-chat,11521,652,11521,1133,21/12/2019,25/06/2026,407.82 MB,"SimpleX - the first messaging network operating without user identifiers of any kind - 100% private by design! iOS, Android and desktop apps 📱!",Haskell,https://github.com/simplex-chat/simplex-chat,407.82 MB
6,semantic,9041,459,9041,0,15/03/2019,01/04/2025,33.72 MB,"Parsing, analyzing, and comparing source code across many languages",Haskell,https://github.com/github/semantic,33.72 MB
7,purescript,8874,570,8874,307,30/09/2013,07/06/2026,13.48 MB,A strongly-typed language that compiles to JavaScript,Haskell,https://github.com/purescript/purescript,13.48 MB
8,compiler,7795,682,7795,340,19/04/2012,25/06/2026,10.01 MB,"Compiler for Elm, a functional language for reliable webapps.",Haskell,https://github.com/elm/compiler,10.01 MB
9,unison,6657,309,6657,1268,06/05/2015,25/06/2026,153.33 MB,A friendly programming language from the future,Haskell,https://github.com/unisonweb/unison,153.33 MB
10,Carp,5958,184,5958,144,11/01/2016,22/06/2026,11.83 MB,"A statically typed lisp, without a GC, for real-time applications.",Haskell,https://github.com/carp-lang/Carp,11.83 MB
11,ihp,5295,222,5295,264,03/12/2017,24/06/2026,65.76 MB,🔥 The fastest way to build type safe web apps. IHP is a new batteries-included web framework optimized for longterm productivity and programmer happiness,Haskell,https://github.com/digitallyinduced/ihp,65.76 MB
12,kmonad,5018,336,5018,206,28/09/2019,15/06/2026,1.57 MB,An advanced keyboard manager,Haskell,https://github.com/kmonad/kmonad,1.57 MB
13,hledger,4550,389,4550,340,08/04/2013,25/06/2026,111.75 MB,"Robust, fast, intuitive plain text accounting tool with CLI, TUI and web interfaces.",Haskell,https://github.com/simonmichael/hledger,111.75 MB
14,Haxl,4381,309,4381,8,02/04/2014,15/03/2026,793.00 KB,"A Haskell library that simplifies access to remote data, such as databases or web-based services. ",Haskell,https://github.com/facebook/Haxl,793.00 KB
15,duckling,4294,737,4294,139,02/03/2017,15/03/2026,7.42 MB,"Language, engine, and tooling for expressing, testing, and evaluating composable language rules on input strings.",Haskell,https://github.com/facebook/duckling,7.42 MB
16,fp-course,4237,1189,4237,16,03/01/2013,07/10/2025,4.16 MB,Functional Programming Course,Haskell,https://github.com/system-f/fp-course,4.16 MB
17,stack,4065,847,4065,609,29/04/2015,25/06/2026,48.42 MB,The Haskell Tool Stack,Haskell,https://github.com/commercialhaskell/stack,48.42 MB
18,cardano-sl,3755,618,3755,188,14/10/2016,30/07/2020,117.10 MB,Cryptographic currency implementing Ouroboros PoS protocol,Haskell,https://github.com/input-output-hk/cardano-sl,117.10 MB
19,Kind,3753,150,3753,7,13/07/2018,22/01/2025,35.38 MB,A modern proof language,Haskell,https://github.com/HigherOrderCO/Kind,35.38 MB
20,xmonad,3576,294,3576,61,22/08/2015,22/06/2026,5.56 MB,"The core of xmonad, a small but functional ICCCM-compliant tiling window manager",Haskell,https://github.com/xmonad/xmonad,5.56 MB
21,write-you-a-haskell,3480,256,3480,31,05/01/2015,11/01/2021,961.00 KB,Building a modern functional compiler from first principles. (http://dev.stephendiehl.com/fun/),Haskell,https://github.com/sdiehl/write-you-a-haskell,961.00 KB
22,Idris-dev,3475,629,3475,708,14/09/2011,17/02/2025,37.38 MB,A Dependently Typed Functional Programming Language,Haskell,https://github.com/idris-lang/Idris-dev,37.38 MB
23,awesome-haskell,3281,175,3281,16,13/07/2014,13/04/2023,172.00 KB,"A collection of awesome Haskell links, frameworks, libraries and software. Inspired by awesome projects line.",Haskell,https://github.com/krispo/awesome-haskell,172.00 KB
