Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,react,245765,51050,245765,1286,24/05/2013,11/06/2026,970.91 MB,The library for web and native user interfaces.,JavaScript,https://github.com/react/react,970.91 MB
2,ECC,213504,32816,213504,43,18/01/2026,11/06/2026,37.13 MB,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,https://github.com/affaan-m/ECC,37.13 MB
3,javascript-algorithms,196070,31058,196070,406,24/03/2018,28/05/2026,14.56 MB,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,https://github.com/trekhleb/javascript-algorithms,14.56 MB
4,JavaGuide,156317,46147,156317,59,07/05/2018,11/06/2026,177.79 MB,Java 面试 & 后端通用面试指南，覆盖计算机基础、数据库、分布式、高并发、系统设计与 AI 应用开发,JavaScript,https://github.com/Snailclimb/JavaGuide,177.79 MB
5,javascript,148084,26648,148084,159,01/11/2012,16/04/2026,3.65 MB,JavaScript Style Guide,JavaScript,https://github.com/airbnb/javascript,3.65 MB
6,next.js,139926,31210,139926,4050,05/10/2016,11/06/2026,2.37 GB,The React Framework,JavaScript,https://github.com/vercel/next.js,2.37 GB
7,30-seconds-of-code,128064,12475,128064,1,29/11/2017,11/06/2026,725.27 MB,Coding articles to level up your development skills,JavaScript,https://github.com/Chalarangelo/30-seconds-of-code,725.27 MB
8,node,117715,35666,117715,2482,26/11/2014,11/06/2026,1.43 GB,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,https://github.com/nodejs/node,1.43 GB
9,three.js,112976,36378,112976,422,23/03/2010,11/06/2026,1.53 GB,JavaScript 3D Library.,JavaScript,https://github.com/mrdoob/three.js,1.53 GB
10,axios,109074,11704,109074,146,18/08/2014,11/06/2026,26.59 MB,Promise based HTTP client for the browser and node.js,JavaScript,https://github.com/axios/axios,26.59 MB
11,create-react-app,103330,26998,103330,2410,17/07/2016,15/02/2025,24.60 MB,Set up a modern web app by running one command.,JavaScript,https://github.com/react/create-react-app,24.60 MB
12,material-ui,98397,32599,98397,1519,18/08/2014,11/06/2026,723.63 MB,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.,JavaScript,https://github.com/mui/material-ui,723.63 MB
13,Web-Dev-For-Beginners,95865,15586,95865,70,10/11/2020,05/06/2026,2.10 GB,"24 Lessons, 12 Weeks, Get Started as a Web Developer",JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners,2.10 GB
14,clean-code-javascript,94433,12461,94433,123,25/11/2016,29/07/2024,520.00 KB,Clean Code concepts adapted for JavaScript,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,520.00 KB
15,uptime-kuma,87888,7980,87888,760,03/07/2021,11/06/2026,36.33 MB,A fancy self-hosted monitoring tool,JavaScript,https://github.com/louislam/uptime-kuma,36.33 MB
16,svelte,87155,4941,87155,1018,20/11/2016,08/06/2026,118.37 MB,web development for the rest of us,JavaScript,https://github.com/sveltejs/svelte,118.37 MB
