Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,Magisk,59764,17169,59764,47,08/09/2016,09/04/2026,61.26 MB,The Magic Mask for Android,Kotlin,https://github.com/topjohnwu/Magisk,61.26 MB
2,v2rayNG,53605,7159,53605,14,15/05/2019,06/04/2026,260.84 MB,"A V2Ray client for Android, support Xray core and v2fly core",Kotlin,https://github.com/2dust/v2rayNG,260.84 MB
3,kotlin,52554,6277,52554,223,13/02/2012,09/04/2026,4.60 GB,The Kotlin Programming Language. ,Kotlin,https://github.com/JetBrains/kotlin,4.60 GB
4,okhttp,46922,9280,46922,95,23/07/2012,09/04/2026,61.96 MB,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",Kotlin,https://github.com/square/okhttp,61.96 MB
5,legado,45768,5255,45768,66,22/05/2019,06/04/2026,62.62 MB,"Legado 3.0 Book Reader with powerful controls & full functions❤️阅读3.0, 阅读是一款可以自定义来源阅读网络内容的工具，为广大网络文学爱好者提供一种方便、快捷舒适的试读体验。",Kotlin,https://github.com/gedoor/legado,62.62 MB
6,architecture-samples,45633,11874,45633,219,05/02/2016,09/04/2026,13.05 MB,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,Kotlin,https://github.com/android/architecture-samples,13.05 MB
7,fanqiang,43100,7699,43100,325,14/01/2015,07/02/2026,734.36 MB,翻墙-科学上网,Kotlin,https://github.com/bannedbook/fanqiang,734.36 MB
8,gkd,37677,1810,37677,16,04/07/2023,07/04/2026,4.59 MB,"基于无障碍，高级选择器，订阅规则的自定义屏幕点击安卓应用 | An Android APP with custom screen tapping based on Accessibility, Advanced Selectors, and Subscription Rules",Kotlin,https://github.com/gkd-kit/gkd,4.59 MB
9,shadowsocks-android,36687,11513,36687,60,16/12/2012,18/02/2026,52.54 MB,A shadowsocks client for Android,Kotlin,https://github.com/shadowsocks/shadowsocks-android,52.54 MB
10,p3c,30827,8030,30827,186,23/06/2017,06/08/2024,26.46 MB,Alibaba Java Coding Guidelines pmd implements and IDE plugin,Kotlin,https://github.com/alibaba/p3c,26.46 MB
11,leakcanary,29918,3980,29918,158,29/04/2015,24/03/2026,144.34 MB,A memory leak detection library for Android.,Kotlin,https://github.com/square/leakcanary,144.34 MB
12,Signal-Android,28613,6710,28613,476,15/12/2011,09/04/2026,2.11 GB,A private messenger for Android.,Kotlin,https://github.com/signalapp/Signal-Android,2.11 GB
13,revanced-manager,27274,1064,27274,77,18/03/2022,06/04/2026,37.72 MB,💊 Application to use ReVanced on Android ,Kotlin,https://github.com/ReVanced/revanced-manager,37.72 MB
14,librepods,26414,1468,26414,148,26/09/2024,06/04/2026,184.10 MB,AirPods liberated from Apple's ecosystem.,Kotlin,https://github.com/kavishdevar/librepods,184.10 MB
15,Seal,25575,1116,25575,651,15/04/2022,25/03/2026,11.27 MB,"🦭 Video/Audio Downloader for Android, based on yt-dlp",Kotlin,https://github.com/JunkFood02/Seal,11.27 MB
16,SmsForwarder,25217,3165,25217,13,10/02/2021,02/03/2026,457.88 MB,短信转发器——监控Android手机短信、来电、APP通知，并根据指定规则转发到其他手机：钉钉群自定义机器人、钉钉企业内机器人、企业微信群机器人、飞书机器人、企业微信应用消息、邮箱、bark、webhook、Telegram机器人、Server酱、PushPlus、手机短信等。包括主动控制服务端与客户端，让你轻松远程发短信、查短信、查通话、查话簿、查电量等。（V3.0 新增）PS.这个APK主要是学习与自用，如有BUG请提ISSUE，同时欢迎大家提PR指正,Kotlin,https://github.com/pppscn/SmsForwarder,457.88 MB
17,BaseRecyclerViewAdapterHelper,24620,5194,24620,403,10/04/2016,27/02/2026,70.42 MB,BRVAH:Powerful and flexible RecyclerAdapter,Kotlin,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,70.42 MB
18,Shizuku,23832,2231,23832,310,24/05/2017,18/06/2025,38.10 MB,Using system APIs directly with adb/root privileges from normal apps through a Java process started with app_process.,Kotlin,https://github.com/RikkaApps/Shizuku,38.10 MB
19,compose-samples,23056,5414,23056,22,27/09/2019,08/04/2026,193.67 MB,Official Jetpack Compose samples.,Kotlin,https://github.com/android/compose-samples,193.67 MB
20,iosched,21708,6110,21708,76,01/04/2014,05/01/2023,56.70 MB,The Google I/O Android App,Kotlin,https://github.com/google/iosched,56.70 MB
21,nowinandroid,20984,4338,20984,254,19/04/2022,09/04/2026,56.07 MB,A fully functional Android app built entirely with Kotlin and Jetpack Compose,Kotlin,https://github.com/android/nowinandroid,56.07 MB
22,gallery,19929,1861,19929,239,31/03/2025,08/04/2026,9.87 MB,A gallery that showcases on-device ML/GenAI use cases and allows people to try and use models locally.,Kotlin,https://github.com/google-ai-edge/gallery,9.87 MB
23,NekoBoxForAndroid,19882,1551,19882,130,04/03/2023,09/02/2026,4.95 MB,NekoBox for Android / sing-box / universal proxy toolchain for Android,Kotlin,https://github.com/MatsuriDayo/NekoBoxForAndroid,4.95 MB
24,mihon,19752,1070,19752,619,15/01/2024,09/04/2026,68.57 MB,Free and open source manga reader for Android,Kotlin,https://github.com/mihonapp/mihon,68.57 MB
25,material-dialogs,19620,3093,19620,111,03/11/2014,06/02/2023,259.56 MB,"😍 A beautiful, fluid, and extensible dialogs API for Kotlin & Android.",Kotlin,https://github.com/afollestad/material-dialogs,259.56 MB
26,compose-multiplatform,18971,1392,18971,71,07/09/2020,09/04/2026,279.20 MB,"Compose Multiplatform, a modern UI framework for Kotlin that makes building performant and beautiful user interfaces easy and enjoyable.",Kotlin,https://github.com/JetBrains/compose-multiplatform,279.20 MB
27,picasso,18966,3961,18966,214,14/05/2013,06/11/2024,5.61 MB,A powerful image downloading and caching library for Android,Kotlin,https://github.com/square/picasso,5.61 MB
28,flexbox-layout,18347,1805,18347,133,04/05/2016,22/04/2024,48.17 MB,Flexbox for Android ,Kotlin,https://github.com/google/flexbox-layout,48.17 MB
29,sunflower,17795,4780,17795,76,23/05/2018,02/08/2024,10.97 MB,A gardening app illustrating Android development best practices with migrating a View-based app to Jetpack Compose.,Kotlin,https://github.com/android/sunflower,10.97 MB
30,lottie-react-native,17139,1804,17139,23,27/01/2017,09/04/2026,411.04 MB,Lottie wrapper for React Native.,Kotlin,https://github.com/lottie-react-native/lottie-react-native,411.04 MB
31,animeko,16782,437,16782,502,31/07/2022,07/04/2026,294.32 MB,集找番、追番、看番的一站式弹幕追番平台，云收藏同步 (Bangumi)，离线缓存，BitTorrent，弹幕云过滤。100% Kotlin/Compose Multiplatform,Kotlin,https://github.com/open-ani/animeko,294.32 MB
32,plaid,16207,3102,16207,102,30/10/2015,04/01/2024,33.15 MB,An Android app which provides design news & inspiration as well as being an example of implementing material design.,Kotlin,https://github.com/nickbutcher/plaid,33.15 MB
33,KernelSU,15950,3334,15950,34,09/12/2022,09/04/2026,24.45 MB,A Kernel based root solution for Android,Kotlin,https://github.com/tiann/KernelSU,24.45 MB
34,anko,15803,1273,15803,243,18/09/2014,05/12/2019,14.88 MB,Pleasant Android application development,Kotlin,https://github.com/Kotlin/anko,14.88 MB
