Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,kong,43050,5102,43050,135,17/11/2014,10/03/2026,95.02 MB,🦍 The API and AI Gateway,Lua,https://github.com/Kong/kong,95.02 MB
2,kickstart.nvim,29968,45175,29968,28,24/06/2022,20/03/2026,880.00 KB,A launch point for your personal nvim configuration,Lua,https://github.com/nvim-lua/kickstart.nvim,880.00 KB
3,waifu2x,28188,2697,28188,154,17/05/2015,04/05/2023,692.88 MB,Image Super-Resolution for Anime-Style Art,Lua,https://github.com/nagadomi/waifu2x,692.88 MB
4,NvChad,28027,2276,28027,1,07/03/2021,07/02/2026,1.96 MB,"Blazing fast Neovim framework providing solid defaults and a beautiful UI, enhancing your neovim experience.",Lua,https://github.com/NvChad/NvChad,1.96 MB
5,koreader,25949,1659,25949,1215,24/03/2013,27/03/2026,66.91 MB,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",Lua,https://github.com/koreader/koreader,66.91 MB
6,LazyVim,25567,1754,25567,35,30/12/2022,21/03/2026,5.42 MB,Neovim config for the lazy,Lua,https://github.com/LazyVim/LazyVim,5.42 MB
7,lazy.nvim,20587,554,20587,55,20/11/2022,17/12/2025,3.13 MB,💤 A modern plugin manager for Neovim,Lua,https://github.com/folke/lazy.nvim,3.13 MB
8,LunarVim,19257,1500,19257,34,16/08/2018,05/06/2025,13.88 MB,🌙 LunarVim is an IDE layer for Neovim. Completely free and community driven.,Lua,https://github.com/LunarVim/LunarVim,13.88 MB
9,telescope.nvim,19233,943,19233,490,15/07/2020,26/03/2026,4.55 MB,"Find, Filter, Preview, Pick. All lua, all the time.",Lua,https://github.com/nvim-telescope/telescope.nvim,4.55 MB
10,neural-style,18297,2663,18297,316,01/09/2015,23/02/2018,47.06 MB,Torch implementation of neural style algorithm,Lua,https://github.com/jcjohnson/neural-style,47.06 MB
11,avante.nvim,17646,802,17646,71,14/08/2024,20/03/2026,4.31 MB,Use your Neovim like using Cursor AI IDE!,Lua,https://github.com/yetone/avante.nvim,4.31 MB
12,apisix,16354,2814,16354,225,10/04/2019,26/03/2026,42.68 MB,The Cloud-Native API Gateway and AI Gateway,Lua,https://github.com/apache/apisix,42.68 MB
13,rime-ice,16234,1040,16234,9,29/01/2021,26/03/2026,214.82 MB,Rime 配置：雾凇拼音 | 长期维护的简体词库,Lua,https://github.com/iDvel/rime-ice,214.82 MB
14,openface,15416,3575,15416,6,16/09/2015,04/10/2024,24.05 MB,Face recognition with deep neural networks.,Lua,https://github.com/cmusatyalab/openface,24.05 MB
15,AstroNvim,14211,948,14211,2,02/02/2022,18/02/2026,3.53 MB,AstroNvim is an aesthetic and feature-rich neovim config that is extensible and easy to use with a great set of plugins ,Lua,https://github.com/AstroNvim/AstroNvim,3.53 MB
16,nvim-lspconfig,13464,2430,13464,32,13/11/2019,26/03/2026,7.01 MB,Quickstart configs for Nvim LSP,Lua,https://github.com/neovim/nvim-lspconfig,7.01 MB
17,CycleGAN,12850,1968,12850,59,30/03/2017,12/09/2023,12.54 MB,"Software that can generate photos from paintings,  turn horses into zebras,  perform style transfer, and more.",Lua,https://github.com/junyanz/CycleGAN,12.54 MB
18,char-rnn,12005,2627,12005,110,21/05/2015,24/10/2023,13.10 MB,"Multi-layer Recurrent Neural Networks (LSTM, GRU, RNN) for character-level language models in Torch",Lua,https://github.com/karpathy/char-rnn,13.10 MB
19,xmake,11847,917,11847,241,23/04/2015,26/03/2026,43.14 MB,🔥 A cross-platform build utility based on Lua,Lua,https://github.com/xmake-io/xmake,43.14 MB
20,pix2pix,10631,1738,10631,92,16/11/2016,06/06/2021,2.44 MB,Image-to-image translation with conditional adversarial nets,Lua,https://github.com/phillipi/pix2pix,2.44 MB
21,mason.nvim,10137,329,10137,269,06/07/2022,07/01/2026,3.04 MB,"Portable package manager for Neovim that runs everywhere Neovim runs. Easily install and manage LSP servers, DAP servers, linters, and formatters.",Lua,https://github.com/mason-org/mason.nvim,3.04 MB
22,openwrt-passwall,9400,2932,9400,5,06/10/2018,25/03/2026,23.00 MB,,Lua,https://github.com/Openwrt-Passwall/openwrt-passwall,23.00 MB
23,nvim-cmp,9374,435,9374,299,29/06/2021,25/03/2026,954.00 KB,A completion plugin for neovim coded in Lua.,Lua,https://github.com/hrsh7th/nvim-cmp,954.00 KB
24,harpoon,8967,479,8967,149,04/11/2020,31/10/2025,2.68 MB,,Lua,https://github.com/ThePrimeagen/harpoon,2.68 MB
25,mini.nvim,8913,294,8913,34,18/06/2021,26/03/2026,11.84 MB,Library of 40+ independent Lua modules improving Neovim experience with minimal effort,Lua,https://github.com/nvim-mini/mini.nvim,11.84 MB
26,nvim-tree.lua,8438,635,8438,96,04/02/2020,26/03/2026,5.84 MB,A file explorer tree for neovim written in lua,Lua,https://github.com/nvim-tree/nvim-tree.lua,5.84 MB
27,lite,8126,371,8126,111,28/12/2019,20/09/2023,10.02 MB,A lightweight text editor written in Lua,Lua,https://github.com/rxi/lite,10.02 MB
28,packer.nvim,8108,267,8108,302,19/11/2017,05/03/2024,1.38 MB,"A use-package inspired plugin manager for Neovim. Uses native packages, supports Luarocks dependencies, written in Lua, allows for expressive config",Lua,https://github.com/wbthomason/packer.nvim,1.38 MB
29,tokyonight.nvim,7924,525,7924,11,16/04/2021,24/03/2026,2.06 MB,"🏙  A clean, dark Neovim theme written in Lua, with support for lsp, treesitter and lots of plugins. Includes additional themes for Kitty, Alacritty, iTerm and Fish.",Lua,https://github.com/folke/tokyonight.nvim,2.06 MB
30,lualine.nvim,7822,535,7822,269,30/12/2020,23/11/2025,1.42 MB,A blazing fast and easy to configure neovim statusline plugin written in pure lua.,Lua,https://github.com/nvim-lualine/lualine.nvim,1.42 MB
31,ntopng,7662,732,7662,356,30/04/2015,26/03/2026,411.84 MB,Web-based Traffic and Security Network Traffic Monitoring,Lua,https://github.com/ntop/ntopng,411.84 MB
32,docker.dockercraft,7412,399,7412,17,26/06/2015,15/06/2021,47.71 MB,Docker + Minecraft = Dockercraft,Lua,https://github.com/docker-archive-public/docker.dockercraft,47.71 MB
33,snacks.nvim,7297,430,7297,101,02/11/2024,21/03/2026,15.11 MB,🍿 A collection of QoL plugins for Neovim,Lua,https://github.com/folke/snacks.nvim,15.11 MB
34,nvim,7280,331,7280,12,18/08/2021,26/03/2026,3.29 MB,🍨 Soothing pastel theme for (Neo)vim,Lua,https://github.com/catppuccin/nvim,3.29 MB
35,neorg,7256,241,7256,221,11/04/2021,21/03/2026,4.65 MB,Modernity meets insane extensibility. The future of organizing your life in Neovim.,Lua,https://github.com/nvim-neorg/neorg,4.65 MB
36,dotfiles-public,7081,1165,7081,21,15/10/2020,20/02/2026,10.49 MB,My personal dotfiles,Lua,https://github.com/craftzdog/dotfiles-public,10.49 MB
37,nvim-dap,7022,255,7022,28,14/04/2020,26/03/2026,858.00 KB,Debug Adapter Protocol client implementation for Neovim,Lua,https://github.com/mfussenegger/nvim-dap,858.00 KB
38,which-key.nvim,7015,250,7015,34,28/04/2021,28/10/2025,946.00 KB,"💥   Create key bindings that stick. WhichKey helps you remember your Neovim keymaps, by showing available keybindings in a popup as you type.",Lua,https://github.com/folke/which-key.nvim,946.00 KB
39,awesome,6847,623,6847,570,03/03/2014,17/03/2026,16.20 MB,awesome window manager,Lua,https://github.com/awesomeWM/awesome,16.20 MB
40,trouble.nvim,6724,207,6724,19,21/04/2021,31/10/2025,1.58 MB,"🚦 A pretty diagnostics, references, telescope results, quickfix and location list to help you solve all the trouble your code is causing.",Lua,https://github.com/folke/trouble.nvim,1.58 MB
41,PakePlus-Android,6670,3801,6670,2,28/03/2025,20/03/2026,20.39 MB,Turn any webpage/HTML/Vue/React and so on into desktop and mobile app under 5M with easy in few minutes. 轻松将任意网站/HTML/Vue/React等项目构建为轻量级(小于5M)多端桌面应用和手机应用仅需几分钟. https://ppofficial.netlify.app,Lua,https://github.com/Sjj1024/PakePlus-Android,20.39 MB
