Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,AFNetworking,33703,10502,33703,102,31/05/2011,17/01/2023,5.99 MB,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",Objective-C,https://github.com/AFNetworking/AFNetworking,5.99 MB
2,SDWebImage,25851,6000,25851,119,21/09/2009,03/12/2025,24.99 MB,Asynchronous image downloader with cache support as a UIImageView category,Objective-C,https://github.com/SDWebImage/SDWebImage,24.99 MB
3,WeChatExtension-ForMac,22679,3600,22679,906,25/04/2019,13/02/2025,203.75 MB,A plugin for Mac WeChat,Objective-C,https://github.com/MustangYM/WeChatExtension-ForMac,203.75 MB
4,TrollStore,20506,1389,20506,47,02/09/2022,02/09/2024,10.43 MB,Jailed iOS app that can install IPAs permanently with arbitary entitlements and root helpers because it trolls Apple,Objective-C,https://github.com/opa334/TrollStore,10.43 MB
5,GPUImage,20336,4596,20336,1001,13/02/2012,16/02/2024,43.81 MB,An open source iOS framework for GPU-based image and video processing,Objective-C,https://github.com/BradLarson/GPUImage,43.81 MB
6,Masonry,18379,3155,18379,151,22/07/2013,13/04/2023,767.00 KB,"Harness the power of AutoLayout NSLayoutConstraints with a simplified, chainable and expressive syntax. Supports iOS and OSX Auto Layout",Objective-C,https://github.com/SnapKit/Masonry,767.00 KB
7,iTerm2,16604,1262,16604,43,07/04/2011,03/12/2025,439.53 MB,iTerm2 is a terminal emulator for Mac OS X that does amazing things.,Objective-C,https://github.com/gnachman/iTerm2,439.53 MB
8,realm-swift,16567,2207,16567,491,16/04/2012,12/11/2025,66.54 MB,Realm is a mobile database: a replacement for Core Data & SQLite,Objective-C,https://github.com/realm/realm-swift,66.54 MB
9,MBProgressHUD,16002,3577,16002,94,31/05/2009,14/08/2024,1.22 MB,MBProgressHUD + Customizations,Objective-C,https://github.com/jdg/MBProgressHUD,1.22 MB
10,FLEX,14505,1774,14505,47,29/05/2014,04/12/2025,30.43 MB,An in-app debugging and exploration tool for iOS,Objective-C,https://github.com/FLEXTool/FLEX,30.43 MB
11,keycastr,14360,554,14360,86,19/02/2009,24/11/2025,56.84 MB,"KeyCastr, an open-source keystroke visualizer",Objective-C,https://github.com/keycastr/keycastr,56.84 MB
12,WebViewJavascriptBridge,14352,2977,14352,105,28/08/2011,01/08/2024,522.00 KB,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,Objective-C,https://github.com/marcuswestin/WebViewJavascriptBridge,522.00 KB
13,WeChatPlugin-MacOS,14306,2486,14306,153,20/04/2017,09/06/2024,24.93 MB,微信小助手,Objective-C,https://github.com/TKkk-iOSer/WeChatPlugin-MacOS,24.93 MB
14,hammerspoon,14061,641,14061,649,08/10/2014,18/11/2025,159.10 MB,Staggeringly powerful macOS desktop automation with Lua,Objective-C,https://github.com/Hammerspoon/hammerspoon,159.10 MB
15,YYKit,14007,3703,14007,306,10/04/2013,25/06/2024,55.62 MB,A collection of iOS components.,Objective-C,https://github.com/ibireme/YYKit,55.62 MB
16,fmdb,13868,2753,13868,271,06/07/2010,25/11/2025,1.65 MB,A Cocoa / Objective-C wrapper around SQLite,Objective-C,https://github.com/ccgus/fmdb,1.65 MB
17,MJRefresh,13839,3543,13839,58,23/05/2014,11/11/2025,15.09 MB,An easy way to use pull-to-refresh.,Objective-C,https://github.com/CoderMJLee/MJRefresh,15.09 MB
18,spectacle,13647,840,13647,148,11/07/2010,15/01/2022,12.49 MB,Spectacle allows you to organize your windows without using a mouse.,Objective-C,https://github.com/eczarny/spectacle,12.49 MB
19,CocoaLumberjack,13313,2293,13313,6,31/03/2011,26/11/2025,5.96 MB,"A fast & simple, yet powerful & flexible logging framework for macOS, iOS, tvOS, watchOS and visionOS",Objective-C,https://github.com/CocoaLumberjack/CocoaLumberjack,5.96 MB
20,IGListKit,13050,1543,13050,167,07/09/2016,25/11/2025,9.02 MB,A data-driven UICollectionView framework for building fast and flexible lists.,Objective-C,https://github.com/Instagram/IGListKit,9.02 MB
21,WeChatTweak,12626,1504,12626,184,18/01/2017,05/12/2025,8.59 MB,A dynamic library tweak for WeChat macOS - 首款微信 macOS 客户端撤回拦截与多开 🔨,Objective-C,https://github.com/sunnyyoung/WeChatTweak,8.59 MB
22,SVProgressHUD,12475,2659,12475,78,28/03/2011,08/08/2024,1.39 MB,A clean and lightweight progress HUD for your iOS and tvOS app.,Objective-C,https://github.com/SVProgressHUD/SVProgressHUD,1.39 MB
23,CocoaAsyncSocket,12469,3022,12469,0,22/11/2011,20/07/2023,2.23 MB,Asynchronous socket networking library for Mac and iOS,Objective-C,https://github.com/robbiehanson/CocoaAsyncSocket,2.23 MB
24,darling,12450,470,12450,313,09/12/2012,05/12/2025,39.75 MB,Darwin/macOS emulation layer for Linux,Objective-C,https://github.com/darlinghq/darling,39.75 MB
25,chameleon,12384,1299,12384,66,26/07/2014,03/05/2021,11.49 MB,"Color framework for Swift & Objective-C (Gradient colors, hexcode support, colors from images & more).",Objective-C,https://github.com/vicc/chameleon,11.49 MB
26,iCarousel,12347,2561,12347,400,06/04/2011,27/06/2024,3.80 MB,"A simple, highly customisable, data-driven 3D carousel for iOS and Mac OS",Objective-C,https://github.com/nicklockwood/iCarousel,3.80 MB
27,DZNEmptyDataSet,12057,1730,12057,190,03/06/2014,06/07/2022,13.88 MB,A drop-in UITableView/UICollectionView superclass category for showing empty datasets whenever the view has no content to display,Objective-C,https://github.com/dzenbot/DZNEmptyDataSet,13.88 MB
28,GitUp,11819,1434,11819,373,13/08/2015,23/10/2025,63.77 MB,The Git interface you've been missing all your life has finally arrived.,Objective-C,https://github.com/git-up/GitUp,63.77 MB
29,LuLu,11623,532,11623,474,10/09/2017,20/11/2025,25.42 MB,LuLu is the free open-source macOS firewall,Objective-C,https://github.com/objective-see/LuLu,25.42 MB
