Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,cloc,22547,1099,22547,25,07/09/2015,19/02/2026,6.97 MB,"cloc counts blank lines, comment lines, and physical lines of source code in many programming languages.",Perl,https://github.com/AlDanial/cloc,6.97 MB
2,FlameGraph,19306,2087,19306,173,16/12/2011,20/10/2024,1.87 MB,Stack trace visualizer,Perl,https://github.com/brendangregg/FlameGraph,1.87 MB
3,diff-so-fancy,17933,338,17933,33,04/02/2016,15/07/2025,666.00 KB,Good-lookin' diffs. Actually… nah… The best-lookin' diffs. :tada:,Perl,https://github.com/so-fancy/diff-so-fancy,666.00 KB
4,nikto,10102,1406,10102,0,24/11/2012,19/02/2026,5.20 MB,Nikto web server scanner,Perl,https://github.com/sullo/nikto,5.20 MB
5,MySQLTuner-perl,9436,1295,9436,34,29/05/2009,19/02/2026,34.71 MB,MySQLTuner is a script written in Perl that will assist you with your MySQL configuration and make recommendations for increased performance and stability.,Perl,https://github.com/major/MySQLTuner-perl,34.71 MB
6,gitolite,8566,1011,8566,6,24/08/2009,23/01/2026,3.11 MB,"Hosting git repositories -- Gitolite allows you to setup git hosting on a central server, with very fine-grained access control and many (many!) more powerful features.",Perl,https://github.com/sitaramc/gitolite,3.11 MB
7,git-it-electron,4860,1215,4860,138,08/05/2015,10/04/2024,78.53 MB,":computer: :mortar_board: Git-it is a (Mac, Win, Linux) Desktop App for Learning Git and GitHub",Perl,https://github.com/jlord/git-it-electron,78.53 MB
8,Expose,4433,257,4433,23,28/08/2015,16/03/2022,409.00 KB,A simple static site generator for photoessays,Perl,https://github.com/Jack000/Expose,409.00 KB
9,exiftool,4429,416,4429,17,09/05/2018,19/02/2026,65.86 MB,ExifTool meta information reader/writer,Perl,https://github.com/exiftool/exiftool,65.86 MB
10,sicp-pdf,4387,549,4387,20,21/06/2011,27/06/2024,36.21 MB,SICP PDF with Texinfo and LaTeX source,Perl,https://github.com/sarabander/sicp-pdf,36.21 MB
11,EQGRP,4198,2081,4198,17,08/04/2017,24/05/2017,150.60 MB,Decrypted content of eqgrp-auction-file.tar.xz,Perl,https://github.com/x0rz/EQGRP,150.60 MB
12,pgbadger,3951,374,3951,17,11/04/2012,05/02/2026,15.16 MB,A fast PostgreSQL Log Analyzer,Perl,https://github.com/darold/pgbadger,15.16 MB
13,sanoid,3668,338,3668,136,17/11/2014,18/02/2026,1.27 MB,These are policy-driven snapshot management and replication tools which use OpenZFS for underlying next-gen storage. (Btrfs support plans are shelved unless and until btrfs becomes reliable.),Perl,https://github.com/jimsalterjrs/sanoid,1.27 MB
14,rsnapshot,3586,274,3586,56,24/04/2012,20/07/2025,2.22 MB,"a tool for backing up your data using rsync (if you want to get help, use https://lists.sourceforge.net/lists/listinfo/rsnapshot-discuss)",Perl,https://github.com/rsnapshot/rsnapshot,2.22 MB
15,a-shell,3559,173,3559,594,10/07/2019,19/02/2026,137.33 MB,"A terminal for iOS, with multiple windows",Perl,https://github.com/holzschu/a-shell,137.33 MB
16,.dotfiles,3435,316,3435,36,15/06/2021,24/04/2024,18.89 MB,,Perl,https://github.com/ThePrimeagen/.dotfiles,18.89 MB
17,ddclient,3326,380,3326,125,14/08/2012,19/01/2025,2.62 MB,ddclient updates dynamic DNS entries for accounts on a wide range of dynamic DNS services.,Perl,https://github.com/ddclient/ddclient,2.62 MB
18,trurl,3317,115,3317,5,31/03/2023,29/01/2026,515.00 KB,a command line tool for URL parsing and manipulation.,Perl,https://github.com/curl/trurl,515.00 KB
19,rcm,3225,138,3225,32,07/06/2013,23/05/2025,2.07 MB,rc file (dotfile) management,Perl,https://github.com/thoughtbot/rcm,2.07 MB
20,openfortivpn,3210,362,3210,133,26/01/2015,11/01/2026,1.31 MB,Client for PPP+TLS VPN tunnel services,Perl,https://github.com/adrienverge/openfortivpn,1.31 MB
21,sqitch,3104,216,3104,77,27/01/2012,25/01/2026,13.48 MB,Sensible database change management,Perl,https://github.com/sqitchers/sqitch,13.48 MB
22,sherloq,3097,291,3097,22,24/06/2017,14/07/2025,194.02 MB,An open-source digital image forensic toolset,Perl,https://github.com/GuidoBartoli/sherloq,194.02 MB
23,nginx-tutorials,2877,438,2877,5,01/12/2011,05/03/2021,586.00 KB,Nginx Tutorials,Perl,https://github.com/openresty/nginx-tutorials,586.00 KB
24,LANraragi,2837,199,2837,98,31/07/2014,23/01/2026,85.85 MB,Web application for archival and reading of manga/doujinshi. Lightweight and Docker-ready for NAS/servers.,Perl,https://github.com/Difegue/LANraragi,85.85 MB
25,mojo,2719,588,2719,115,21/10/2008,12/02/2026,29.31 MB,:sparkles: Mojolicious - Perl real-time web framework,Perl,https://github.com/mojolicious/mojo,29.31 MB
26,postgresqltuner,2685,195,2685,13,15/12/2016,08/01/2024,152.00 KB,"Simple script to analyse your PostgreSQL database configuration, and give tuning advice",Perl,https://github.com/jfcoz/postgresqltuner,152.00 KB
27,Th3inspector,2569,514,2569,13,17/02/2018,21/04/2025,342.00 KB,Th3Inspector 🕵️ Best Tool For Information Gathering 🔎,Perl,https://github.com/Moham3dRiahi/Th3inspector,342.00 KB
28,owasp-modsecurity-crs,2488,731,2488,45,02/08/2012,16/06/2020,3.43 MB,OWASP ModSecurity Core Rule Set (CRS) Project (Official Repository),Perl,https://github.com/SpiderLabs/owasp-modsecurity-crs,3.43 MB
29,get_iplayer,2451,239,2451,1,11/03/2011,04/05/2025,5.60 MB,A utility for downloading TV and radio programmes from BBC iPlayer and BBC Sounds,Perl,https://github.com/get-iplayer/get_iplayer,5.60 MB
30,ABTestingGateway,2360,764,2360,75,19/07/2015,14/10/2018,12.73 MB,,Perl,https://github.com/CNSRE/ABTestingGateway,12.73 MB
31,nipe,2286,333,2286,15,07/09/2015,07/02/2026,378.00 KB,An engine to make Tor network your default gateway,Perl,https://github.com/htrgouvea/nipe,378.00 KB
32,perl5,2230,610,2230,2390,13/02/2013,19/02/2026,358.80 MB,🐪 The Perl programming language,Perl,https://github.com/Perl/perl5,358.80 MB
33,everything-curl,2219,333,2219,23,24/09/2015,28/01/2026,10.04 MB,"The book documenting the curl project, the curl tool, libcurl and more. Simply put: everything curl.",Perl,https://github.com/curl/everything-curl,10.04 MB
34,munin,2113,481,2113,215,31/05/2012,15/12/2025,19.59 MB,Main repository for munin master / node / plugins,Perl,https://github.com/munin-monitoring/munin,19.59 MB
