Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,open-source-rover,9187,1443,9187,17,29/06/2018,22/01/2026,2.99 GB,"A build-it-yourself, 6-wheel rover based on the rovers on Mars!",Prolog,https://github.com/nasa-jpl/open-source-rover,2.99 GB
2,terminusdb,3200,129,3200,6,23/07/2019,26/02/2026,15.18 MB,"TerminusDB is a distributed, collaborative database designed for building, sharing, versioning, and reasoning on structured data.",Prolog,https://github.com/terminusdb/terminusdb,15.18 MB
3,pslab-hardware,1677,94,1677,20,28/03/2017,21/06/2024,135.22 MB,PSLab Hardware Design and Schematics https://pslab.io,Prolog,https://github.com/fossasia/pslab-hardware,135.22 MB
4,OnBoard,912,1064,912,23,30/04/2023,31/05/2025,749.96 MB," 💡 Join 1,000 teenagers and make your first PCB with a $100 grant!",Prolog,https://github.com/hackclub/OnBoard,749.96 MB
5,stixfonts,906,48,906,103,06/04/2018,17/03/2025,167.70 MB,"OpenType Unicode fonts for Scientific, Technical, and Mathematical texts",Prolog,https://github.com/stipub/stixfonts,167.70 MB
6,prolog-examples,618,179,618,5,18/10/2012,04/11/2022,87.00 KB,Some simple examples for new Prolog programmers,Prolog,https://github.com/Anniepoo/prolog-examples,87.00 KB
7,stabilizer,587,47,587,7,28/04/2012,29/09/2021,29.49 MB,Stabilizer: Rigorous Performance Evaluation,Prolog,https://github.com/ccurtsinger/stabilizer,29.49 MB
8,the-constitution-of-japan,554,6,554,2,02/09/2015,23/02/2016,40.00 KB,,Prolog,https://github.com/bitlaw-jp/the-constitution-of-japan,40.00 KB
9,swish,550,143,550,42,09/09/2014,25/02/2026,4.78 MB,SWI-Prolog for SHaring: a SWI-Prolog web IDE,Prolog,https://github.com/SWI-Prolog/swish,4.78 MB
10,logtalk3,476,34,476,6,17/08/2012,26/02/2026,1.28 GB,Logtalk - declarative object-oriented logic programming language,Prolog,https://github.com/LogtalkDotOrg/logtalk3,1.28 GB
11,marelle,389,23,389,3,08/05/2013,22/09/2018,95.00 KB,Test-driven system administration with a little extra logic.,Prolog,https://github.com/larsyencken/marelle,95.00 KB
12,elpi,351,43,351,56,20/03/2017,26/02/2026,44.60 MB,Embeddable Lambda Prolog Interpreter,Prolog,https://github.com/LPCIC/elpi,44.60 MB
13,weed,347,33,347,0,13/03/2012,08/11/2025,4.58 MB,Heavily Xchat inspired beautiful irssi theme.,Prolog,https://github.com/ronilaukkarinen/weed,4.58 MB
14,ciao,330,24,330,46,07/12/2015,21/06/2025,15.69 MB,"Ciao is a modern Prolog implementation that builds up from a logic-based simple kernel designed to be portable, extensible, and modular.",Prolog,https://github.com/ciao-lang/ciao,15.69 MB
15,plwm,297,7,297,35,10/11/2023,25/01/2026,21.79 MB,An X11 window manager written in Prolog,Prolog,https://github.com/Seeker04/plwm,21.79 MB
16,learn-prolog-now-exercises,287,86,287,10,21/06/2012,11/07/2023,86.00 KB,"My solutions to the exercises and practical sessions of the book 'Learn Prolog Now!' by Patrick Blackburn, Johan Bos, and Kristina Striegnitz.",Prolog,https://github.com/dragonwasrobot/learn-prolog-now-exercises,86.00 KB
17,datalog,276,26,276,2,24/12/2012,17/10/2024,2.19 MB,An in-memory datalog implementation for OCaml.,Prolog,https://github.com/c-cube/datalog,2.19 MB
18,tar.pl,260,7,260,0,18/01/2023,22/01/2023,16.00 KB,tar creator+extractor in ~100 lines of prolog,Prolog,https://github.com/SuperDisk/tar.pl,16.00 KB
19,esplay_micro_hardware,255,53,255,1,04/04/2019,26/11/2019,17.05 MB,"Micro version of esplay hardware, ESP32 based gaming console",Prolog,https://github.com/pebri86/esplay_micro_hardware,17.05 MB
20,COOLFluiD,253,81,253,11,23/09/2014,26/02/2026,1.45 GB,"The object-oriented HPC platform for CFD, plasma and multi-physics simulations whose development started in 2002 at the Von Karman Institute for Fluid Dynamics is finally open!",Prolog,https://github.com/andrealani/COOLFluiD,1.45 GB
21,FontPro,245,43,245,19,02/11/2010,25/08/2017,5.14 MB,"LaTeX support for Adobe's Pro opentype fonts: Minion Pro, Myriad Pro, Cronos Pro and possibly more",Prolog,https://github.com/sebschub/FontPro,5.14 MB
22,APE,210,28,210,16,21/11/2011,21/04/2024,3.74 MB,Parser for Attempto Controlled English (ACE),Prolog,https://github.com/Attempto/APE,3.74 MB
23,clpz,209,14,209,29,17/04/2016,05/02/2024,1.04 MB,Constraint Logic Programming over Integers,Prolog,https://github.com/triska/clpz,1.04 MB
24,metagol,207,28,207,3,09/12/2015,13/09/2021,218.00 KB,Metagol - an inductive logic programming system,Prolog,https://github.com/metagol/metagol,218.00 KB
25,iPad3_lcd,199,50,199,1,21/04/2013,01/06/2013,210.00 KB,A PCB for attaching an iPad retina LCD to a DisplayPort source,Prolog,https://github.com/Emeryth/iPad3_lcd,210.00 KB
26,prolog_notes,195,26,195,3,18/08/2019,29/01/2026,19.30 MB,Some notes taken while working on Prolog,Prolog,https://github.com/dtonhofer/prolog_notes,19.30 MB
27,clpfd,188,13,188,2,25/10/2015,07/01/2020,843.00 KB,Constraint Logic Programming over Finite Domains,Prolog,https://github.com/triska/clpfd,843.00 KB
28,StrangeLoop2014,188,58,188,1,06/08/2014,25/10/2014,246.35 MB,Strange Loop 2014 archives,Prolog,https://github.com/strangeloop/StrangeLoop2014,246.35 MB
29,simply-logical,170,27,170,3,08/10/2015,17/12/2024,13.67 MB,"Online, interactive edition of the ""Simply Logical"" Prolog textbook",Prolog,https://github.com/simply-logical/simply-logical,13.67 MB
30,c_plus_prolog,168,3,168,0,26/01/2025,11/03/2025,94.00 KB,C plus Prolog,Prolog,https://github.com/needleful/c_plus_prolog,94.00 KB
31,zamia-ai,166,26,166,0,17/01/2014,13/05/2021,121.16 MB,"Free and open source A.I. system based on Python, TensorFlow and Prolog.",Prolog,https://github.com/gooofy/zamia-ai,121.16 MB
