Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,rails,58658,22165,58658,1494,11/04/2008,12/06/2026,276.55 MB,Ruby on Rails,Ruby,https://github.com/rails/rails,276.55 MB
2,maybe,54155,5602,54155,0,01/01/2024,24/07/2025,6.73 MB,The personal finance app for everyone,Ruby,https://github.com/maybe-finance/maybe,6.73 MB
3,jekyll,51487,10287,51487,250,20/10/2008,22/04/2026,69.31 MB,:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby,Ruby,https://github.com/jekyll/jekyll,69.31 MB
4,mastodon,50013,7463,50013,4428,22/02/2016,11/06/2026,377.76 MB,"Your self-hosted, globally interconnected microblogging community",Ruby,https://github.com/mastodon/mastodon,377.76 MB
5,huginn,49456,4277,49456,696,10/03/2013,11/06/2026,9.20 MB,Create agents that monitor and act on your behalf.  Your agents are standing by!,Ruby,https://github.com/huginn/huginn,9.20 MB
6,brew,48410,11155,48410,22,06/03/2016,12/06/2026,113.91 MB,🍺 The Package Manager for Everywhere,Ruby,https://github.com/Homebrew/brew,113.91 MB
7,discourse,47239,8932,47239,159,12/01/2013,11/06/2026,905.89 MB,"A platform for community discussion. Free, open, simple.",Ruby,https://github.com/discourse/discourse,905.89 MB
8,fastlane,41640,6011,41640,752,02/12/2014,11/06/2026,82.78 MB,🚀 The easiest way to automate building and releasing your iOS and Android apps,Ruby,https://github.com/fastlane/fastlane,82.78 MB
9,devdocs,39057,2605,39057,234,24/10/2013,11/06/2026,31.93 MB,API Documentation Browser,Ruby,https://github.com/freeCodeCamp/devdocs,31.93 MB
10,metasploit-framework,38367,14870,38367,595,30/08/2011,11/06/2026,1.17 GB,Metasploit Framework,Ruby,https://github.com/rapid7/metasploit-framework,1.17 GB
11,engineering-blogs,38282,2021,38282,148,13/06/2015,21/08/2024,1.31 MB,A curated list of engineering blogs,Ruby,https://github.com/kilimchoi/engineering-blogs,1.31 MB
12,awesome-awesomeness,33476,3606,33476,56,08/07/2014,02/06/2024,381.00 KB,A curated list of awesome awesomeness,Ruby,https://github.com/bayandin/awesome-awesomeness,381.00 KB
13,chatwoot,30354,7506,30354,1181,14/08/2019,11/06/2026,404.89 MB,"Open-source live-chat, email support, omni-channel desk. An alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬",Ruby,https://github.com/chatwoot/chatwoot,404.89 MB
14,vagrant,27156,4416,27156,745,21/01/2010,08/06/2026,80.74 MB,Vagrant is a tool for building and distributing development environments.,Ruby,https://github.com/hashicorp/vagrant,80.74 MB
15,awesome-swift,26072,3125,26072,14,10/07/2014,05/05/2026,6.87 MB,A collaborative list of awesome Swift libraries and resources. Feel free to contribute!,Ruby,https://github.com/matteocrippa/awesome-swift,6.87 MB
16,gitlabhq,24392,5797,24392,36,02/10/2011,12/06/2026,2.50 GB,GitLab CE Mirror | Please open new issues in our issue tracker on GitLab.com,Ruby,https://github.com/gitlabhq/gitlabhq,2.50 GB
17,devise,24353,5488,24353,223,16/09/2009,10/06/2026,5.80 MB,Flexible authentication solution for Rails with Warden.,Ruby,https://github.com/heartcombo/devise,5.80 MB
18,ruby,23601,5601,23601,584,27/02/2010,12/06/2026,373.62 MB,The Ruby Programming Language,Ruby,https://github.com/ruby/ruby,373.62 MB
19,forem,22726,4182,22726,102,13/11/2016,11/06/2026,1.70 GB,For empowering community 🌱,Ruby,https://github.com/forem/forem,1.70 GB
20,homebrew-cask,22063,11599,22063,56,05/03/2012,12/06/2026,460.78 MB,🍻 A CLI workflow for the administration of macOS applications distributed as binaries,Ruby,https://github.com/Homebrew/homebrew-cask,460.78 MB
21,setup,19600,1581,19600,1,06/04/2014,03/06/2026,26.60 MB,Setup instructions for Le Wagon's students on their first day of AI Software Development Bootcamp,Ruby,https://github.com/lewagon/setup,26.60 MB
22,docuseal,17132,1618,17132,117,03/07/2023,08/06/2026,5.25 MB,"Open source DocuSign alternative. Create, fill, and sign digital documents ✍️",Ruby,https://github.com/docusealco/docuseal,5.25 MB
23,postal,16594,1248,16594,82,19/04/2017,09/06/2026,3.17 MB,📮 A fully featured open source mail delivery platform for incoming & outgoing e-mail,Ruby,https://github.com/postalserver/postal,3.17 MB
24,spree,15472,5262,15472,117,10/03/2008,11/06/2026,273.14 MB,"Open-source headless eCommerce platform with REST API, TypeScript SDK, and Next.js storefront for cross-border, B2B or marketplace eCommerce.",Ruby,https://github.com/spree/spree,273.14 MB
25,homebrew-core,15349,13585,15349,117,01/03/2016,12/06/2026,1.11 GB,🍻 Default formulae for the missing package manager for macOS (or Linux),Ruby,https://github.com/Homebrew/homebrew-core,1.11 GB
26,openproject,15280,3305,15280,218,28/11/2012,11/06/2026,2.59 GB,OpenProject is the leading open source project management software.,Ruby,https://github.com/opf/openproject,2.59 GB
27,CocoaPods,14825,2687,14825,841,14/08/2011,09/03/2026,95.67 MB,The Cocoa Dependency Manager.,Ruby,https://github.com/CocoaPods/CocoaPods,95.67 MB
28,quine-relay,14481,569,14481,17,15/07/2013,24/10/2025,17.28 MB,An uroboros program with 100+ programming languages,Ruby,https://github.com/mame/quine-relay,17.28 MB
29,kamal,14303,719,14303,156,07/01/2023,04/06/2026,2.99 MB,Deploy web apps anywhere.,Ruby,https://github.com/basecamp/kamal,2.99 MB
30,gollum,14277,1558,14277,91,29/03/2010,24/11/2025,134.58 MB,"A simple, Git-powered wiki with a local frontend and support for many kinds of markup and content.",Ruby,https://github.com/gollum/gollum,134.58 MB
31,awesome-stock-resources,14259,805,14259,63,31/10/2015,11/02/2026,791.00 KB,":city_sunrise: A collection of links for free stock photography, video and Illustration websites",Ruby,https://github.com/neutraltone/awesome-stock-resources,791.00 KB
32,diaspora,13655,2875,13655,425,15/09/2010,29/04/2026,114.85 MB,"A privacy-aware, distributed, open source social network.",Ruby,https://github.com/diaspora/diaspora,114.85 MB
33,tmuxinator,13641,624,13641,98,10/12/2010,24/05/2026,1.11 MB,Manage complex tmux sessions easily,Ruby,https://github.com/tmuxinator/tmuxinator,1.11 MB
34,fluentd,13552,1391,13552,136,19/06/2011,11/06/2026,20.39 MB,Fluentd: Unified Logging Layer (project under CNCF),Ruby,https://github.com/fluent/fluentd,20.39 MB
