Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,the-algorithm,73133,13250,73133,509,27/03/2023,08/09/2025,8.22 MB,Source code for the X Recommendation Algorithm,Scala,https://github.com/twitter/the-algorithm,8.22 MB
2,spark,43269,29179,43269,377,25/02/2014,14/05/2026,543.33 MB,Apache Spark - A unified analytics engine for large-scale data processing,Scala,https://github.com/apache/spark,543.33 MB
3,lila,18195,2660,18195,1238,21/02/2012,14/05/2026,598.41 MB,"♞ lichess.org: the forever free, adless and open source chess server ♞",Scala,https://github.com/lichess-org/lila,598.41 MB
4,prisma1,16398,840,16398,2,25/09/2016,01/09/2022,189.37 MB,"💾 Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL & MongoDB) [deprecated]",Scala,https://github.com/prisma/prisma1,189.37 MB
5,scala,14450,3087,14450,16,01/12/2011,13/05/2026,158.36 MB,Scala 2 compiler and standard library. Scala 2 bugs at https://github.com/scala/bug; Scala 3 at https://github.com/scala/scala3,Scala,https://github.com/scala/scala,158.36 MB
6,akka-core,13277,3547,13277,901,16/02/2009,06/05/2026,276.24 MB,"A platform to build and run apps that are elastic, agile, and resilient. SDK, libraries, and hosted environments.",Scala,https://github.com/akka/akka-core,276.24 MB
7,playframework,12623,4032,12623,488,07/09/2011,13/05/2026,111.54 MB,The Community Maintained High Velocity Web Framework For Java and Scala.,Scala,https://github.com/playframework/playframework,111.54 MB
8,predictionio,12525,1907,12525,80,25/01/2013,09/01/2021,35.44 MB,"PredictionIO, a machine learning server for developers and ML engineers.",Scala,https://github.com/apache/predictionio,35.44 MB
9,bfg-repo-cleaner,12109,580,12109,276,21/12/2012,19/01/2025,1.95 MB,"Removes large or troublesome blobs like git-filter-branch does, but faster. And written in Scala",Scala,https://github.com/rtyley/bfg-repo-cleaner,1.95 MB
10,CMAK,11933,2486,11933,520,28/01/2015,02/08/2023,3.97 MB,CMAK is a tool for managing Apache Kafka clusters,Scala,https://github.com/yahoo/CMAK,3.97 MB
11,gitbucket,9371,1262,9371,326,10/04/2013,13/05/2026,42.39 MB,"A Git platform powered by Scala with easy installation, high extensibility & GitHub API compatibility",Scala,https://github.com/gitbucket/gitbucket,42.39 MB
12,finagle,8864,1435,8864,66,19/10/2010,30/04/2026,104.71 MB,"A fault tolerant, protocol-agnostic RPC system",Scala,https://github.com/twitter/finagle,104.71 MB
13,delta,8805,2100,8805,1451,22/04/2019,15/05/2026,49.53 MB,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",Scala,https://github.com/delta-io/delta,49.53 MB
14,snowflake,7773,1118,7773,4,01/06/2010,22/07/2020,5.14 MB,Snowflake is a network service for generating unique ID numbers at high scale with some simple guarantees.,Scala,https://github.com/twitter-archive/snowflake,5.14 MB
15,XiangShan,7016,904,7016,219,13/06/2020,14/05/2026,78.23 MB,Open-source high-performance RISC-V processor,Scala,https://github.com/OpenXiangShan/XiangShan,78.23 MB
16,snowplow,7010,1176,7010,59,01/03/2012,13/05/2026,26.22 MB,The leader in Customer Data Infrastructure,Scala,https://github.com/snowplow/snowplow,26.22 MB
17,gatling,6902,1209,6902,27,31/05/2011,12/05/2026,74.59 MB,Modern Load Testing as Code,Scala,https://github.com/gatling/gatling,74.59 MB
18,ArnoldC,6870,295,6870,73,09/10/2013,31/01/2024,92.00 KB,Arnold Schwarzenegger based programming language,Scala,https://github.com/lhartikk/ArnoldC,92.00 KB
19,openwhisk,6777,1177,6777,436,18/02/2016,07/05/2026,69.01 MB,Apache OpenWhisk is an open source serverless cloud platform,Scala,https://github.com/apache/openwhisk,69.01 MB
20,scala3,6247,1159,6247,1911,06/12/2012,14/05/2026,217.96 MB,"The Scala 3 compiler, also known as Dotty.",Scala,https://github.com/scala/scala3,217.96 MB
21,frontend,5888,570,5888,158,18/05/2012,14/05/2026,685.43 MB,The Guardian DotCom.,Scala,https://github.com/guardian/frontend,685.43 MB
22,fpinscala,5827,3030,5827,132,23/02/2012,11/12/2024,5.62 MB,"Code, exercises, answers, and hints to go along with the book ""Functional Programming in Scala""",Scala,https://github.com/fpinscala/fpinscala,5.62 MB
23,cats,5438,1241,5438,271,28/01/2015,11/05/2026,56.64 MB,"Lightweight, modular, and extensible library for functional programming.",Scala,https://github.com/typelevel/cats,56.64 MB
24,linkerd,5324,496,5324,147,13/01/2016,04/03/2023,18.68 MB,Old repo for Linkerd 1.x. See the linkerd2 repo for Linkerd   2.x.,Scala,https://github.com/linkerd/linkerd,18.68 MB
25,SynapseML,5228,861,5228,394,05/06/2017,09/05/2026,177.05 MB,Simple and Distributed Machine Learning,Scala,https://github.com/microsoft/SynapseML,177.05 MB
26,sbt,4928,1036,4928,474,17/08/2009,14/05/2026,52.83 MB,"sbt, the interactive build tool",Scala,https://github.com/sbt/sbt,52.83 MB
27,aerosolve,4806,564,4806,10,12/05/2015,06/11/2025,6.73 MB,A machine learning package built for humans.,Scala,https://github.com/airbnb/aerosolve,6.73 MB
28,scala-js,4698,406,4698,54,18/02/2013,15/05/2026,30.35 MB,"Scala.js, the Scala to JavaScript compiler",Scala,https://github.com/scala-js/scala-js,30.35 MB
29,scalaz,4671,698,4671,156,16/01/2010,11/05/2026,99.18 MB,Principled Functional Programming in Scala,Scala,https://github.com/scalaz/scalaz,99.18 MB
30,chisel,4657,651,4657,525,27/04/2015,14/05/2026,789.63 MB,Chisel: A Modern Hardware Design Language,Scala,https://github.com/chipsalliance/chisel,789.63 MB
31,scala-native,4654,386,4654,371,27/11/2014,14/05/2026,24.08 MB,Your favorite language gets closer to bare metal.,Scala,https://github.com/scala-native/scala-native,24.08 MB
32,chronos,4381,521,4381,232,13/02/2013,29/06/2022,7.31 MB,Fault tolerant job scheduler for Mesos which handles dependencies and ISO8601 based schedules,Scala,https://github.com/mesos/chronos,7.31 MB
33,zio,4381,1584,4381,181,19/05/2018,13/05/2026,3.46 GB,"ZIO — A type-safe, composable library for async and concurrent programming in Scala",Scala,https://github.com/zio/zio,3.46 GB
34,spark-nlp,4129,743,4129,17,24/09/2017,14/05/2026,3.70 GB,State of the Art Natural Language Processing,Scala,https://github.com/JohnSnowLabs/spark-nlp,3.70 GB
35,marathon,4039,831,4039,29,25/06/2013,08/09/2022,70.16 MB,Deploy and manage containers (including Docker) on top of Apache Mesos at scale.,Scala,https://github.com/d2iq-archive/marathon,70.16 MB
36,TheHive,3915,689,3915,834,03/11/2016,25/07/2025,42.14 MB,"TheHive is a Collaborative Case Management Platform, now distributed as a commercial version",Scala,https://github.com/TheHive-Project/TheHive,42.14 MB
37,diffy,3817,362,3817,5,12/08/2015,01/07/2020,582.00 KB,Find potential bugs in your services with Diffy,Scala,https://github.com/twitter-archive/diffy,582.00 KB
