Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,freeCodeCamp,444737,44565,444737,188,24/12/2014,14/05/2026,559.58 MB,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,559.58 MB
2,openclaw,371892,76992,371892,7127,24/11/2025,15/05/2026,1.14 GB,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,https://github.com/openclaw/openclaw,1.14 GB
3,developer-roadmap,354762,44075,354762,11,15/03/2017,14/05/2026,352.30 MB,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,https://github.com/nilbuild/developer-roadmap,352.30 MB
4,vue,209765,33833,209765,623,29/07/2013,10/10/2024,31.40 MB,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,https://github.com/vuejs/vue,31.40 MB
5,n8n,187871,57629,187871,1467,22/06/2019,14/05/2026,541.10 MB,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,https://github.com/n8n-io/n8n,541.10 MB
6,vscode,184931,39840,184931,17563,03/09/2015,15/05/2026,1.20 GB,Visual Studio Code,TypeScript,https://github.com/microsoft/vscode,1.20 GB
7,opencode,160308,18788,160308,6718,30/04/2025,15/05/2026,254.21 MB,The open source coding agent.,TypeScript,https://github.com/anomalyco/opencode,254.21 MB
8,dify,141386,22207,141386,774,12/04/2023,14/05/2026,357.93 MB,Production-ready platform for agentic workflow development.,TypeScript,https://github.com/langgenius/dify,357.93 MB
9,tech-interview-handbook,139548,16579,139548,44,05/07/2016,05/04/2026,32.96 MB,Curated coding interview preparation materials for busy software engineers,TypeScript,https://github.com/yangshun/tech-interview-handbook,32.96 MB
10,excalidraw,123229,13650,123229,3051,02/01/2020,14/05/2026,98.59 MB,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,https://github.com/excalidraw/excalidraw,98.59 MB
11,firecrawl,119882,7373,119882,323,15/04/2024,14/05/2026,87.25 MB,"🔥 The API to search, scrape, and interact with the web for AI",TypeScript,https://github.com/firecrawl/firecrawl,87.25 MB
12,clash-verge-rev,118114,8602,118114,316,21/11/2023,14/05/2026,73.75 MB,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",TypeScript,https://github.com/clash-verge-rev/clash-verge-rev,73.75 MB
13,iptv,116215,6130,116215,38,14/11/2018,14/05/2026,1.18 GB,Collection of publicly available IPTV channels from all over the world,TypeScript,https://github.com/iptv-org/iptv,1.18 GB
14,ui,114364,8799,114364,1888,04/01/2023,14/05/2026,61.54 MB,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",TypeScript,https://github.com/shadcn-ui/ui,61.54 MB
15,TypeScript,108857,13396,108857,5036,17/06/2014,08/05/2026,2.82 GB,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,TypeScript,https://github.com/microsoft/TypeScript,2.82 GB
16,gemini-cli,103978,13650,103978,1834,17/04/2025,15/05/2026,95.44 MB,An open-source AI agent that brings the power of Gemini directly into your terminal.,TypeScript,https://github.com/google-gemini/gemini-cli,95.44 MB
17,supabase,102342,12388,102342,1005,12/10/2019,15/05/2026,2.25 GB,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",TypeScript,https://github.com/supabase/supabase,2.25 GB
18,immich,100588,5597,100588,664,03/02/2022,14/05/2026,279.54 MB,High performance self-hosted photo and video management solution.,TypeScript,https://github.com/immich-app/immich,279.54 MB
19,angular,100109,27215,100109,1145,18/09/2014,13/05/2026,616.46 MB,Deliver web apps with confidence 🚀,TypeScript,https://github.com/angular/angular,616.46 MB
20,ant-design,98030,54611,98030,1365,24/04/2015,14/05/2026,256.81 MB,An enterprise-class UI design language and React UI library,TypeScript,https://github.com/ant-design/ant-design,256.81 MB
