Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,neovim,102253,7103,102253,1898,31/01/2014,10/09/2026,389.38 MB,Vim-fork focused on extensibility and usability,Vim Script,https://github.com/neovim/neovim,389.38 MB
2,vim,40887,6137,40887,1625,18/08/2015,10/09/2026,232.44 MB,The official Vim repository,Vim Script,https://github.com/vim/vim,232.44 MB
3,vim-plug,35764,1932,35764,86,10/09/2013,22/05/2026,8.59 MB,:hibiscus: Minimalist Vim Plugin Manager,Vim Script,https://github.com/junegunn/vim-plug,8.59 MB
4,vimrc,31810,7230,31810,20,29/05/2012,06/10/2024,31.71 MB,The ultimate Vim configuration (vimrc),Vim Script,https://github.com/amix/vimrc,31.71 MB
5,Vundle.vim,23919,2530,23919,204,17/10/2010,30/07/2024,948.00 KB,"Vundle, the plug-in manager for Vim",Vim Script,https://github.com/VundleVim/Vundle.vim,948.00 KB
6,vim-fugitive,21779,1078,21779,137,09/10/2009,07/03/2026,2.61 MB,"fugitive.vim: A Git wrapper so awesome, it should be illegal",Vim Script,https://github.com/tpope/vim-fugitive,2.61 MB
7,SpaceVim,20202,1411,20202,5,26/12/2016,17/02/2025,69.01 MB,A modular configuration of Vim and Neovim,Vim Script,https://github.com/wsdjeg/SpaceVim,69.01 MB
8,nerdtree,20089,1438,20089,39,10/03/2008,26/09/2025,1.96 MB,A tree explorer plugin for vim.,Vim Script,https://github.com/preservim/nerdtree,1.96 MB
9,vim-galore,17973,627,17973,13,04/01/2016,22/12/2023,952.00 KB,:mortar_board: All things Vim!,Vim script,https://github.com/mhinz/vim-galore,952.00 KB
10,vim-airline,17965,1101,17965,37,30/06/2013,09/09/2026,3.81 MB,lean & mean status/tabline for vim that's light as air,Vim Script,https://github.com/vim-airline/vim-airline,3.81 MB
11,vim-go,16220,1427,16220,44,24/03/2014,23/08/2026,6.77 MB,Go development plugin for Vim,Vim Script,https://github.com/fatih/vim-go,6.77 MB
12,solarized,16013,3431,16013,220,18/02/2011,11/07/2024,33.75 MB,"precision color scheme for multiple applications (terminal, vim, etc.) with both dark/light modes",Vim script,https://github.com/altercation/solarized,33.75 MB
13,gruvbox,15737,1124,15737,159,28/11/2012,08/06/2026,6.71 MB,Retro groove color scheme for Vim,Vim Script,https://github.com/morhetz/gruvbox,6.71 MB
14,spf13-vim,15475,3530,15475,347,20/04/2010,12/06/2026,3.00 MB,The ultimate vim distribution,Vim Script,https://github.com/spf13/spf13-vim,3.00 MB
15,til,14150,754,14150,23,07/02/2015,09/09/2026,3.40 MB,:memo: Today I Learned,Vim Script,https://github.com/jbranchaud/til,3.40 MB
16,vim-surround,14104,447,14104,140,11/09/2008,30/06/2024,129.00 KB,surround.vim: Delete/change/add parentheses/quotes/XML-tags/much more with ease,Vim Script,https://github.com/tpope/vim-surround,129.00 KB
17,ale,14016,1484,14016,588,08/09/2016,21/08/2026,19.62 MB,"Check syntax in Vim/Neovim asynchronously and fix files, with Language Server Protocol (LSP) support",Vim Script,https://github.com/dense-analysis/ale,19.62 MB
18,vim-pathogen,12119,1143,12119,27,13/12/2009,24/08/2022,103.00 KB,pathogen.vim: manage your runtimepath,Vim Script,https://github.com/tpope/vim-pathogen,103.00 KB
19,copilot.vim,11685,808,11685,66,20/10/2021,11/08/2026,69.64 MB,Neovim plugin for GitHub Copilot,Vim Script,https://github.com/github/copilot.vim,69.64 MB
20,syntastic,11212,1120,11212,50,11/07/2009,10/07/2022,4.40 MB,Syntax checking hacks for vim,Vim script,https://github.com/vim-syntastic/syntastic,4.40 MB
21,vim-galore-zh_cn,10599,1377,10599,0,23/03/2017,30/12/2024,284.00 KB,Vim 从入门到精通,Vim Script,https://github.com/wsdjeg/vim-galore-zh_cn,284.00 KB
22,fzf.vim,10253,607,10253,351,14/08/2015,07/09/2026,862.00 KB,fzf :heart: vim,Vim Script,https://github.com/junegunn/fzf.vim,862.00 KB
23,vimwiki,9520,648,9520,230,15/11/2012,30/04/2026,6.20 MB,Personal Wiki for Vim,Vim Script,https://github.com/vimwiki/vimwiki,6.20 MB
24,use_vim_as_ide,9159,2308,9159,56,12/10/2014,03/01/2020,14.63 MB,use vim as IDE,VimL,https://github.com/yangyangwithgnu/use_vim_as_ide,14.63 MB
25,vim-gitgutter,8513,299,8513,2,20/02/2013,21/07/2026,1.39 MB,A Vim plugin which shows git diff markers in the sign column and stages/previews/undoes hunks and partial hunks.,Vim Script,https://github.com/airblade/vim-gitgutter,1.39 MB
26,vim-multiple-cursors,7949,242,7949,1,14/04/2013,30/07/2020,1.31 MB,True Sublime Text style multiple selections for Vim,Vim script,https://github.com/terryma/vim-multiple-cursors,1.31 MB
27,macvim,7881,692,7881,199,01/09/2012,30/07/2026,239.88 MB,Vim - the text editor - for macOS,Vim Script,https://github.com/macvim-dev/macvim,239.88 MB
28,janus,7843,796,7843,97,08/08/2010,09/04/2022,645.00 KB,Vim distribution,Vim script,https://github.com/carlhuda/janus,645.00 KB
29,vim-easymotion,7744,364,7744,129,27/03/2011,05/02/2024,1.50 MB,Vim motions on speed!,Vim script,https://github.com/easymotion/vim-easymotion,1.50 MB
30,ctrlp.vim,7231,660,7231,198,05/09/2011,16/03/2022,1.70 MB,"Fuzzy file, buffer, mru, tag, etc finder.",VimL,https://github.com/kien/ctrlp.vim,1.70 MB
31,lightline.vim,6870,316,6870,2,21/08/2013,01/07/2026,775.00 KB,A light and configurable statusline/tabline plugin for Vim,Vim Script,https://github.com/itchyny/lightline.vim,775.00 KB
32,vim-colors-solarized,6593,1707,6593,133,18/02/2011,10/04/2024,772.00 KB,precision colorscheme for the vim text editor,VimL,https://github.com/altercation/vim-colors-solarized,772.00 KB
33,emmet-vim,6465,414,6465,132,18/02/2010,24/03/2026,1.40 MB,emmet for vim: http://emmet.io/,Vim Script,https://github.com/mattn/emmet-vim,1.40 MB
34,tagbar,6225,478,6225,117,11/01/2011,14/06/2026,3.61 MB,"Vim plugin that displays tags in a window, ordered by scope",Vim Script,https://github.com/preservim/tagbar,3.61 MB
35,vim-commentary,6160,209,6160,35,20/08/2011,22/10/2024,34.00 KB,commentary.vim: comment stuff out,Vim Script,https://github.com/tpope/vim-commentary,34.00 KB
36,vim-devicons,5809,274,5809,70,22/11/2014,09/05/2024,2.89 MB,"Adds file type icons to Vim plugins such as: NERDTree, vim-airline, CtrlP, unite, Denite, lightline, vim-startify and many more",Vim Script,https://github.com/ryanoasis/vim-devicons,2.89 MB
37,vim-polyglot,5712,306,5712,117,12/09/2013,27/08/2025,9.73 MB,A solid language pack for Vim.,Vim Script,https://github.com/vim-polyglot/vim-polyglot,9.73 MB
38,vim.wasm,5646,149,5646,20,01/07/2018,25/02/2026,108.68 MB,Vim editor ported to WebAssembly,Vim Script,https://github.com/rhysd/vim.wasm,108.68 MB
39,python-mode,5466,757,5466,39,18/09/2011,24/05/2026,10.94 MB,"Vim python-mode. PyLint, Rope, Pydoc, breakpoints from box.",Vim Script,https://github.com/python-mode/python-mode,10.94 MB
40,vim-startify,5387,181,5387,80,23/04/2013,05/01/2024,1.47 MB,:link: The fancy start screen for Vim.,Vim Script,https://github.com/mhinz/vim-startify,1.47 MB
41,vim-sensible,5298,272,5298,8,06/01/2013,08/06/2024,60.00 KB,sensible.vim: Defaults everyone can agree on,Vim Script,https://github.com/tpope/vim-sensible,60.00 KB
42,windsurf.vim,5143,194,5143,135,03/01/2023,31/03/2026,336.00 KB,"Free, ultrafast Copilot alternative for Vim and Neovim",Vim Script,https://github.com/Exafunction/windsurf.vim,336.00 KB
43,nerdcommenter,5005,441,5005,102,10/03/2008,19/11/2025,1001.00 KB,Vim plugin for intensely nerdy commenting powers,Vim Script,https://github.com/preservim/nerdcommenter,1001.00 KB
44,vim-visual-multi,4886,99,4886,31,12/04/2018,01/09/2024,1.30 MB,Multiple cursors plugin for vim/neovim,Vim Script,https://github.com/mg979/vim-visual-multi,1.30 MB
45,k-vim,4854,1756,4854,33,11/06/2013,26/11/2025,444.00 KB,vim配置,Vim Script,https://github.com/wklken/k-vim,444.00 KB
46,vim-markdown,4815,518,4815,275,14/02/2009,23/10/2025,597.00 KB,Markdown Vim Mode,Vim Script,https://github.com/preservim/vim-markdown,597.00 KB
47,goyo.vim,4686,118,4686,80,30/11/2013,21/12/2025,93.00 KB,:tulip: Distraction-free writing in Vim,Vim Script,https://github.com/junegunn/goyo.vim,93.00 KB
48,undotree,4542,118,4542,44,18/08/2012,08/03/2026,416.00 KB,The undo history visualizer for VIM,Vim Script,https://github.com/mbbill/undotree,416.00 KB
49,vim-dadbod,4442,165,4442,58,08/03/2018,07/01/2026,144.00 KB,dadbod.vim: Modern database interface for Vim,Vim Script,https://github.com/tpope/vim-dadbod,144.00 KB
50,vimspector,4320,178,4320,42,20/05/2018,31/08/2026,5.68 MB,vimspector - A multi-language debugging system for Vim,Vim Script,https://github.com/puremourning/vimspector,5.68 MB
51,vim-easy-align,4237,122,4237,30,07/04/2013,23/07/2024,530.00 KB,:sunflower: A Vim alignment plugin,Vim Script,https://github.com/junegunn/vim-easy-align,530.00 KB
52,vim,4229,2817,4229,95,27/07/2012,21/01/2019,4.03 MB,vim配置文件和插件(不再维护),Vim script,https://github.com/ma6174/vim,4.03 MB
53,everforest,4200,144,4200,6,03/03/2019,08/06/2026,4.27 MB,🌲 Comfortable & Pleasant Color Scheme for Vim,Vim Script,https://github.com/sainnhe/everforest,4.27 MB
54,auto-pairs,4193,362,4193,170,22/05/2011,08/07/2024,115.00 KB,"Vim plugin, insert or delete brackets, parens, quotes in pair",Vim script,https://github.com/jiangmiao/auto-pairs,115.00 KB
55,rust.vim,4184,322,4184,138,29/01/2015,02/06/2024,535.00 KB,Vim configuration for Rust.,Vim Script,https://github.com/rust-lang/rust.vim,535.00 KB
56,vim-rails,4151,375,4151,42,09/10/2008,19/02/2025,2.73 MB,rails.vim: Ruby on Rails power tools,Vim Script,https://github.com/tpope/vim-rails,2.73 MB
57,indentLine,4117,234,4117,77,27/11/2012,14/07/2023,140.00 KB,A vim plugin to display the indention levels with thin vertical lines,Vim Script,https://github.com/Yggdroot/indentLine,140.00 KB
58,onedark.vim,4000,507,4000,29,26/10/2015,02/04/2026,1.70 MB,A dark Vim/Neovim color scheme inspired by Atom's One Dark syntax theme.,Vim Script,https://github.com/joshdick/onedark.vim,1.70 MB
59,vimplus,3944,1113,3944,258,10/04/2016,05/06/2024,12.82 MB,:rocket:An automatic configuration program for vim,Vim script,https://github.com/chxuan/vimplus,12.82 MB
