Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Size (KB),Description,Language,Repo URL
1,tensorflow,188869,74606,188869,7865,07/11/2015,28/03/2025,1.12 GB,1174267,An Open Source Machine Learning Framework for Everyone,C++,https://github.com/tensorflow/tensorflow
2,react-native,121288,24565,121288,893,09/01/2015,28/03/2025,890.34 MB,911712,A framework for building native applications using React,C++,https://github.com/facebook/react-native
3,electron,116123,15933,116123,951,12/04/2013,28/03/2025,162.96 MB,166867,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,https://github.com/electron/electron
4,terminal,97543,8506,97543,1657,11/08/2017,28/03/2025,148.48 MB,152040,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,https://github.com/microsoft/terminal
5,godot,95621,22008,95621,15107,04/01/2014,28/03/2025,1.47 GB,1540764,Godot Engine – Multi-platform 2D and 3D game engine,C++,https://github.com/godotengine/godot
6,bitcoin,82669,36970,82669,686,19/12/2010,28/03/2025,272.41 MB,278951,Bitcoin Core integration/staging tree,C++,https://github.com/bitcoin/bitcoin
7,opencv,81375,56074,81375,2728,19/07/2012,28/03/2025,531.86 MB,544629,Open Source Computer Vision Library,C++,https://github.com/opencv/opencv
8,llama.cpp,77309,11232,77309,751,10/03/2023,28/03/2025,99.67 MB,102057,LLM inference in C/C++,C++,https://github.com/ggml-org/llama.cpp
9,gpt4all,72926,7945,72926,696,27/03/2023,19/03/2025,43.78 MB,44833,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,C++,https://github.com/nomic-ai/gpt4all
10,swift,68271,10441,68271,8109,23/10/2015,28/03/2025,1.17 GB,1228472,The Swift Programming Language,C++,https://github.com/swiftlang/swift
