Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,linux,225240,61222,225240,3,04/09/2011,26/03/2026,5.81 GB,Linux kernel source tree,C,https://github.com/torvalds/linux,5.81 GB
2,scrcpy,137595,12818,137595,2765,21/11/2017,24/03/2026,7.91 MB,Display and control your Android device,C,https://github.com/Genymobile/scrcpy,7.91 MB
3,netdata,78218,6384,78218,254,17/06/2013,27/03/2026,256.28 MB,"The fastest path to AI-powered full stack observability, even for lean teams.",C,https://github.com/netdata/netdata,256.28 MB
4,Ventoy,75300,4721,75300,919,10/03/2020,01/02/2026,213.81 MB,A new bootable USB solution.,C,https://github.com/ventoy/Ventoy,213.81 MB
5,redis,73563,24554,73563,2765,21/03/2009,26/03/2026,204.56 MB,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,https://github.com/redis/redis,204.56 MB
6,obs-studio,71193,9105,71193,1091,01/10/2013,25/03/2026,78.41 MB,OBS Studio - Free and open source software for live streaming and screen recording,C,https://github.com/obsproject/obs-studio,78.41 MB
7,git,59937,27700,59937,361,23/07/2008,26/03/2026,293.88 MB,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,C,https://github.com/git/git,293.88 MB
8,FFmpeg,58336,13625,58336,3,14/04/2011,26/03/2026,460.67 MB,Mirror of https://git.ffmpeg.org/ffmpeg.git,C,https://github.com/FFmpeg/FFmpeg,460.67 MB
9,tmux,43613,2515,43613,64,03/06/2015,26/03/2026,18.83 MB,tmux source code,C,https://github.com/tmux/tmux,18.83 MB
10,curl,41178,7112,41178,34,18/03/2010,26/03/2026,130.47 MB,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,https://github.com/curl/curl,130.47 MB
