Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,tensorflow,194173,75240,194173,3721,07/11/2015,13/03/2026,1.23 GB,An Open Source Machine Learning Framework for Everyone,C++,https://github.com/tensorflow/tensorflow,1.23 GB
2,react-native,125572,25128,125572,1246,09/01/2015,12/03/2026,939.77 MB,A framework for building native applications using React,C++,https://github.com/facebook/react-native,939.77 MB
3,electron,120452,17035,120452,836,12/04/2013,13/03/2026,187.76 MB,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,https://github.com/electron/electron,187.76 MB
4,godot,107735,24618,107735,17783,04/01/2014,12/03/2026,1.71 GB,Godot Engine – Multi-platform 2D and 3D game engine,C++,https://github.com/godotengine/godot,1.71 GB
5,terminal,102157,9127,102157,1703,11/08/2017,12/03/2026,158.65 MB,"The new Windows Terminal and the original Windows console host, all in the same place!",C++,https://github.com/microsoft/terminal,158.65 MB
6,llama.cpp,97784,15444,97784,1252,10/03/2023,13/03/2026,316.72 MB,LLM inference in C/C++,C++,https://github.com/ggml-org/llama.cpp,316.72 MB
7,bitcoin,88455,38812,88455,694,19/12/2010,13/03/2026,302.60 MB,Bitcoin Core integration/staging tree,C++,https://github.com/bitcoin/bitcoin,302.60 MB
8,opencv,86563,56552,86563,2742,19/07/2012,13/03/2026,541.21 MB,Open Source Computer Vision Library,C++,https://github.com/opencv/opencv,541.21 MB
9,gpt4all,77219,8330,77219,757,27/03/2023,27/05/2025,43.63 MB,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,C++,https://github.com/nomic-ai/gpt4all,43.63 MB
10,tesseract,72872,10540,72872,466,12/08/2014,28/02/2026,52.52 MB,Tesseract Open Source OCR Engine (main repository),C++,https://github.com/tesseract-ocr/tesseract,52.52 MB
