Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,FiraCode,80684,3173,80684,420,11/11/2014,04/09/2025,88.21 MB,Free monospaced font with programming ligatures,Clojure,https://github.com/tonsky/FiraCode,88.21 MB
2,metabase,44844,6062,44844,3895,02/02/2015,05/12/2025,1.41 GB,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,Clojure,https://github.com/metabase/metabase,1.41 GB
3,penpot,43112,2372,43112,563,29/12/2015,05/12/2025,298.08 MB,Penpot: The open-source design tool for design and code collaboration,Clojure,https://github.com/penpot/penpot,298.08 MB
4,logseq,39687,2390,39687,1145,23/05/2020,05/12/2025,143.37 MB,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: https://discuss.logseq.com/t/logseq-product-roadmap/34267",Clojure,https://github.com/logseq/logseq,143.37 MB
5,LightTable,11711,917,11711,181,27/06/2012,17/06/2022,19.19 MB,The Light Table IDE ⛺,Clojure,https://github.com/LightTable/LightTable,19.19 MB
6,instant,9500,314,9500,15,19/08/2024,05/12/2025,64.75 MB,Instant is a modern Firebase. We make you productive by giving your frontend a real-time database.,Clojure,https://github.com/instantdb/instant,64.75 MB
7,clojurescript,9349,789,9349,5,20/07/2011,01/12/2025,18.39 MB,Clojure to JS compiler,Clojure,https://github.com/clojure/clojurescript,18.39 MB
8,leiningen,7301,1587,7301,94,01/11/2009,12/09/2025,7.37 MB,Moved to Codeberg; this is a convenience mirror,Clojure,https://github.com/technomancy/leiningen,7.37 MB
9,jepsen,7227,740,7227,66,14/04/2013,03/12/2025,46.28 MB,"A framework for distributed systems verification, with fault injection",Clojure,https://github.com/jepsen-io/jepsen,46.28 MB
10,om,6641,354,6641,80,11/12/2013,17/08/2020,2.13 MB,ClojureScript interface to Facebook's React,Clojure,https://github.com/omcljs/om,2.13 MB
