Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,SwitchyOmega,22535,3578,22535,809,08/06/2012,27/12/2024,2.15 MB,"No longer maintained, see pinned issues",CoffeeScript,https://github.com/FelisCatus/SwitchyOmega,2.15 MB
2,mojs,18697,888,18697,37,26/06/2014,14/04/2026,137.21 MB,The motion graphics toolbelt for the web,CoffeeScript,https://github.com/mojs/mojs,137.21 MB
3,coffeescript,16579,1979,16579,96,18/12/2009,22/03/2024,29.88 MB,Unfancy JavaScript,CoffeeScript,https://github.com/jashkenas/coffeescript,29.88 MB
4,zxcvbn,15957,998,15957,142,28/02/2012,19/08/2024,15.81 MB,Low-Budget Password Strength Estimation,CoffeeScript,https://github.com/dropbox/zxcvbn,15.81 MB
5,dynamics.js,7560,407,7560,9,03/02/2014,26/02/2019,861.00 KB,Javascript library to create physics-based animations,CoffeeScript,https://github.com/michaelvillar/dynamics.js,861.00 KB
6,morris.js,6884,1200,6884,326,21/02/2012,07/10/2021,1.47 MB,Pretty time-series line graphs,CoffeeScript,https://github.com/morrisjs/morris.js,1.47 MB
7,At.js,5250,656,5250,157,18/01/2012,18/11/2021,1.79 MB,Add Github like mentions autocomplete to your application.,CoffeeScript,https://github.com/ichord/At.js,1.79 MB
8,node-xml2js,4966,609,4966,246,17/07/2010,30/04/2026,519.00 KB,XML to JavaScript object converter.,CoffeeScript,https://github.com/Leonidas-from-XIV/node-xml2js,519.00 KB
9,aglio,4756,475,4756,135,15/11/2013,13/05/2019,798.00 KB,An API Blueprint renderer with theme support that outputs static HTML,CoffeeScript,https://github.com/danielgtaylor/aglio,798.00 KB
10,vibrant.js,4598,228,4598,2,24/05/2015,28/11/2017,925.00 KB,Extract prominent colors from an image. JS port of Android's Palette.,CoffeeScript,https://github.com/jariz/vibrant.js,925.00 KB
