Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,awesome-go,183749,13553,183749,228,06/07/2014,10/09/2026,12.52 MB,"A curated list of awesome Go frameworks, libraries and software",Go,https://github.com/avelino/awesome-go,12.52 MB
2,ollama,180594,17794,180594,3953,26/06/2023,10/09/2026,91.23 MB,"Get up and running with Kimi-K2.6, GLM-5.2, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,https://github.com/ollama/ollama,91.23 MB
3,go,138406,19352,138406,10165,19/08/2014,10/09/2026,445.29 MB,The Go programming language,Go,https://github.com/golang/go,445.29 MB
4,kubernetes,127319,44034,127319,3034,06/06/2014,10/09/2026,1.45 GB,Production-Grade Container Scheduling and Management,Go,https://github.com/kubernetes/kubernetes,1.45 GB
5,TypeScript,110994,13812,110994,5051,17/06/2014,10/09/2026,2.73 GB,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,Go,https://github.com/microsoft/TypeScript,2.73 GB
6,frp,109322,15206,109322,53,21/12/2015,09/09/2026,31.95 MB,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.,Go,https://github.com/fatedier/frp,31.95 MB
7,caveman,104741,6072,104741,121,04/04/2026,10/09/2026,11.56 MB,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,Go,https://github.com/JuliusBrussee/caveman,11.56 MB
8,ragflow,90465,10685,90465,1565,12/12/2023,10/09/2026,160.32 MB,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,Go,https://github.com/infiniflow/ragflow,160.32 MB
9,hugo,89779,8368,89779,224,04/07/2013,10/09/2026,143.03 MB,The world’s fastest framework for building websites.,Go,https://github.com/gohugoio/hugo,143.03 MB
10,gin,89201,8691,89201,770,16/06/2014,15/08/2026,10.37 MB,"Gin is a high-performance HTTP web framework written in Go. It provides a Martini-like API but with significantly better performance—up to 40 times faster—thanks to httprouter. Gin is designed for building REST APIs, web applications, and microservices.",Go,https://github.com/gin-gonic/gin,10.37 MB
