Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,computer-science,204814,25462,204814,23,04/05/2014,21/04/2026,1.74 MB,🎓 Path to a free self-taught education in Computer Science!,HTML,https://github.com/ossu/computer-science,1.74 MB
2,FreeDomain,176736,3554,176736,33,30/05/2024,24/04/2026,972.00 KB,DigitalPlat FreeDomain: Free Domain For Everyone,HTML,https://github.com/DigitalPlatDev/FreeDomain,972.00 KB
3,prompts.chat,163588,21224,163588,50,05/12/2022,11/06/2026,379.65 MB,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,https://github.com/f/prompts.chat,379.65 MB
4,free-for-dev,123022,12950,123022,13,18/03/2015,11/06/2026,9.83 MB,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",HTML,https://github.com/ripienaar/free-for-dev,9.83 MB
5,cs-self-learning,73140,7889,73140,147,20/10/2021,24/02/2026,68.34 MB,计算机自学指南,HTML,https://github.com/PKUFlyingPig/cs-self-learning,68.34 MB
6,claude-code-best-practice,57455,5765,57455,8,31/10/2025,11/06/2026,70.66 MB,from vibe coding to agentic engineering - practice makes claude perfect,HTML,https://github.com/shanraisshan/claude-code-best-practice,70.66 MB
7,awesome-compose,45518,8204,45518,385,13/02/2020,10/06/2026,10.08 MB,Awesome Docker Compose samples,HTML,https://github.com/docker/awesome-compose,10.08 MB
8,retrofit,43893,7340,43893,170,06/09/2010,12/06/2026,7.24 MB,A type-safe HTTP client for Android and the JVM,HTML,https://github.com/square/retrofit,7.24 MB
9,tabler,41167,4372,41167,139,01/02/2018,01/06/2026,365.56 MB,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,HTML,https://github.com/tabler/tabler,365.56 MB
10,zju-icicles,40592,9579,40592,10,28/06/2016,20/01/2026,5.80 GB,浙江大学课程攻略共享计划,HTML,https://github.com/QSCTech/zju-icicles,5.80 GB
