Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,hello-algo,128739,15342,128739,39,04/11/2022,22/07/2026,468.04 MB,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持简中、繁中、English、日本語，提供 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 等代码实现",Java,https://github.com/krahets/hello-algo,468.04 MB
2,java-design-patterns,94235,27371,94235,148,09/08/2014,23/07/2026,46.57 MB,Design patterns implemented in Java,Java,https://github.com/iluwatar/java-design-patterns,46.57 MB
3,Stirling-PDF,87866,7779,87866,511,27/01/2023,23/07/2026,350.17 MB,#1 PDF Application on GitHub that lets you edit PDFs on any device anywhere,Java,https://github.com/Stirling-Tools/Stirling-PDF,350.17 MB
4,mall,84385,29808,84385,15,04/04/2018,14/05/2026,57.36 MB,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,Java,https://github.com/macrozheng/mall,57.36 MB
5,spring-boot,81149,41986,81149,503,19/10/2012,23/07/2026,211.84 MB,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",Java,https://github.com/spring-projects/spring-boot,211.84 MB
6,advanced-java,79005,19190,79005,1,06/10/2018,25/06/2026,33.64 MB,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,Java,https://github.com/doocs/advanced-java,33.64 MB
7,elasticsearch,77582,25927,77582,5911,08/02/2010,24/07/2026,1.63 GB,"Free and Open Source, Distributed, RESTful Search Engine",Java,https://github.com/elastic/elasticsearch,1.63 GB
8,LeetCodeAnimation,76638,13894,76638,21,06/12/2018,12/06/2026,498.38 MB,"Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路,完整单步/回看/变速/语音讲解在 algomooc.com）",Java,https://github.com/MisterBooo/LeetCodeAnimation,498.38 MB
9,ghidra,71268,7817,71268,1873,01/03/2019,22/07/2026,401.97 MB,Ghidra is a software reverse engineering (SRE) framework,Java,https://github.com/NationalSecurityAgency/ghidra,401.97 MB
10,Java,66044,21229,66044,26,16/07/2016,23/07/2026,7.33 MB,All Algorithms implemented in Java,Java,https://github.com/TheAlgorithms/Java,7.33 MB
