Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,react,244222,50862,244222,1182,24/05/2013,26/03/2026,926.63 MB,The library for web and native user interfaces.,JavaScript,https://github.com/facebook/react,926.63 MB
2,javascript-algorithms,195792,31096,195792,397,24/03/2018,18/02/2026,14.55 MB,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,https://github.com/trekhleb/javascript-algorithms,14.55 MB
3,javascript,148115,26750,148115,189,01/11/2012,24/02/2026,3.64 MB,JavaScript Style Guide,JavaScript,https://github.com/airbnb/javascript,3.64 MB
4,next.js,138500,30705,138500,3587,05/10/2016,27/03/2026,2.41 GB,The React Framework,JavaScript,https://github.com/vercel/next.js,2.41 GB
5,30-seconds-of-code,127232,12461,127232,6,29/11/2017,26/03/2026,725.46 MB,Coding articles to level up your development skills,JavaScript,https://github.com/Chalarangelo/30-seconds-of-code,725.46 MB
6,node,116447,35175,116447,2572,26/11/2014,26/03/2026,1.38 GB,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,https://github.com/nodejs/node,1.38 GB
7,three.js,111587,36315,111587,582,23/03/2010,26/03/2026,1.50 GB,JavaScript 3D Library.,JavaScript,https://github.com/mrdoob/three.js,1.50 GB
8,everything-claude-code,110343,14396,110343,139,18/01/2026,26/03/2026,25.00 MB,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,https://github.com/affaan-m/everything-claude-code,25.00 MB
9,axios,108650,11564,108650,357,18/08/2014,26/03/2026,25.02 MB,Promise based HTTP client for the browser and node.js,JavaScript,https://github.com/axios/axios,25.02 MB
10,create-react-app,103809,27103,103809,2376,17/07/2016,15/02/2025,24.60 MB,Set up a modern web app by running one command.,JavaScript,https://github.com/facebook/create-react-app,24.60 MB
