Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,kong,42996,5098,42996,135,17/11/2014,10/03/2026,95.02 MB,🦍 The API and AI Gateway,Lua,https://github.com/Kong/kong,95.02 MB
2,kickstart.nvim,29898,45065,29898,28,24/06/2022,10/03/2026,872.00 KB,A launch point for your personal nvim configuration,Lua,https://github.com/nvim-lua/kickstart.nvim,872.00 KB
3,waifu2x,28181,2697,28181,154,17/05/2015,04/05/2023,692.88 MB,Image Super-Resolution for Anime-Style Art,Lua,https://github.com/nagadomi/waifu2x,692.88 MB
4,NvChad,27988,2276,27988,0,07/03/2021,07/02/2026,1.96 MB,"Blazing fast Neovim framework providing solid defaults and a beautiful UI, enhancing your neovim experience.",Lua,https://github.com/NvChad/NvChad,1.96 MB
5,koreader,25845,1652,25845,1208,24/03/2013,20/03/2026,66.88 MB,"An ebook reader application supporting PDF, DjVu, EPUB, FB2 and many more formats, running on Cervantes, Kindle, Kobo, PocketBook and Android devices",Lua,https://github.com/koreader/koreader,66.88 MB
6,LazyVim,25485,1748,25485,41,30/12/2022,16/03/2026,5.38 MB,Neovim config for the lazy,Lua,https://github.com/LazyVim/LazyVim,5.38 MB
7,lazy.nvim,20527,553,20527,52,20/11/2022,17/12/2025,3.13 MB,💤 A modern plugin manager for Neovim,Lua,https://github.com/folke/lazy.nvim,3.13 MB
8,LunarVim,19255,1503,19255,34,16/08/2018,05/06/2025,13.88 MB,🌙 LunarVim is an IDE layer for Neovim. Completely free and community driven.,Lua,https://github.com/LunarVim/LunarVim,13.88 MB
9,telescope.nvim,19199,942,19199,489,15/07/2020,17/03/2026,4.53 MB,"Find, Filter, Preview, Pick. All lua, all the time.",Lua,https://github.com/nvim-telescope/telescope.nvim,4.53 MB
10,neural-style,18299,2663,18299,316,01/09/2015,23/02/2018,47.06 MB,Torch implementation of neural style algorithm,Lua,https://github.com/jcjohnson/neural-style,47.06 MB
