Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,Book-Mathematical-Foundation-of-Reinforcement-Learning,14481,1361,14481,0,07/08/2022,28/10/2025,49.66 MB,"This is the homepage of a new book entitled ""Mathematical Foundations of Reinforcement Learning.""",MATLAB,https://github.com/MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,49.66 MB
2,deep-photo-styletransfer,10012,1389,10012,32,22/03/2017,02/08/2021,170.18 MB,"Code and data for paper ""Deep Photo Style Transfer"": https://arxiv.org/abs/1703.07511 ",Matlab,https://github.com/luanfujun/deep-photo-styletransfer,170.18 MB
3,OpenFace,7551,1908,7551,359,05/03/2016,01/06/2024,1.66 GB,"OpenFace – a state-of-the art tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation.",MATLAB,https://github.com/TadasBaltrusaitis/OpenFace,1.66 GB
4,PRMLT,6198,2148,6198,0,10/09/2012,04/03/2020,506.00 KB,Matlab code of machine learning algorithms in book PRML,MATLAB,https://github.com/PRML/PRMLT,506.00 KB
5,vrn,4530,744,4530,7,20/06/2017,26/07/2022,538.00 KB,":man:  Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression""",MATLAB,https://github.com/AaronJackson/vrn,538.00 KB
6,Math_Model,4278,741,4278,2,09/10/2021,01/12/2023,8.22 GB,数学建模、美赛、美国大学生数学建模竞赛、全国大学生数学建模竞赛、华为杯研究生数学建模、国赛LaTeX模板、美赛LaTeX模板、mathorcup、电工杯、华中赛、APMCM、深圳杯、中青杯、华东杯、数维杯、东三省数学建模、认证杯、数学建模书籍、常用matlab算法、国赛评阅要点、软件模型算法汇总、智能算法、优化算法、现代的算法,MATLAB,https://github.com/personqianduixue/Math_Model,8.22 GB
7,DeepLearnToolbox,3868,2271,3868,83,27/10/2011,13/10/2018,16.39 MB,"Matlab/Octave toolbox for deep learning. Includes Deep Belief Nets, Stacked Autoencoders, Convolutional Neural Nets, Convolutional Autoencoders and vanilla Neural Nets. Each method has examples to get you started.",Matlab,https://github.com/rasmusbergpalm/DeepLearnToolbox,16.39 MB
8,Stanford-CS-229,3438,861,3438,3,18/04/2017,01/03/2022,212.35 MB,A Chinese Translation of Stanford CS229 notes 斯坦福机器学习CS229课程讲义的中文翻译,MATLAB,https://github.com/cycleuser/Stanford-CS-229,212.35 MB
9,MTCNN_face_detection_alignment,2869,986,2869,48,25/09/2016,11/10/2022,32.04 MB,Joint Face Detection and Alignment using Multi-task Cascaded Convolutional Neural Networks,MATLAB,https://github.com/kpzhang93/MTCNN_face_detection_alignment,32.04 MB
10,faster_rcnn,2818,1223,2818,140,06/08/2015,26/07/2018,711.00 KB,Faster R-CNN,Matlab,https://github.com/ShaoqingRen/faster_rcnn,711.00 KB
