Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,SecLists,71768,25041,71768,9,19/02/2012,25/06/2026,3.20 GB,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.",PHP,https://github.com/danielmiessler/SecLists,3.20 GB
2,coolify,57419,4839,57419,798,25/01/2021,25/06/2026,68.63 MB,"An open-source, self-hostable PaaS alternative to Vercel, Heroku & Netlify that lets you easily deploy static sites, databases, full-stack applications and 280+ one-click services on your own servers.",PHP,https://github.com/coollabsio/coolify,68.63 MB
3,server,35932,5027,35932,3422,02/06/2016,25/06/2026,6.37 GB,"☁️ Nextcloud server, a safe home for all your data",PHP,https://github.com/nextcloud/server,6.37 GB
4,framework,34790,11888,34790,100,10/01/2013,25/06/2026,99.44 MB,"Laravel is a web application framework with expressive, elegant syntax.",PHP,https://github.com/laravel/framework,99.44 MB
5,filament,31244,4181,31244,47,19/03/2020,25/06/2026,539.32 MB,A powerful open-source UI framework for Laravel • Build and ship apps & admin panels fast with Livewire,PHP,https://github.com/filamentphp/filament,539.32 MB
6,symfony,31093,9838,31093,564,04/01/2010,24/06/2026,322.24 MB,The Symfony PHP framework,PHP,https://github.com/symfony/symfony,322.24 MB
7,jQuery-File-Upload,30744,7774,30744,53,01/12/2010,08/04/2026,4.50 MB,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",PHP,https://github.com/blueimp/jQuery-File-Upload,4.50 MB
8,composer,29477,4803,29477,146,08/06/2011,25/06/2026,29.12 MB,Dependency Manager for PHP,PHP,https://github.com/composer/composer,29.12 MB
9,bagisto,27485,3169,27485,33,10/09/2018,24/06/2026,382.57 MB,Free and open source laravel eCommerce platform,PHP,https://github.com/bagisto/bagisto,382.57 MB
10,Faker,26675,3586,26675,223,14/10/2011,20/03/2024,9.86 MB,Faker is a PHP library that generates fake data for you,PHP,https://github.com/fzaninotto/Faker,9.86 MB
