Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,winutil,55815,3171,55815,42,28/04/2022,10/06/2026,15.81 MB,"Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates",PowerShell,https://github.com/ChrisTitusTech/winutil,15.81 MB
2,Win11Debloat,47445,1907,47445,35,27/10/2020,11/06/2026,2.16 MB,"A simple, lightweight PowerShell script that allows you to remove pre-installed apps, disable telemetry, as well as perform various other changes to declutter and customize your Windows experience. Win11Debloat works for both Windows 10 and Windows 11.",PowerShell,https://github.com/Raphire/Win11Debloat,2.16 MB
3,cmder,26921,2072,26921,67,09/07/2013,10/06/2026,3.44 MB,Lovely console emulator package for Windows,PowerShell,https://github.com/cmderdev/cmder,3.44 MB
4,Scoop,24246,1529,24246,502,11/05/2013,03/05/2026,13.84 MB,A command-line installer for Windows.,PowerShell,https://github.com/ScoopInstaller/Scoop,13.84 MB
5,core,21989,4949,21989,338,18/11/2014,12/06/2026,64.79 MB,".NET news, announcements, release notes, and more!",PowerShell,https://github.com/dotnet/core,64.79 MB
6,SpotX,21257,1068,21257,2,11/08/2021,11/06/2026,24.59 MB,SpotX patcher used for patching the desktop version of Spotify,PowerShell,https://github.com/SpotX-Official/SpotX,24.59 MB
7,tiny11builder,18879,1458,18879,134,24/02/2023,12/09/2025,233.00 KB,Scripts to build a trimmed-down Windows 11 image.,PowerShell,https://github.com/ntdevlabs/tiny11builder,233.00 KB
8,Windows10Debloater,18820,2064,18820,300,12/12/2017,10/03/2023,478.00 KB,Script to remove Windows 10 bloatware.,PowerShell,https://github.com/Sycnex/Windows10Debloater,478.00 KB
9,Office-Tool,13596,1016,13596,1,06/11/2018,10/06/2026,42.05 MB,Office Tool Plus localization projects.,PowerShell,https://github.com/YerongAI/Office-Tool,42.05 MB
10,PowerSploit,13015,4717,13015,102,26/05/2012,17/08/2020,10.47 MB,PowerSploit - A PowerShell Post-Exploitation Framework,PowerShell,https://github.com/PowerShellMafia/PowerSploit,10.47 MB
