Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,public-apis,474959,52473,474959,1874,20/03/2016,02/09/2026,9.14 MB,A collective list of free APIs,Python,https://github.com/public-apis/public-apis,9.14 MB
2,free-programming-books,395912,66730,395912,83,11/10/2013,01/09/2026,21.28 MB,:books: Freely available programming books,Python,https://github.com/EbookFoundation/free-programming-books,21.28 MB
3,system-design-primer,367749,58211,367749,613,26/02/2017,20/03/2026,11.01 MB,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,https://github.com/donnemartin/system-design-primer,11.01 MB
4,awesome-python,318058,28631,318058,18,27/06/2014,01/09/2026,5.96 MB,"The definitive list that answers ""I want to do X in Python, which tool should I use?""",Python,https://github.com/vinta/awesome-python,5.96 MB
5,project-based-learning,282001,36127,282001,278,12/04/2017,31/08/2026,469.00 KB,Curated list of project-based tutorials,Python,https://github.com/practical-tutorials/project-based-learning,469.00 KB
6,hermes-agent,240832,49342,240832,39131,22/07/2025,04/09/2026,839.27 MB,The agent that grows with you,Python,https://github.com/NousResearch/hermes-agent,839.27 MB
7,Python,224240,51007,224240,1009,16/07/2016,03/09/2026,16.30 MB,All Algorithms implemented in Python,Python,https://github.com/TheAlgorithms/Python,16.30 MB
8,yt-dlp,188747,16337,188747,2622,26/10/2020,30/08/2026,63.26 MB,A feature-rich command-line audio/video downloader,Python,https://github.com/yt-dlp/yt-dlp,63.26 MB
9,AutoGPT,187106,46039,187106,560,16/03/2023,03/09/2026,598.33 MB,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,https://github.com/Significant-Gravitas/AutoGPT,598.33 MB
10,markitdown,178003,13111,178003,702,13/11/2024,04/09/2026,4.51 MB,Python tool for converting files and office documents to Markdown.,Python,https://github.com/microsoft/markitdown,4.51 MB
