Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,FriendsDontLetFriends,7042,285,7042,11,24/05/2022,03/09/2025,10.21 MB,Friends don't let friends make certain types of data visualization - What are they and why are they bad. ,R,https://github.com/cxli233/FriendsDontLetFriends,10.21 MB
2,ggplot2,6911,2132,6911,117,25/05/2008,15/04/2026,1.26 GB,An implementation of the Grammar of Graphics in R,R,https://github.com/tidyverse/ggplot2,1.26 GB
3,awesome-R,6445,1509,6445,23,19/07/2014,18/09/2025,1.22 MB,"A curated list of awesome R packages, frameworks and software.",R,https://github.com/qinwf/awesome-R,1.22 MB
4,shiny,5639,1889,5639,880,20/06/2012,15/04/2026,65.37 MB,Easy interactive web applications with R,R,https://github.com/rstudio/shiny,65.37 MB
5,r4ds,5030,4411,5030,21,27/07/2015,08/04/2026,76.64 MB,R for data science: a book,R,https://github.com/hadley/r4ds,76.64 MB
6,dplyr,5020,2135,5020,85,28/10/2012,07/04/2026,75.73 MB,dplyr: A grammar of data manipulation,R,https://github.com/tidyverse/dplyr,75.73 MB
7,swirl_courses,4533,7221,4533,208,23/02/2014,10/01/2024,47.26 MB,:mortar_board: A collection of interactive courses for the swirl R package.,R,https://github.com/swirldev/swirl_courses,47.26 MB
8,stat_rethinking_2022,4102,436,4102,12,08/10/2021,15/03/2022,15.43 MB,Statistical Rethinking course winter 2022,R,https://github.com/rmcelreath/stat_rethinking_2022,15.43 MB
9,awesome-network-analysis,4011,627,4011,15,10/04/2016,05/04/2026,1.33 MB,A curated list of awesome network analysis resources.,R,https://github.com/briatte/awesome-network-analysis,1.33 MB
10,data.table,3870,1045,3870,973,07/06/2014,14/04/2026,64.23 MB,R's data.table package extends data.frame:,R,https://github.com/Rdatatable/data.table,64.23 MB
