Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,rust,108271,14079,108271,11791,16/06/2010,05/12/2025,785.21 MB,Empowering everyone to build reliable and efficient software.,Rust,https://github.com/rust-lang/rust,785.21 MB
2,deno,105420,5813,105420,2516,15/05/2018,05/12/2025,181.83 MB,A modern runtime for JavaScript and TypeScript.,Rust,https://github.com/denoland/deno,181.83 MB
3,rustdesk,103507,15274,103507,88,28/09/2020,05/12/2025,63.50 MB,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer.",Rust,https://github.com/rustdesk/rustdesk,63.50 MB
4,tauri,99624,3211,99624,1266,13/07/2019,05/12/2025,97.92 MB,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",Rust,https://github.com/tauri-apps/tauri,97.92 MB
5,union,74453,3832,74453,184,16/05/2023,05/12/2025,466.76 MB,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.",Rust,https://github.com/unionlabs/union,466.76 MB
6,uv,74277,2297,74277,2429,02/10/2023,05/12/2025,120.77 MB,"An extremely fast Python package and project manager, written in Rust.",Rust,https://github.com/astral-sh/uv,120.77 MB
7,zed,70895,6164,70895,3262,20/02/2021,05/12/2025,327.53 MB,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",Rust,https://github.com/zed-industries/zed,327.53 MB
8,sway,62068,5434,62068,903,19/01/2021,05/12/2025,108.03 MB,🌴 Empowering everyone to build reliable and efficient smart contracts.,Rust,https://github.com/FuelLabs/sway,108.03 MB
9,alacritty,61301,3240,61301,330,18/02/2016,24/11/2025,13.77 MB,"A cross-platform, OpenGL terminal emulator.",Rust,https://github.com/alacritty/alacritty,13.77 MB
10,rustlings,60866,11011,60866,73,15/09/2015,20/11/2025,4.12 MB,:crab: Small exercises to get you used to reading and writing Rust code!,Rust,https://github.com/rust-lang/rustlings,4.12 MB
