Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,awesome-mac,105961,7909,105961,383,17/07/2016,18/06/2026,41.57 MB, This project is dedicated to collecting high-quality macOS software and organizing them systematically by different categories for easy search and use.,Swift,https://github.com/jaywcjlove/awesome-mac,41.57 MB
2,swift,70052,10737,70052,9058,23/10/2015,18/06/2026,1.29 GB,The Swift Programming Language,Swift,https://github.com/swiftlang/swift,1.29 GB
3,awesome-ios,52511,6976,52511,12,10/07/2014,13/06/2026,16.80 MB,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects ",Swift,https://github.com/vsouza/awesome-ios,16.80 MB
4,iina,45258,2841,45258,1880,19/12/2016,18/06/2026,241.64 MB,The modern video player for macOS.,Swift,https://github.com/iina/iina,241.64 MB
5,Alamofire,42382,7671,42382,43,31/07/2014,14/06/2026,42.57 MB,Elegant HTTP Networking in Swift,Swift,https://github.com/Alamofire/Alamofire,42.57 MB
6,stats,39757,1381,39757,17,29/05/2019,18/06/2026,57.75 MB,macOS system monitor in your menu bar,Swift,https://github.com/exelban/stats,57.75 MB
7,container,38582,1110,38582,337,30/05/2025,18/06/2026,3.50 MB,"A tool for creating and running Linux containers using lightweight virtual machines on a Mac. It is written in Swift, and optimized for Apple silicon. ",Swift,https://github.com/apple/container,3.50 MB
8,UTM,34429,1731,34429,1061,12/04/2019,08/06/2026,49.38 MB,Virtual machines for iOS and macOS,Swift,https://github.com/utmapp/UTM,49.38 MB
9,MonitorControl,33475,972,33475,26,16/09/2017,19/04/2026,29.34 MB,🖥 Control your display's brightness & volume on your Mac as if it was a native Apple Display. Use Apple Keyboard keys or custom shortcuts. Shows the native macOS OSDs.,Swift,https://github.com/MonitorControl/MonitorControl,29.34 MB
10,ShadowsocksX-NG,32891,7799,32891,314,10/06/2016,29/10/2024,49.47 MB,Next Generation of ShadowsocksX,Swift,https://github.com/shadowsocks/ShadowsocksX-NG,49.47 MB
