Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size,Description,Language,Repo URL,Size
1,freeCodeCamp,444321,44493,444321,190,24/12/2014,08/05/2026,558.92 MB,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,558.92 MB
2,openclaw,369460,76237,369460,7476,24/11/2025,08/05/2026,936.90 MB,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,https://github.com/openclaw/openclaw,936.90 MB
3,developer-roadmap,354375,44045,354375,10,15/03/2017,06/05/2026,352.03 MB,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,https://github.com/nilbuild/developer-roadmap,352.03 MB
4,vue,209763,33830,209763,623,29/07/2013,10/10/2024,31.40 MB,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,https://github.com/vuejs/vue,31.40 MB
5,n8n,187005,57444,187005,1441,22/06/2019,07/05/2026,488.48 MB,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,https://github.com/n8n-io/n8n,488.48 MB
6,vscode,184664,39688,184664,17335,03/09/2015,08/05/2026,1.19 GB,Visual Studio Code,TypeScript,https://github.com/microsoft/vscode,1.19 GB
7,opencode,156499,18189,156499,6415,30/04/2025,07/05/2026,249.83 MB,The open source coding agent.,TypeScript,https://github.com/anomalyco/opencode,249.83 MB
8,dify,140512,22034,140512,798,12/04/2023,07/05/2026,349.26 MB,Production-ready platform for agentic workflow development.,TypeScript,https://github.com/langgenius/dify,349.26 MB
9,tech-interview-handbook,139380,16558,139380,44,05/07/2016,05/04/2026,32.96 MB,Curated coding interview preparation materials for busy software engineers,TypeScript,https://github.com/yangshun/tech-interview-handbook,32.96 MB
10,excalidraw,122715,13562,122715,3034,02/01/2020,07/05/2026,98.44 MB,Virtual whiteboard for sketching hand-drawn like diagrams,TypeScript,https://github.com/excalidraw/excalidraw,98.44 MB
